source_dataset	project	pair_id	original_title	replication_title	original_doi	replication_doi	outcome	D_original	N_original	D_replication	N_replication	raw_file	n_source_file	verbatim_n_text_original	verbatim_n_text_replication	verbatim_effect_text_original	verbatim_effect_text_replication	d_n_transformation_note	match_author	candidate_name	decision	measure_type	source_locator	n_source_locator	n_match_method	native_original_effect	native_replication_effect	native_effect_metric
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_001_matched_1_risk_of_t2dm_in_sga_users_vs_non_sga_psychotropic_users	REPEAT original healthcare database study 1	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Risk of T2DM in SGA users vs. non-SGA psychotropic users (hazard ratio)	0.29578429736691125	2128898.0	0.5754793351213939	1077879.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=1;matched=1;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=1;matched=0;match_method=fallback_single_sample_size_row_for_studyid	sample size.csv studyid=1; matched=0; original_percent_mean=2128898.0; descriptive_or_comparator=Comparative; match_method=fallback_single_sample_size_row_for_studyid	sample size.csv studyid=1; matched=0; reproduction_percent_mean=1077879.0; descriptive_or_comparator=Comparative; match_method=fallback_single_sample_size_row_for_studyid	outcomes.csv studyid=1; matched=1; measure_type=hazard ratio; original_pt_est=1.71; original_lower_95=1.33; original_upper_95=2.2; original_p_value=<0.001	outcomes.csv studyid=1; matched=1; measure_type=hazard ratio; reproduction_pt_est=2.84; reproduction_lower_95=1.72; reproduction_upper_95=4.68; reproduction_p_value=<0.001	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_1	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	hazard ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=1;matched=1;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=1;matched=0;match_method=fallback_single_sample_size_row_for_studyid	fallback_single_sample_size_row_for_studyid	1.71	2.84	hazard ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_002_matched_0_odds_of_major_amputation_or_inpatient_death	REPEAT original healthcare database study 2	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Odds of major amputation or inpatient death (hazard ratio)	0.25566996293877725	12046.0	0.19332726569854977	16379.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=2;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=2;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=2; matched=0; original_percent_mean=12046.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=2; matched=0; reproduction_percent_mean=16379.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=2; matched=0; measure_type=hazard ratio; original_pt_est=1.59; original_lower_95=1.45; original_upper_95=1.75; original_p_value=<0.001	outcomes.csv studyid=2; matched=0; measure_type=hazard ratio; reproduction_pt_est=1.42; reproduction_lower_95=1.29; reproduction_upper_95=1.57; reproduction_p_value=<0.001	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_2	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	hazard ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=2;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=2;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	1.59	1.42	hazard ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_003_matched_0_patients_receiving_abiraterone_vs_enzalutamide_in_the_hazard_of_having_cns_events	REPEAT original healthcare database study 3	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Patients receiving abiraterone vs enzalutamide in the hazard of having CNS events (hazard ratio)	0.12302548766655921	1659.0	0.0928540691688186	2017.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=3;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=3;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=3; matched=0; original_percent_mean=1659.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=3; matched=0; reproduction_percent_mean=2017.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=3; matched=0; measure_type=hazard ratio; original_pt_est=0.8; original_lower_95=0.65; original_upper_95=0.99; original_p_value=0.0388	outcomes.csv studyid=3; matched=0; measure_type=hazard ratio; reproduction_pt_est=0.845; reproduction_lower_95=0.696; reproduction_upper_95=1.027; reproduction_p_value=0.091	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_3	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	hazard ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=3;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=3;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	0.8	0.845	hazard ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_004_matched_0_overall_survival_of_statin_users_and_nonusers_all_selected_cancers	REPEAT original healthcare database study 4	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Overall survival of statin users and nonusers - all selected cancers (hazard ratio)	0.08960138188514036	291447.0	0.011138336309897762	458729.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=4;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=4;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=4; matched=0; original_percent_mean=291447.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=4; matched=0; reproduction_percent_mean=458729.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=4; matched=0; measure_type=hazard ratio; original_pt_est=0.85; original_lower_95=0.8; original_upper_95=0.91; original_p_value=<0.001	outcomes.csv studyid=4; matched=0; measure_type=hazard ratio; reproduction_pt_est=0.98; reproduction_lower_95=0.97; reproduction_upper_95=0.99; reproduction_p_value=<0.0001	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_4	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	hazard ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=4;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=4;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	0.85	0.98	hazard ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_005_matched_0_nonbiologic_dmard_along_vs_etanercept_alone_without_1_month_exposure_extension_occurrence_	REPEAT original healthcare database study 5	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Nonbiologic DMARD along vs Etanercept alone Ð without 1 month exposure extension occurrence of serio (hazard ratio)	0.07677920175713801	64901.0	0.04597069035485882	45926.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=5;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=5;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=5; matched=0; original_percent_mean=64901.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=5; matched=0; reproduction_percent_mean=45926.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=5; matched=0; measure_type=hazard ratio; original_pt_est=0.87; original_lower_95=0.77; original_upper_95=0.99; original_p_value=0.0296	outcomes.csv studyid=5; matched=0; measure_type=hazard ratio; reproduction_pt_est=0.92; reproduction_lower_95=0.71; reproduction_upper_95=1.19; reproduction_p_value=0.5377	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_5	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	hazard ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=5;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=5;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	0.87	0.92	hazard ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_006_matched_0_endoscopy_vs_microscopy_overall_complication_rate	REPEAT original healthcare database study 6	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Endoscopy vs microscopy - overall complication rate (odds ratio)	0.17356425746292284	6049.0	0.10509451230794162	9787.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=6;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=6;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=6; matched=0; original_percent_mean=6049.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=6; matched=0; reproduction_percent_mean=9787.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=6; matched=0; measure_type=odds ratio; original_pt_est=1.37; original_lower_95=1.22; original_upper_95=1.53; original_p_value=<0.001	outcomes.csv studyid=6; matched=0; measure_type=odds ratio; reproduction_pt_est=1.21; reproduction_lower_95=1.08; reproduction_upper_95=1.37; reproduction_p_value=<0.05	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_6	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	odds ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=6;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=6;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	1.37	1.21	odds ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_007_matched_0_se_vs_noninvasive_test_acute_mi_intervention_during_7d	REPEAT original healthcare database study 7	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	SE vs noninvasive test - acute MI, Intervention during 7d, % (odds ratio)	0.005541040564728988	425774.0	0.30991240224128463	622715.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=7;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=7;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=7; matched=0; original_percent_mean=425774.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=7; matched=0; reproduction_percent_mean=622715.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=7; matched=0; measure_type=odds ratio; original_pt_est=0.99; original_lower_95=0.65; original_upper_95=1.51; original_p_value=0.996	outcomes.csv studyid=7; matched=0; measure_type=odds ratio; reproduction_pt_est=0.57; reproduction_lower_95=0.28; reproduction_upper_95=1.16; reproduction_p_value=0.1233	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_7	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	odds ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=7;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=7;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	0.99	0.57	odds ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_008_matched_0_severe_maternal_morbidity_and_postpartum_hospitalization_for_assisted_reproductive_technol	REPEAT original healthcare database study 8	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Severe maternal morbidity and postpartum hospitalization for assisted reproductive technology (odds ratio)	0.3361813790679853	10016618.0	0.24869102297356901	2343059.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=8;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=8;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=8; matched=0; original_percent_mean=10016618.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=8; matched=0; reproduction_percent_mean=2343059.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=8; matched=0; measure_type=odds ratio; original_pt_est=1.84; original_lower_95=1.63; original_upper_95=2.08; original_p_value=<0.001	outcomes.csv studyid=8; matched=0; measure_type=odds ratio; reproduction_pt_est=1.57; reproduction_lower_95=1.47; reproduction_upper_95=1.66; reproduction_p_value=<0.001	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_8	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	odds ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=8;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=8;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	1.84	1.57	odds ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_009_matched_0_nonablation_vs_ablation_stroke_tia	REPEAT original healthcare database study 9	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Nonablation vs ablation - stroke/TIA (hazard ratio)	0.2725198451171974	9222.0	0.3500267366694186	9861.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=9;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=9;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=9; matched=0; original_percent_mean=9222.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=9; matched=0; reproduction_percent_mean=9861.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=9; matched=0; measure_type=hazard ratio; original_pt_est=0.61; original_lower_95=0.44; original_upper_95=0.86; original_p_value=0.005	outcomes.csv studyid=9; matched=0; measure_type=hazard ratio; reproduction_pt_est=0.53; reproduction_lower_95=0.37; reproduction_upper_95=0.76; reproduction_p_value=0.0005	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_9	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	hazard ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=9;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=9;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	0.61	0.53	hazard ratio
REPEAT Supplementary Data 6 outcomes and sample sizes	REPEAT real-world evidence reproductions	repeat_study_010_matched_0_death	REPEAT original healthcare database study 10	Wang et al. 2022 REPEAT reproduction		10.1038/s41467-022-32310-3	Death (hazard ratio)	0.1513049630037923	4299.0	0.44024036614154394	1872.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=10;matched=0;primary=1	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/repeat_initiative/b669f1bbabd4__w64jq.bin::Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=10;matched=0;match_method=exact_studyid_matched	sample size.csv studyid=10; matched=0; original_percent_mean=4299.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	sample size.csv studyid=10; matched=0; reproduction_percent_mean=1872.0; descriptive_or_comparator=Comparative; match_method=exact_studyid_matched	outcomes.csv studyid=10; matched=0; measure_type=hazard ratio; original_pt_est=0.76; original_lower_95=0.67; original_upper_95=0.87; original_p_value=<0.001	outcomes.csv studyid=10; matched=0; measure_type=hazard ratio; reproduction_pt_est=0.45; reproduction_lower_95=0.16; reproduction_upper_95=1.26; reproduction_p_value=0.13	REPEAT reproduced published healthcare database studies using clinical practice data. Ratio measures were converted to a D-like scale with abs(log(ratio) * sqrt(3) / pi); sample sizes are from Supplementary Data 6 sample size.csv original_percent_mean and reproduction_percent_mean. Label as same-domain real-world-evidence reproduction, not a new-lab psychology-style replication.	repeat_study_10	REPEAT Initiative - RWE Reproducibility	promoted_ratio_measure_primary_rows	hazard ratio	Supplementary Data 6 Analysis file, code, data dictionary/outcomes.csv#studyid=10;matched=0;primary=1	Supplementary Data 6 Analysis file, code, data dictionary/sample size.csv#studyid=10;matched=0;match_method=exact_studyid_matched	exact_studyid_matched	0.76	0.45	hazard ratio
