stage_key	stage_path	scan_status	rows	promoted_or_related	obvious_complete_dn_rows	effect_nish_column_count	first_columns	notes
angrist_learning_curve_2023	data/derived/replication_pairs/harvest/staged/angrist_learning_curve_2023__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
awesome_body_dissatisfaction	data/derived/replication_pairs/harvest/staged/awesome_body_dissatisfaction__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
awesome_cleanliness_moral	data/derived/replication_pairs/harvest/staged/awesome_cleanliness_moral__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
awesome_climate_misinfo	data/derived/replication_pairs/harvest/staged/awesome_climate_misinfo__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
awesome_emdr_misinfo	data/derived/replication_pairs/harvest/staged/awesome_emdr_misinfo__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
awesome_lie_language	data/derived/replication_pairs/harvest/staged/awesome_lie_language__stage.csv	read_ok	1	True	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
awesome_mindbody_selfcentrality	data/derived/replication_pairs/harvest/staged/awesome_mindbody_selfcentrality__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
awesome_pain_coop	data/derived/replication_pairs/harvest/staged/awesome_pain_coop__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
awesome_pain_tolerance	data/derived/replication_pairs/harvest/staged/awesome_pain_tolerance__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
awesome_priming_exercise	data/derived/replication_pairs/harvest/staged/awesome_priming_exercise__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
awesome_queue	data/derived/replication_pairs/harvest/staged/awesome_queue__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
awesome_time_honest	data/derived/replication_pairs/harvest/staged/awesome_time_honest__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
border_2019	data/derived/replication_pairs/harvest/staged/border_2019__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
communication_privacy_2025	data/derived/replication_pairs/harvest/staged/communication_privacy_2025__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
contextual_bias_2026	data/derived/replication_pairs/harvest/staged/contextual_bias_2026__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
coppock_2019	data/derived/replication_pairs/harvest/staged/coppock_2019__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
covid_online_2021	data/derived/replication_pairs/harvest/staged/covid_online_2021__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
deceptive_intentions_2018	data/derived/replication_pairs/harvest/staged/deceptive_intentions_2018__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
eef_regrants	data/derived/replication_pairs/harvest/staged/eef_regrants__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
eqipd_2022	data/derived/replication_pairs/harvest/staged/eqipd_2022__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
ern_pe_rrr_openneuro	data/derived/replication_pairs/harvest/staged/ern_pe_rrr_openneuro__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
eyewitness_ten_countries_2018	data/derived/replication_pairs/harvest/staged/eyewitness_ten_countries_2018__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
fred_diff_2024	data/derived/replication_pairs/harvest/staged/fred_diff_2024__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
greed_ses_2016	data/derived/replication_pairs/harvest/staged/greed_ses_2016__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
ibl_repro_ephys_2024	data/derived/replication_pairs/harvest/staged/ibl_repro_ephys_2024__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
ies_systematic_replication	data/derived/replication_pairs/harvest/staged/ies_systematic_replication__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
independent_replication_initiative	data/derived/replication_pairs/harvest/staged/independent_replication_initiative__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
jaljuli_kafkafi_2023	data/derived/replication_pairs/harvest/staged/jaljuli_kafkafi_2023__stage.csv	read_ok	1	False	0	3	lead_id,project,source_family,priority,default_action,expected_rows,landing_url,raw_url,local_raw_file,manifest_file,file_list_csv,downloaded_file_count	No obvious complete D/N columns found.
kerschbaumer_2020_rheumatology_phase2_phase3	data/derived/replication_pairs/harvest/staged/kerschbaumer_2020_rheumatology_phase2_phase3__stage.csv	read_ok	205	True	0	3	source_dataset,source_paper,disease,regimen,endpoint,phase2_study,phase3_study,phase2_study_key,phase3_study_key,phase2_responders,phase2_n,phase3_responders	No obvious complete D/N columns found.
