corpus_result_table_id	primary_parent_corpus_database_id	parent_corpus_database_ids	source_artifact_ids	source_artifact_file_names	source_artifact_local_path	source_artifact_sha256	parser_scope	column_count	row_count_emitted	columns_json
corpus_result_table_32be91027fce63aa	score	score	source_artifact_4d4bf7af70dd3dff	plot3_preregistered_source_catalog.csv	data/derived/effect_inflation_dataset/plot3_preregistered_source_catalog.csv	26626b0368975460faf90d8c9f7e70e29d0be29b14f946a303f962785ee8a9cc	inspect_sample_for_result_fields	20	78	"[""plot_name"", ""plot_inclusion_status"", ""source_label"", ""corpus_what_it_is"", ""what_it_is_why_possible_candidate"", ""confirmed_fields"", ""backing_file"", ""rows_considered"", ""rows_preregistered_equivalent"", ""rows_with_public_local_backing"", ""rows_with_extractable_DN"", ""rows_with_non_retracted_source"", ""rows_contributed"", ""rows_left_out_within_source"", ""why"", ""why_in_out"", ""display_label"", ""source_key"", ""citation_key"", ""plot_rows_made_in""]"
corpus_result_table_31617e8f5f985a76	raw_corpus:political_science_unlock	raw_corpus:political_science_unlock	source_artifact_fabeac7a546c8960	aea_trials.csv	data/raw/corpus_candidates/political_science_unlock/aea_trials.csv	82e0a929753114025442993aa2d8a7e7c4a8412982b1af94e3d0343f2f278838	inspect_sample_for_result_fields	50	1000	"[""Title"", ""Url"", ""Last update date"", ""Published at"", ""First registered on"", ""RCT_ID"", ""DOI Number"", ""Primary Investigator"", ""Status"", ""Start date"", ""End date"", ""Keywords"", ""Country names"", ""Other Primary Investigators"", ""Jel code"", ""Secondary IDs"", ""Abstract"", ""External Links"", ""Sponsors"", ""Partners"", ""Intervention start date"", ""Intervention end date"", ""Intervention"", ""Primary outcome end points"", ""Primary outcome explanation"", ""Secondary outcome end points"", ""Secondary outcome explanation"", ""Experimental design"", ""Experimental design details"", ""Randomization method"", ""Randomization unit"", ""Sample size number clusters"", ""Sample size number observations"", ""Sample size number arms"", ""Minimum effect size"", ""IRB"", ""Analysis Plan Documents"", ""Intervention completion date"", ""Data collection completion"", ""Data collection completion date"", ""Number of clusters"", ""Attrition correlated"", ""Total number of observations"", ""Treatment arms"", ""Public data"", ""Public data url"", ""Program files"", ""Program files url"", ""Post trial documents csv"", ""Relevant papers for csv""]"
corpus_result_table_9c4ab8b768942951	raw_corpus:political_science_unlock	raw_corpus:political_science_unlock	source_artifact_31eab9ac724e5eab	experimental-analyses.Rds	data/raw/corpus_candidates/political_science_unlock/dataverse/4WNEE9/experimental-analyses.Rds	50ef1eecf173674f35028426fa6d12f155bc11ba95d5c292e7667ad2b1a7295d	inspect_sample_for_result_fields	10	334	"[""term"", ""estimate"", ""std.error"", ""statistic"", ""p.value"", ""Result"", ""N"", ""k"", ""SSR"", ""Iteration.Analysis""]"
corpus_result_table_e4179323da00b583	raw_corpus:political_science_unlock	raw_corpus:political_science_unlock	source_artifact_b1fbd3a8a420d53b	master_sheet_input.tab	data/raw/corpus_candidates/political_science_unlock/dataverse/RAMHWP/master_sheet_input.tab	b248e36370613e6cc3e6d95d89f821ae245840e6961059b0231f45ccbc4436e7	inspect_sample_for_result_fields	46	21	"[""Experiment"", ""Seat"", ""Election Year"", ""Primary or General"", ""Treatment Mode"", ""Incumbent?"", ""Data"", ""t1 N"", ""Percent Treat"", ""DV Correlation"", ""t0 Undecided"", ""Percent Identify AfAm"", ""Percent Identify NonWhite"", ""Candidate Effect with Covars"", ""Candidate Effect SE with Covars"", ""Candidate Effect P with Covars"", ""Candidate Effect No Covars"", ""Candidate Effect SE No Covars"", ""Candidate Effect P No Covars"", ""PID Interaction Covars"", ""PID Interaction SE Covars"", ""PID Interaction No Covars"", ""PID Interaction SE No Covars"", ""AfAm Interaction Covars"", ""AfAm Interaction SE Covars"", ""AfAm Interaction No Covars"", ""AfAm Interaction SE No Covars"", ""POC Interaction Covars"", ""POC Interaction SE Covars"", ""POC Interaction No Covars"", ""POC Interaction SE No Covars"", ""Turnout Estimate"", ""Turnout SE"", ""Turnout Baseline Intereaction"", ""Turnout Baseline SE"", ""State"", ""Date Canvass"", ""Date t0"", ""Date t1"", ""Candidate Scale Variables"", ""xvars"", ""dv_t1"", ""dv_t0"", ""votechoice_t0"", ""voted16_var"", ""ExperimentName""]"
corpus_result_table_83ad32083d711e79	raw_corpus:political_science_unlock	raw_corpus:political_science_unlock	source_artifact_b6e58eb96d37b1c1	master_sheet_output.tab	data/raw/corpus_candidates/political_science_unlock/dataverse/RAMHWP/master_sheet_output.tab	5efb3e788934ea8779d23ab5c48cf893a2f6f17aa100665998fcb5cb0d3369b1	inspect_sample_for_result_fields	47	21	"[""Unnamed: 0"", ""Experiment"", ""Seat"", ""Election.Year"", ""Primary.or.General"", ""Treatment.Mode"", ""Incumbent."", ""Data"", ""t1.N"", ""Percent.Treat"", ""DV.Correlation"", ""t0.Undecided"", ""Percent.Identify.AfAm"", ""Percent.Identify.NonWhite"", ""Candidate.Effect.with.Covars"", ""Candidate.Effect.SE.with.Covars"", ""Candidate.Effect.P.with.Covars"", ""Candidate.Effect.No.Covars"", ""Candidate.Effect.SE.No.Covars"", ""Candidate.Effect.P.No.Covars"", ""PID.Interaction.Covars"", ""PID.Interaction.SE.Covars"", ""PID.Interaction.No.Covars"", ""PID.Interaction.SE.No.Covars"", ""AfAm.Interaction.Covars"", ""AfAm.Interaction.SE.Covars"", ""AfAm.Interaction.No.Covars"", ""AfAm.Interaction.SE.No.Covars"", ""POC.Interaction.Covars"", ""POC.Interaction.SE.Covars"", ""POC.Interaction.No.Covars"", ""POC.Interaction.SE.No.Covars"", ""Turnout.Estimate"", ""Turnout.SE"", ""Turnout.Baseline.Intereaction"", ""Turnout.Baseline.SE"", ""State"", ""Date.Canvass"", ""Date.t0"", ""Date.t1"", ""Candidate.Scale.Variables"", ""xvars"", ""dv_t1"", ""dv_t0"", ""votechoice_t0"", ""voted16_var"", ""ExperimentName""]"
corpus_result_table_c21a68f1de3ed3cf	lead_harvest:covid_online_2021	lead_harvest:covid_online_2021	source_artifact_5ea10385ec0158d0	est_study_1.rds	data/raw/replication_projects/lead_harvest/covid_online_2021/unpacked_work/est_study_1.rds	f30bca7fc31239114e453ec1b101d6730d3cca3ba6eadd5e0cc0a3b3441c7654	inspect_sample_for_result_fields	12	8	"[""survey"", ""term"", ""estimate"", ""std.error"", ""statistic"", ""p.value"", ""conf.low"", ""conf.high"", ""df"", ""outcome"", ""estimate_type"", ""study""]"
corpus_result_table_c4e2c05918a28e03	lead_harvest:covid_online_2021	lead_harvest:covid_online_2021	source_artifact_caddd3218a57f19d	est_study_10.rds	data/raw/replication_projects/lead_harvest/covid_online_2021/unpacked_work/est_study_10.rds	4ce0a41fd721ae3b3c3348754e928fc7704bf09cfc609934c92e4e5aad88263e	inspect_sample_for_result_fields	13	12	"[""survey"", ""term"", ""estimate"", ""std.error"", ""statistic"", ""p.value"", ""conf.low"", ""conf.high"", ""df"", ""outcome"", ""outcome_label"", ""study"", ""estimate_type""]"
corpus_result_table_be7985e04c97f8d9	lead_harvest:covid_online_2021	lead_harvest:covid_online_2021	source_artifact_0cf90c74c6501a72	est_study_11.rds	data/raw/replication_projects/lead_harvest/covid_online_2021/unpacked_work/est_study_11.rds	d8aa738c7e81c7602f79086cf6f16f91e124a01e336d9e1cb1b5c671fe5f3079	inspect_sample_for_result_fields	14	14	"[""survey"", ""term"", ""estimate"", ""std.error"", ""statistic"", ""p.value"", ""conf.low"", ""conf.high"", ""df"", ""outcome"", ""study"", ""outcome_group"", ""outcome_factor"", ""estimate_type""]"
corpus_result_table_46f09e6c0d8e576a	lead_harvest:covid_online_2021	lead_harvest:covid_online_2021	source_artifact_6d4b3147226e4308	est_study_12.rds	data/raw/replication_projects/lead_harvest/covid_online_2021/unpacked_work/est_study_12.rds	3b1903efa46e1286ccc8aad9d5bc0eab9399cfd82a019388e11861a8aec9d91e	inspect_sample_for_result_fields	12	8	"[""survey"", ""term"", ""estimate"", ""std.error"", ""statistic"", ""p.value"", ""conf.low"", ""conf.high"", ""df"", ""outcome"", ""study"", ""estimate_type""]"
corpus_result_table_c7a1e35af7b4cda5	lead_harvest:covid_online_2021	lead_harvest:covid_online_2021	source_artifact_faf4147955e024d8	est_study_2.rds	data/raw/replication_projects/lead_harvest/covid_online_2021/unpacked_work/est_study_2.rds	dc0124abf8acbfc8c0fffc9a1283302fda282597d118f64d060d85f6dddfd916	inspect_sample_for_result_fields	14	8	"[""survey"", ""framing_Z_type"", ""term"", ""estimate"", ""std.error"", ""statistic"", ""p.value"", ""conf.low"", ""conf.high"", ""df"", ""outcome"", ""estimate_type"", ""study"", ""type""]"
