metric	value	count
primary_parent_corpus_database_id	lead_harvest:covid_online_2021	1188
primary_parent_corpus_database_id	many_labs_2 | doi:10.1177/2515245918810225	64
primary_parent_corpus_database_id	raw_corpus:political_science_unlock	1376
primary_parent_corpus_database_id	raw_corpus:rpcb	44
primary_parent_corpus_database_id	score	9910
parser_scope	inspect_sample_for_result_fields	12582
parser_status	parsed_native_row	12582
review_status	needs_mapping_review	12582
total	corpus_result_rows	12582
total	corpus_result_tables	42
total	rows_with_effect_text	7806
total	rows_with_n_text	10303
total	rows_with_original_source_text	508
