promotion_id	value_scan_id	candidate_id	scan_decision	promotion_decision	pair_id	original_title	original_doi	replication_title	replication_doi	outcome	D_original	N_original	D_replication	N_replication	local_support_paths	original_support_text	replication_support_text	conversion_or_policy_note	next_action
individual_promotion_06758b5aae391339	batch001_value_moral_forecasting_exp1_close	moral_forecasting_teper_bo	ready_for_source_result_build	promote_to_harvested_pair_contract	individual_moral_forecasting_teper_bo_experiment_1_close_replication_original_math_che	Are We More Moral Than We Think? Exploring the Role of Affect in Moral Behavior and Moral Forecasting	10.1177/0956797611402513	Revisiting the moral forecasting error - A preregistered replication and extension of 'Are we more moral than we think?'	10.1016/j.jesp.2024.104662	Experiment 1 close replication, original math-cheating task	0.98	39	0.69	907	data/raw/replication_projects/individual_search_batch001/moral_forecasting_teper_bo/01_www_sciencedirect_com_science_article_pii_s0022103124000751_0cba8cdb93eb.html | data/raw/replication_projects/individual_search_batch001/moral_forecasting_teper_bo/01_www_sciencedirect_com_science_article_pii_s0022103124000751_34215d64723e.html | data/raw/replication_projects/individual_search_batch001/moral_forecasting_teper_bo/01_www_sciencedirect_com_science_article_pii_s0022103124000751_591030c6bc0e.html | data/raw/replication_projects/individual_search_batch001/moral_forecasting_teper_bo/01_www_sciencedirect_com_science_article_pii_s0022103124000751_7b24feecd594.html | data/raw/replication_projects/individual_search_batch001/moral_forecasting_teper_bo/01_www_sciencedirect_com_science_article_pii_s0022103124000751_7ee2b76bd719.html | data/raw/replication_projects/individual_search_batch001/moral_forecasting_teper_bo/01_www_sciencedirect_com_science_article_pii_s0022103124000751_7ef42550e701.html | data/raw/replication_projects/individual_search_batch001/moral_forecasting_teper_bo/01_www_sciencedirect_com_science_article_pii_s0022103124000751_a5e7bab27e9f.html | data/raw/replication_projects/individual_search_batch001/moral_forecasting_teper_bo/01_www_sciencedirect_com_science_article_pii_s0022103124000751_a91c9ee56eb0.html | data/raw/replication_projects/individual_search_batch001/moral_forecasting_teper_bo/01_www_sciencedirect_com_science_article_pii_s0022103124000751_d92a7eb19f4c.html | data/raw/replication_projects/individual_search_batch001/moral_forecasting_teper_bo/01_www_sciencedirect_com_science_article_pii_s0022103124000751_f6bf1b86b365.html | data/raw/replication_projects/individual_search_batch001/moral_forecasting_teper_bo/02_osf_io_preprints_psyarxiv_m49y3_c1df7be23f68.html | data/raw/replication_projects/individual_search_batch001/moral_forecasting_teper_bo/03_files_osf_io_v1_resources_m49y3_providers_osfstorage_62a8c017b47e79294a6_db96d6863b97.bin | data/raw/replication_projects/individual_search_batch001/moral_forecasting_teper_bo/03_files_osf_io_v1_resources_m49y3_providers_osfstorage_62a8c017b47e79294a6_db96d6863b97.pdf | data/raw/replication_projects/individual_search_batch001/moral_forecasting_teper_bo/04_www_page_gould_com_documents_teper_inzlicht_page_gould_2011_pdf_272a4ba5b31b.pdf | data/raw/replication_projects/individual_search_batch001/moral_forecasting_teper_bo/05_osf_io_4apgt_c1df7be23f68.html | data/raw/replication_projects/individual_search_batch001/moral_forecasting_teper_bo/06_storage_googleapis_com_cos_osf_prod_files_us_east1_cc36183aff437c3a0c9a7_cc36183aff43.csv | data/raw/replication_projects/individual_search_batch001/moral_forecasting_teper_bo/07_storage_googleapis_com_cos_osf_prod_files_us_east1_518cc9cff1b22899e6f5b_518cc9cff1b2.csv	Original PDF: Sixty-seven participants were randomly assigned to moral action, moral forecasting, or control; focal action-vs-forecasting ANOVA reports M = 0.96, SD = 1.65 versus M = 4.82, SD = 5.32, F(1, 37) = 10.43, p < .01, d = 0.98.	Open ScienceDirect abstract mirror reports Experiment 1 N = 1839 and the original math-based cheating task replication with d = 0.69. Mirrored OSF CSV recomputation for the focal two-condition math-cheating contrast gives action gexp=1 n = 452 and forecasting gexp=3 n = 455, focal analyzed N = 907.	Promote the source-reported d = 0.69 and the recomputed focal two-condition N = 907. The wider Experiment 1 total N = 1839 is preserved in source text but is not the N for the plotted action-versus-forecasting contrast.	run_analyze_replication_pairs_then_downstream_figure1_rebuild
individual_promotion_74b5d47b7f41d0b6	batch001_value_spacing_induction_exp2	spacing_induction_kornell_verkoeijen	ready_for_source_result_build	promote_to_harvested_pair_contract	individual_spacing_induction_kornell_verkoeijen_experiment_2_spacing_vs_massing_recognition_hit	Learning Concepts and Categories: Is Spacing the 'Enemy of Induction'?	10.1111/j.1467-9280.2008.02127.x	Is spacing really the 'friend of induction'?	10.3389/fpsyg.2014.00259	Experiment 2 spacing-vs-massing recognition hit-rate effect	0.41	80	0.37	123	data/raw/replication_projects/individual_search_batch001/spacing_induction_kornell_verkoeijen/01_www_frontiersin_org_journals_psychology_articles_10_3389_fpsyg_2014_0025_286ee31d8605.html | data/raw/replication_projects/individual_search_batch001/spacing_induction_kornell_verkoeijen/02_pmc_ncbi_nlm_nih_gov_articles_pmc3978334_30d7d3acce2a.html | data/raw/replication_projects/individual_search_batch001/spacing_induction_kornell_verkoeijen/02_pmc_ncbi_nlm_nih_gov_articles_pmc3978334_3ad514e75e6c.html | data/raw/replication_projects/individual_search_batch001/spacing_induction_kornell_verkoeijen/02_pmc_ncbi_nlm_nih_gov_articles_pmc3978334_7867b09eb344.html | data/raw/replication_projects/individual_search_batch001/spacing_induction_kornell_verkoeijen/02_pmc_ncbi_nlm_nih_gov_articles_pmc3978334_7e401254421f.html | data/raw/replication_projects/individual_search_batch001/spacing_induction_kornell_verkoeijen/02_pmc_ncbi_nlm_nih_gov_articles_pmc3978334_c6bd4f69aa14.html | data/raw/replication_projects/individual_search_batch001/spacing_induction_kornell_verkoeijen/02_pmc_ncbi_nlm_nih_gov_articles_pmc3978334_c9c979a110f7.html | data/raw/replication_projects/individual_search_batch001/spacing_induction_kornell_verkoeijen/03_gwern_net_doc_psychology_spaced_repetition_2008_kornell_pdf_64f951e60e2a.pdf	Original PDF reports Experiment 2 N = 80. The replication article summarizes Kornell and Bjork's Experiment 2 hit rates as spaced M = 0.77, SD = 0.22 and massed M = 0.67, SD = 0.24, d = 0.41.	PMC/Frontiers mirror reports final analysis on 123 MTurk workers; spaced M = 0.75, SD = 0.21 versus massed M = 0.66, SD = 0.22, t(122) = 4.180, p = 0.00005, d = 0.37.	Within-participant hit-rate contrast; source reports d directly. Label paired/within-subject effect route in provenance.	run_analyze_replication_pairs_then_downstream_figure1_rebuild
individual_promotion_42ff7c5857724023	batch001_value_rubber_hand_disgust_main	rubber_hand_disgust_jalal_nitta	ready_for_source_result_build	promote_to_harvested_pair_contract	individual_rubber_hand_disgust_jalal_nitta_disgust_during_synchronous_versus_asynchronous_r	'I Feel Contaminated in My Fake Hand': Obsessive-Compulsive-Disorder like Disgust Sensations Arise from Dummy during Rubber Hand Illusion	10.1371/journal.pone.0139159	Disgust and the rubber hand illusion: A registered replication report of Jalal, Krishnakumar, and Ramachandran (2015)	10.1186/s41235-018-0101-z	Disgust during synchronous versus asynchronous rubber-hand illusion	2.80	11	1.39	52	data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/01_pmc_ncbi_nlm_nih_gov_articles_pmc5954052_4e22cc4c5546.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/01_pmc_ncbi_nlm_nih_gov_articles_pmc5954052_4f12caf05638.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/01_pmc_ncbi_nlm_nih_gov_articles_pmc5954052_581718e0251e.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/01_pmc_ncbi_nlm_nih_gov_articles_pmc5954052_5a36b8e4c1e3.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/01_pmc_ncbi_nlm_nih_gov_articles_pmc5954052_5ea48f560d42.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/01_pmc_ncbi_nlm_nih_gov_articles_pmc5954052_704eb31667be.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/01_pmc_ncbi_nlm_nih_gov_articles_pmc5954052_831698457fac.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/01_pmc_ncbi_nlm_nih_gov_articles_pmc5954052_945d505acb24.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/01_pmc_ncbi_nlm_nih_gov_articles_pmc5954052_9ccb8d3023d6.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/01_pmc_ncbi_nlm_nih_gov_articles_pmc5954052_c9f31a0deeaa.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/02_springernature_figshare_com_articles_journal_contribution_disgust_and_th_0753b11c5dcc.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/02_springernature_figshare_com_articles_journal_contribution_disgust_and_th_60f9be9db137.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/02_springernature_figshare_com_articles_journal_contribution_disgust_and_th_6145fd8651f7.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/02_springernature_figshare_com_articles_journal_contribution_disgust_and_th_781eef6d720c.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/02_springernature_figshare_com_articles_journal_contribution_disgust_and_th_8c5fabfae4c9.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/02_springernature_figshare_com_articles_journal_contribution_disgust_and_th_a773e39a83db.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/02_springernature_figshare_com_articles_journal_contribution_disgust_and_th_b4d9b0995b26.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/02_springernature_figshare_com_articles_journal_contribution_disgust_and_th_ba9ffb1eb7b1.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/02_springernature_figshare_com_articles_journal_contribution_disgust_and_th_bc6d3aee47c9.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/02_springernature_figshare_com_articles_journal_contribution_disgust_and_th_f28307813061.html | data/raw/replication_projects/individual_search_batch001/rubber_hand_disgust_jalal_nitta/03_journals_plos_org_plosone_article_id_10_1371_2fjournal_pone_0139159_d3d63933ff14.html	Original PLOS mirror reports synchronous versus asynchronous disgust M = 13.6, SD = 4.6 versus M = 11.0, SD = 5.0, N = 11, Z = 2.7, p = .004. Replication report computes original Cohen's d = 2.8 and notes paired dz = 1.98.	Replication PMC mirror reports disgustingness-condition N = 52 and Wilcoxon signed-rank result z = 4.09, p < 0.001, r = 0.57, with stronger disgust in synchronous than asynchronous condition.	Use a consistent Wilcoxon r-to-d route for both sides: r = z/sqrt(N), then d = 2r / sqrt(1 - r^2). Original r = 2.7/sqrt(11) gives d approximately 2.80; replication source reports r = 0.57, giving d approximately 1.39.	run_analyze_replication_pairs_then_downstream_figure1_rebuild
individual_promotion_91891ac3ce74df03	batch001_value_medusa_exp5_dictator_game	medusa_effect_will_han	ready_for_source_result_build	promote_to_harvested_pair_contract	individual_medusa_effect_will_han_experiment_5_study_2_dictator_game_allocation_l1	The Medusa effect reveals levels of mind perception in pictures	10.1073/pnas.2106640118	The Medusa effect: a registered replication report of Will, Merritt, Jenkins and Kingstone (2021)	10.1098/rsos.231802	Experiment 5 / Study 2 dictator-game allocation L1 versus L2	0.36	199	0.09	785	data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_4ac918437133.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_8374e9f1004f.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_91d79aad36be.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_a0260dfcb626.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_afe5a416c728.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/02_osf_io_qjwbx_c1df7be23f68.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/03_osf_io_qjwbx_c1df7be23f68.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/04_eprints_whiterose_ac_uk_id_eprint_177226_1_will_merritt_jenkins_kingston_4b822b6a436e.pdf | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/05_www_pnas_org_action_cookieabsent_f45731b70891.html	Original White Rose PDF reports Experiment 5 dictator-game allocations higher for L1 (n = 99, M = $5.48) than L2 (n = 100, M = $4.42), Mann-Whitney U = 3928.5, z = 2.51, p = 0.0121, Cohen's d = 0.36.	PMC replication mirror reports Study 2 final N = 785; L1 n = 389, M = 489.19 versus L2 n = 396, M = 473.85, Mann-Whitney U = 84716, z = 2.46, p = 0.01384, Cohen's d = 0.09.	Directly reported d values for dictator-game allocation. Use effective analyzed group N from the result text.	run_analyze_replication_pairs_then_downstream_figure1_rebuild
individual_promotion_ad590dc497204393	batch001_value_medusa_exp2_realness	medusa_effect_will_han	ready_for_source_result_build	promote_to_harvested_pair_contract	individual_medusa_effect_will_han_experiment_2_study_1_mind_perception_realness_di	The Medusa effect reveals levels of mind perception in pictures	10.1073/pnas.2106640118	The Medusa effect: a registered replication report of Will, Merritt, Jenkins and Kingstone (2021)	10.1098/rsos.231802	Experiment 2 / Study 1 mind-perception realness dimension	0.83	107	0.98	219	data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_4ac918437133.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_8374e9f1004f.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_91d79aad36be.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_a0260dfcb626.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_afe5a416c728.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/02_osf_io_qjwbx_c1df7be23f68.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/03_osf_io_qjwbx_c1df7be23f68.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/04_eprints_whiterose_ac_uk_id_eprint_177226_1_will_merritt_jenkins_kingston_4b822b6a436e.pdf | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/05_www_pnas_org_action_cookieabsent_f45731b70891.html	Original White Rose PDF reports Experiment 2 paired test for Realness: t(106) = 8.62, d = 0.83, implying analyzed N = 107.	PMC replication mirror reports Study 1 paired test for Realness: t218 = 14.55, d = 0.98, implying analyzed N = 219.	Direct source-reported d values for the matched realness dimension.	run_analyze_replication_pairs_then_downstream_figure1_rebuild
individual_promotion_a43b89cf8f197bc0	batch001_value_medusa_exp2_experience	medusa_effect_will_han	ready_for_source_result_build	promote_to_harvested_pair_contract	individual_medusa_effect_will_han_experiment_2_study_1_mind_perception_experience	The Medusa effect reveals levels of mind perception in pictures	10.1073/pnas.2106640118	The Medusa effect: a registered replication report of Will, Merritt, Jenkins and Kingstone (2021)	10.1098/rsos.231802	Experiment 2 / Study 1 mind-perception experience dimension	0.34	109	0.50	198	data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_4ac918437133.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_8374e9f1004f.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_91d79aad36be.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_a0260dfcb626.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_afe5a416c728.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/02_osf_io_qjwbx_c1df7be23f68.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/03_osf_io_qjwbx_c1df7be23f68.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/04_eprints_whiterose_ac_uk_id_eprint_177226_1_will_merritt_jenkins_kingston_4b822b6a436e.pdf | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/05_www_pnas_org_action_cookieabsent_f45731b70891.html	Original White Rose PDF reports Experiment 2 paired test for Experience: t(108) = 3.55, d = 0.34, implying analyzed N = 109.	PMC replication mirror reports Study 1 paired test for Experience: t197 = 6.97, d = 0.50, implying analyzed N = 198.	Direct source-reported d values for the matched experience dimension.	run_analyze_replication_pairs_then_downstream_figure1_rebuild
individual_promotion_a9f8e225ef69e06d	batch001_value_medusa_exp2_agency	medusa_effect_will_han	ready_for_source_result_build	promote_to_harvested_pair_contract	individual_medusa_effect_will_han_experiment_2_study_1_mind_perception_agency_dime	The Medusa effect reveals levels of mind perception in pictures	10.1073/pnas.2106640118	The Medusa effect: a registered replication report of Will, Merritt, Jenkins and Kingstone (2021)	10.1098/rsos.231802	Experiment 2 / Study 1 mind-perception agency dimension	0.39	104	0.88	185	data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_4ac918437133.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_8374e9f1004f.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_91d79aad36be.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_a0260dfcb626.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/01_pmc_ncbi_nlm_nih_gov_articles_pmc10776219_afe5a416c728.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/02_osf_io_qjwbx_c1df7be23f68.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/03_osf_io_qjwbx_c1df7be23f68.html | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/04_eprints_whiterose_ac_uk_id_eprint_177226_1_will_merritt_jenkins_kingston_4b822b6a436e.pdf | data/raw/replication_projects/individual_search_batch001/medusa_effect_will_han/05_www_pnas_org_action_cookieabsent_f45731b70891.html	Original White Rose PDF reports Experiment 2 paired test for Agency: t(103) = 3.98, d = 0.39, implying analyzed N = 104.	PMC replication mirror reports Study 1 paired test for Agency: t184 = 11.98, d = 0.88, implying analyzed N = 185.	Direct source-reported d values for the matched agency dimension.	run_analyze_replication_pairs_then_downstream_figure1_rebuild
individual_promotion_139a23ecc9ae3ca8	batch002_value_goal_priming_exp1_immediate	IND-010	ready_for_source_result_build	promote_to_harvested_pair_contract	individual_ind_010_experiment_1_immediate_high_performance_goal_pri	The Automated Will: Nonconscious Activation and Pursuit of Behavioral Goals	10.1037/0022-3514.81.6.1014	Goal Priming and the Remoteness of Goals: Failure to Replicate Bargh et al. (2001)	10.1371/journal.pone.0072467	Experiment 1 immediate high-performance-goal priming word-search	0.70	78	0.24	98	data/raw/replication_projects/individual_search_batch001/IND-010/01_psycnet_apa_org_443_doilanding_doi_10_1037_0022_3514_81_6_1014_2d5edeb9ff0c.html | data/raw/replication_projects/individual_search_batch001/IND-010/02_journals_plos_org_plosone_article_id_10_1371_journal_pone_0072467_f3daadf18122.html | data/raw/replication_projects/individual_search_batch001/IND-010/03_journals_plos_org_plosone_article_id_10_1371_journal_pone_0072467_f3daadf18122.html	PLOS mirror reports Bargh et al. Experiment 1 word-search priming ANOVA F(1,74)=9.64 and estimates the observed effect size as d = .70; the error df supports N = 78 for the original experiment.	PLOS mirror reports current Experiment 1 had 98 valid subjects; the prime-condition effect was F(1,94) = 1.45, p = .23, corresponding to d = -0.24.	Figure 1 uses effect magnitude, so the promoted D_replication is abs(-0.24) = 0.24. The signed source text is preserved for audit.	run_analyze_replication_pairs_then_downstream_figure1_rebuild
individual_promotion_2c1d4988f2788dc9	batch002_value_physical_warmth_hot_cup_personality	IND-012	ready_for_source_result_build	promote_to_harvested_pair_contract	individual_ind_012_hot_cup_manipulation_and_interpersonal_personali	Experiencing Physical Warmth Promotes Interpersonal Warmth	10.1126/science.1162548	No Evidence That Experiencing Physical Warmth Promotes Interpersonal Warmth: Two Failures to Replicate	10.1027/1864-9335/a000361	Hot-cup manipulation and interpersonal personality warmth judgment	0.58	41	0.06	128	data/raw/replication_projects/individual_search_batch001/IND-012/02_econtent_hogrefe_com_doi_10_1027_1864_9335_a000361_16c922016f83.html	Hogrefe abstract mirror reports Williams and Bargh's hot-cup/personality-warmth experiment as r = .28 with 41 participants.	Hogrefe abstract mirror reports the corresponding field replication used more than triple the sample size, N = 128, and found a near-zero effect, r = -.03.	Converted r to D by d = 2r / sqrt(1 - r^2), then used absolute D magnitude for Figure 1.	run_analyze_replication_pairs_then_downstream_figure1_rebuild
individual_promotion_329fb2cd35060b02	batch002_value_physical_warmth_heat_pad_reward_choice	IND-012	ready_for_source_result_build	promote_to_harvested_pair_contract	individual_ind_012_therapeutic_heat_pad_manipulation_and_prosocial	Experiencing Physical Warmth Promotes Interpersonal Warmth	10.1126/science.1162548	No Evidence That Experiencing Physical Warmth Promotes Interpersonal Warmth: Two Failures to Replicate	10.1027/1864-9335/a000361	Therapeutic heat-pad manipulation and prosocial reward choice	0.65	53	0.04	177	data/raw/replication_projects/individual_search_batch001/IND-012/02_econtent_hogrefe_com_doi_10_1027_1864_9335_a000361_16c922016f83.html	Hogrefe abstract mirror reports Williams and Bargh's heat-pad/reward-choice experiment as r = .31 with 53 participants.	Hogrefe abstract mirror reports the corresponding field replication used more than triple the sample size, N = 177, and found a near-zero effect, r = .02.	Converted r to D by d = 2r / sqrt(1 - r^2), then used absolute D magnitude for Figure 1.	run_analyze_replication_pairs_then_downstream_figure1_rebuild
