identity_disambiguation_task_id	figure1_individual_study_id	primary_bibtex_key	all_bibtex_keys	study_dedupe_key	study_dedupe_method	dedupe_confidence	needs_manual_identity_review	identity_review_reason	represented_title_canonical	represented_doi_canonical	represented_url_canonical	roles_observed	n_side_targets	n_distinct_pairs	n_included_pairs	n_excluded_pairs	current_plot_rule_statuses	source_family_keys	pair_chase_priorities	side_source_object_routes	identity_disambiguation_priority	identity_disambiguation_route	identity_disambiguation_blocker	suggested_search_query	source_family_backfill_query	required_resolution_fields	acceptance_criteria	next_action	figure1_replication_pair_ids_json	side_target_ids_json	pair_chase_task_ids_json	pair_bibtex_map_rows_json	created_at
figure1_identity_disambiguation_19d181b3ae731ca3	figure1_individual_study_700bb62af9bb870e	corpus_replication_pair_originals_bridge_repl_orig_title_paper_19_experiment_2_paper_19_experimen	corpus_replication_pair_originals_bridge_repl_orig_title_paper_19_experiment_2_paper_19_experimen	weak_side_target:figure1_source_side_bb76a102e7898f3e	weak_side_target	very_low	true	weak_or_missing_title_and_no_doi_or_url|dedupe_not_doi_based|weak_title_label_present	paper_19_experiment_2			original	1	1	1	0	included_by_current_figure1_dn_rule	rpcb	P0	existing_value_text_promotion	D0	source_family_backfill_for_included_weak_identity	weak identity has no usable title/DOI/URL	"rpcb ""paper_19_experiment_2"" original weak_side_target:figure1_source_side_bb76a102e7898f3e original replication paper DOI source family"	"rpcb ""paper_19_experiment_2"" original weak_side_target:figure1_source_side_bb76a102e7898f3e original replication paper DOI source family"	resolved_title|resolved_authors|resolved_year|resolved_venue|resolved_doi_or_pmid_or_pmcid_or_stable_url|resolution_source_url|verbatim_match_evidence	Do not edit root pair values. Add or propose a resolved citation only when the title/label maps to a citeable source object with enough evidence to distinguish original vs replication side.	Use source-family rows and local corpus artifacts to resolve the represented original or replication source to a citeable paper/report/dataset.	"[""fig1_pair_b89e2ebdb23087f2""]"	"[""figure1_source_side_bb76a102e7898f3e""]"	"[""figure1_pair_chase_8022a281639580f2""]"	"[""fig1_pair_b89e2ebdb23087f2""]"	2026-05-05T00:00:00
figure1_identity_disambiguation_a7354ec1faf82c80	figure1_individual_study_29cdaa2cb76851b2	corpus_replication_pair_originals_bridge_repl_orig_title_paper_20_experiment_1_paper_20_experimen	corpus_replication_pair_originals_bridge_repl_orig_title_paper_20_experiment_1_paper_20_experimen	weak_side_target:figure1_source_side_48754e34a157d8fe	weak_side_target	very_low	true	weak_or_missing_title_and_no_doi_or_url|dedupe_not_doi_based|weak_title_label_present	paper_20_experiment_1			original	1	1	1	0	included_by_current_figure1_dn_rule	rpcb	P0	existing_value_text_promotion	D0	source_family_backfill_for_included_weak_identity	weak identity has no usable title/DOI/URL	"rpcb ""paper_20_experiment_1"" original weak_side_target:figure1_source_side_48754e34a157d8fe original replication paper DOI source family"	"rpcb ""paper_20_experiment_1"" original weak_side_target:figure1_source_side_48754e34a157d8fe original replication paper DOI source family"	resolved_title|resolved_authors|resolved_year|resolved_venue|resolved_doi_or_pmid_or_pmcid_or_stable_url|resolution_source_url|verbatim_match_evidence	Do not edit root pair values. Add or propose a resolved citation only when the title/label maps to a citeable source object with enough evidence to distinguish original vs replication side.	Use source-family rows and local corpus artifacts to resolve the represented original or replication source to a citeable paper/report/dataset.	"[""fig1_pair_3655a1afa87bab5b""]"	"[""figure1_source_side_48754e34a157d8fe""]"	"[""figure1_pair_chase_613a54d8dc5734cf""]"	"[""fig1_pair_3655a1afa87bab5b""]"	2026-05-05T00:00:00
figure1_identity_disambiguation_10fde564ea0d9536	figure1_individual_study_f2413ea4bc62c076	corpus_replication_pair_originals_bridge_repl_orig_title_paper_20_experiment_1_paper_20_experimen	corpus_replication_pair_originals_bridge_repl_orig_title_paper_20_experiment_1_paper_20_experimen	weak_side_target:figure1_source_side_e30df99bd8d098e7	weak_side_target	very_low	true	weak_or_missing_title_and_no_doi_or_url|dedupe_not_doi_based|weak_title_label_present	paper_20_experiment_1			original	1	1	1	0	included_by_current_figure1_dn_rule	rpcb	P0	existing_value_text_promotion	D0	source_family_backfill_for_included_weak_identity	weak identity has no usable title/DOI/URL	"rpcb ""paper_20_experiment_1"" original weak_side_target:figure1_source_side_e30df99bd8d098e7 original replication paper DOI source family"	"rpcb ""paper_20_experiment_1"" original weak_side_target:figure1_source_side_e30df99bd8d098e7 original replication paper DOI source family"	resolved_title|resolved_authors|resolved_year|resolved_venue|resolved_doi_or_pmid_or_pmcid_or_stable_url|resolution_source_url|verbatim_match_evidence	Do not edit root pair values. Add or propose a resolved citation only when the title/label maps to a citeable source object with enough evidence to distinguish original vs replication side.	Use source-family rows and local corpus artifacts to resolve the represented original or replication source to a citeable paper/report/dataset.	"[""fig1_pair_719f26a369d48e78""]"	"[""figure1_source_side_e30df99bd8d098e7""]"	"[""figure1_pair_chase_c0d1c86224b1b55e""]"	"[""fig1_pair_719f26a369d48e78""]"	2026-05-05T00:00:00
figure1_identity_disambiguation_d9fd23420bc21ef0	figure1_individual_study_17f9a741b031da1b	corpus_replication_pair_originals_bridge_repl_orig_title_paper_20_experiment_1_paper_20_experimen	corpus_replication_pair_originals_bridge_repl_orig_title_paper_20_experiment_1_paper_20_experimen	weak_side_target:figure1_source_side_4cce92607443209b	weak_side_target	very_low	true	weak_or_missing_title_and_no_doi_or_url|dedupe_not_doi_based|weak_title_label_present	paper_20_experiment_1			original	1	1	1	0	included_by_current_figure1_dn_rule	rpcb	P0	existing_value_text_promotion	D0	source_family_backfill_for_included_weak_identity	weak identity has no usable title/DOI/URL	"rpcb ""paper_20_experiment_1"" original weak_side_target:figure1_source_side_4cce92607443209b original replication paper DOI source family"	"rpcb ""paper_20_experiment_1"" original weak_side_target:figure1_source_side_4cce92607443209b original replication paper DOI source family"	resolved_title|resolved_authors|resolved_year|resolved_venue|resolved_doi_or_pmid_or_pmcid_or_stable_url|resolution_source_url|verbatim_match_evidence	Do not edit root pair values. Add or propose a resolved citation only when the title/label maps to a citeable source object with enough evidence to distinguish original vs replication side.	Use source-family rows and local corpus artifacts to resolve the represented original or replication source to a citeable paper/report/dataset.	"[""fig1_pair_d2123cc353157be5""]"	"[""figure1_source_side_4cce92607443209b""]"	"[""figure1_pair_chase_12bdd4dea292901e""]"	"[""fig1_pair_d2123cc353157be5""]"	2026-05-05T00:00:00
figure1_identity_disambiguation_edd1f07ca82649ec	figure1_individual_study_0915a509f27be499	corpus_replication_pair_originals_bridge_repl_orig_title_paper_20_experiment_1_paper_20_experimen	corpus_replication_pair_originals_bridge_repl_orig_title_paper_20_experiment_1_paper_20_experimen	weak_side_target:figure1_source_side_bb97676aad1ae55c	weak_side_target	very_low	true	weak_or_missing_title_and_no_doi_or_url|dedupe_not_doi_based|weak_title_label_present	paper_20_experiment_1			original	1	1	1	0	included_by_current_figure1_dn_rule	rpcb	P0	existing_value_text_promotion	D0	source_family_backfill_for_included_weak_identity	weak identity has no usable title/DOI/URL	"rpcb ""paper_20_experiment_1"" original weak_side_target:figure1_source_side_bb97676aad1ae55c original replication paper DOI source family"	"rpcb ""paper_20_experiment_1"" original weak_side_target:figure1_source_side_bb97676aad1ae55c original replication paper DOI source family"	resolved_title|resolved_authors|resolved_year|resolved_venue|resolved_doi_or_pmid_or_pmcid_or_stable_url|resolution_source_url|verbatim_match_evidence	Do not edit root pair values. Add or propose a resolved citation only when the title/label maps to a citeable source object with enough evidence to distinguish original vs replication side.	Use source-family rows and local corpus artifacts to resolve the represented original or replication source to a citeable paper/report/dataset.	"[""fig1_pair_f6ccdee0845c45eb""]"	"[""figure1_source_side_bb97676aad1ae55c""]"	"[""figure1_pair_chase_42dd7a9a0f3bf12f""]"	"[""fig1_pair_f6ccdee0845c45eb""]"	2026-05-05T00:00:00
figure1_identity_disambiguation_2f1b383c1785f6f0	figure1_individual_study_7394d1d745ce98cf	corpus_replication_pair_originals_bridge_repl_orig_title_paper_21_experiment_1_paper_21_experimen	corpus_replication_pair_originals_bridge_repl_orig_title_paper_21_experiment_1_paper_21_experimen	weak_side_target:figure1_source_side_a1103b124abbc1c7	weak_side_target	very_low	true	weak_or_missing_title_and_no_doi_or_url|dedupe_not_doi_based|weak_title_label_present	paper_21_experiment_1			original	1	1	1	0	included_by_current_figure1_dn_rule	rpcb	P0	existing_value_text_promotion	D0	source_family_backfill_for_included_weak_identity	weak identity has no usable title/DOI/URL	"rpcb ""paper_21_experiment_1"" original weak_side_target:figure1_source_side_a1103b124abbc1c7 original replication paper DOI source family"	"rpcb ""paper_21_experiment_1"" original weak_side_target:figure1_source_side_a1103b124abbc1c7 original replication paper DOI source family"	resolved_title|resolved_authors|resolved_year|resolved_venue|resolved_doi_or_pmid_or_pmcid_or_stable_url|resolution_source_url|verbatim_match_evidence	Do not edit root pair values. Add or propose a resolved citation only when the title/label maps to a citeable source object with enough evidence to distinguish original vs replication side.	Use source-family rows and local corpus artifacts to resolve the represented original or replication source to a citeable paper/report/dataset.	"[""fig1_pair_38d589d52bb4dad4""]"	"[""figure1_source_side_a1103b124abbc1c7""]"	"[""figure1_pair_chase_7e3c889f61f1b2db""]"	"[""fig1_pair_38d589d52bb4dad4""]"	2026-05-05T00:00:00
figure1_identity_disambiguation_ac04242f0cc0d025	figure1_individual_study_162a3baa5cb81708	corpus_replication_pair_originals_bridge_repl_orig_title_paper_21_experiment_1_paper_21_experimen	corpus_replication_pair_originals_bridge_repl_orig_title_paper_21_experiment_1_paper_21_experimen	weak_side_target:figure1_source_side_eaa7245b964994a5	weak_side_target	very_low	true	weak_or_missing_title_and_no_doi_or_url|dedupe_not_doi_based|weak_title_label_present	paper_21_experiment_1			original	1	1	1	0	included_by_current_figure1_dn_rule	rpcb	P0	existing_value_text_promotion	D0	source_family_backfill_for_included_weak_identity	weak identity has no usable title/DOI/URL	"rpcb ""paper_21_experiment_1"" original weak_side_target:figure1_source_side_eaa7245b964994a5 original replication paper DOI source family"	"rpcb ""paper_21_experiment_1"" original weak_side_target:figure1_source_side_eaa7245b964994a5 original replication paper DOI source family"	resolved_title|resolved_authors|resolved_year|resolved_venue|resolved_doi_or_pmid_or_pmcid_or_stable_url|resolution_source_url|verbatim_match_evidence	Do not edit root pair values. Add or propose a resolved citation only when the title/label maps to a citeable source object with enough evidence to distinguish original vs replication side.	Use source-family rows and local corpus artifacts to resolve the represented original or replication source to a citeable paper/report/dataset.	"[""fig1_pair_9b209a5c79c3f0e3""]"	"[""figure1_source_side_eaa7245b964994a5""]"	"[""figure1_pair_chase_52446837a2887b12""]"	"[""fig1_pair_9b209a5c79c3f0e3""]"	2026-05-05T00:00:00
figure1_identity_disambiguation_4dcd6ea25caf5cc5	figure1_individual_study_74b582b1da16a4dd	corpus_replication_pair_originals_bridge_repl_orig_title_paper_21_experiment_1_paper_21_experimen	corpus_replication_pair_originals_bridge_repl_orig_title_paper_21_experiment_1_paper_21_experimen	weak_side_target:figure1_source_side_53fd912adb2bdece	weak_side_target	very_low	true	weak_or_missing_title_and_no_doi_or_url|dedupe_not_doi_based|weak_title_label_present	paper_21_experiment_1			original	1	1	1	0	included_by_current_figure1_dn_rule	rpcb	P0	existing_value_text_promotion	D0	source_family_backfill_for_included_weak_identity	weak identity has no usable title/DOI/URL	"rpcb ""paper_21_experiment_1"" original weak_side_target:figure1_source_side_53fd912adb2bdece original replication paper DOI source family"	"rpcb ""paper_21_experiment_1"" original weak_side_target:figure1_source_side_53fd912adb2bdece original replication paper DOI source family"	resolved_title|resolved_authors|resolved_year|resolved_venue|resolved_doi_or_pmid_or_pmcid_or_stable_url|resolution_source_url|verbatim_match_evidence	Do not edit root pair values. Add or propose a resolved citation only when the title/label maps to a citeable source object with enough evidence to distinguish original vs replication side.	Use source-family rows and local corpus artifacts to resolve the represented original or replication source to a citeable paper/report/dataset.	"[""fig1_pair_f4564e9301b638d3""]"	"[""figure1_source_side_53fd912adb2bdece""]"	"[""figure1_pair_chase_ea33baf2fe939876""]"	"[""fig1_pair_f4564e9301b638d3""]"	2026-05-05T00:00:00
figure1_identity_disambiguation_3a70f3da80a6410d	figure1_individual_study_c0b81419d8f90bad	corpus_replication_pair_originals_bridge_repl_orig_title_paper_28_experiment_2_paper_28_experimen	corpus_replication_pair_originals_bridge_repl_orig_title_paper_28_experiment_2_paper_28_experimen	weak_side_target:figure1_source_side_4ae330419c6800cb	weak_side_target	very_low	true	weak_or_missing_title_and_no_doi_or_url|dedupe_not_doi_based|weak_title_label_present	paper_28_experiment_2			original	1	1	1	0	included_by_current_figure1_dn_rule	rpcb	P0	existing_value_text_promotion	D0	source_family_backfill_for_included_weak_identity	weak identity has no usable title/DOI/URL	"rpcb ""paper_28_experiment_2"" original weak_side_target:figure1_source_side_4ae330419c6800cb original replication paper DOI source family"	"rpcb ""paper_28_experiment_2"" original weak_side_target:figure1_source_side_4ae330419c6800cb original replication paper DOI source family"	resolved_title|resolved_authors|resolved_year|resolved_venue|resolved_doi_or_pmid_or_pmcid_or_stable_url|resolution_source_url|verbatim_match_evidence	Do not edit root pair values. Add or propose a resolved citation only when the title/label maps to a citeable source object with enough evidence to distinguish original vs replication side.	Use source-family rows and local corpus artifacts to resolve the represented original or replication source to a citeable paper/report/dataset.	"[""fig1_pair_fb84fb3fffc118f9""]"	"[""figure1_source_side_4ae330419c6800cb""]"	"[""figure1_pair_chase_01ba8ba98a472294""]"	"[""fig1_pair_fb84fb3fffc118f9""]"	2026-05-05T00:00:00
figure1_identity_disambiguation_a204ca76e7586fd6	figure1_individual_study_e19b3543a6e91e13	corpus_replication_pair_originals_bridge_repl_orig_title_paper_29_experiment_3_paper_29_experimen	corpus_replication_pair_originals_bridge_repl_orig_title_paper_29_experiment_3_paper_29_experimen	weak_side_target:figure1_source_side_6e3404a9bb77cb56	weak_side_target	very_low	true	weak_or_missing_title_and_no_doi_or_url|dedupe_not_doi_based|weak_title_label_present	paper_29_experiment_3			original	1	1	1	0	included_by_current_figure1_dn_rule	rpcb	P0	existing_value_text_promotion	D0	source_family_backfill_for_included_weak_identity	weak identity has no usable title/DOI/URL	"rpcb ""paper_29_experiment_3"" original weak_side_target:figure1_source_side_6e3404a9bb77cb56 original replication paper DOI source family"	"rpcb ""paper_29_experiment_3"" original weak_side_target:figure1_source_side_6e3404a9bb77cb56 original replication paper DOI source family"	resolved_title|resolved_authors|resolved_year|resolved_venue|resolved_doi_or_pmid_or_pmcid_or_stable_url|resolution_source_url|verbatim_match_evidence	Do not edit root pair values. Add or propose a resolved citation only when the title/label maps to a citeable source object with enough evidence to distinguish original vs replication side.	Use source-family rows and local corpus artifacts to resolve the represented original or replication source to a citeable paper/report/dataset.	"[""fig1_pair_69a251bd909f8129""]"	"[""figure1_source_side_6e3404a9bb77cb56""]"	"[""figure1_pair_chase_69ef1a0d7de0b13c""]"	"[""fig1_pair_69a251bd909f8129""]"	2026-05-05T00:00:00
figure1_identity_disambiguation_6d07ea3f3a377952	figure1_individual_study_370dfde69b1b427b	corpus_replication_pair_originals_bridge_repl_orig_title_paper_37_experiment_1_paper_37_experimen	corpus_replication_pair_originals_bridge_repl_orig_title_paper_37_experiment_1_paper_37_experimen	weak_side_target:figure1_source_side_0ce8e2ca5075dbea	weak_side_target	very_low	true	weak_or_missing_title_and_no_doi_or_url|dedupe_not_doi_based|weak_title_label_present	paper_37_experiment_1			original	1	1	1	0	included_by_current_figure1_dn_rule	rpcb	P1	title_source_object_search	D0	source_family_backfill_for_included_weak_identity	weak identity has no usable title/DOI/URL	"rpcb ""paper_37_experiment_1"" original weak_side_target:figure1_source_side_0ce8e2ca5075dbea original replication paper DOI source family"	"rpcb ""paper_37_experiment_1"" original weak_side_target:figure1_source_side_0ce8e2ca5075dbea original replication paper DOI source family"	resolved_title|resolved_authors|resolved_year|resolved_venue|resolved_doi_or_pmid_or_pmcid_or_stable_url|resolution_source_url|verbatim_match_evidence	Do not edit root pair values. Add or propose a resolved citation only when the title/label maps to a citeable source object with enough evidence to distinguish original vs replication side.	Use source-family rows and local corpus artifacts to resolve the represented original or replication source to a citeable paper/report/dataset.	"[""fig1_pair_c25bd0e5d3983dad""]"	"[""figure1_source_side_0ce8e2ca5075dbea""]"	"[""figure1_pair_chase_252c731e9216da9b""]"	"[""fig1_pair_c25bd0e5d3983dad""]"	2026-05-05T00:00:00
figure1_identity_disambiguation_77f85efc93407184	figure1_individual_study_a7dfe2a655112269	corpus_replication_pair_originals_bridge_repl_orig_title_paper_39_experiment_1_paper_39_experimen	corpus_replication_pair_originals_bridge_repl_orig_title_paper_39_experiment_1_paper_39_experimen	weak_side_target:figure1_source_side_7dc3f8032fe3f3ef	weak_side_target	very_low	true	weak_or_missing_title_and_no_doi_or_url|dedupe_not_doi_based|weak_title_label_present	paper_39_experiment_1			original	1	1	1	0	included_by_current_figure1_dn_rule	rpcb	P0	existing_value_text_promotion	D0	source_family_backfill_for_included_weak_identity	weak identity has no usable title/DOI/URL	"rpcb ""paper_39_experiment_1"" original weak_side_target:figure1_source_side_7dc3f8032fe3f3ef original replication paper DOI source family"	"rpcb ""paper_39_experiment_1"" original weak_side_target:figure1_source_side_7dc3f8032fe3f3ef original replication paper DOI source family"	resolved_title|resolved_authors|resolved_year|resolved_venue|resolved_doi_or_pmid_or_pmcid_or_stable_url|resolution_source_url|verbatim_match_evidence	Do not edit root pair values. Add or propose a resolved citation only when the title/label maps to a citeable source object with enough evidence to distinguish original vs replication side.	Use source-family rows and local corpus artifacts to resolve the represented original or replication source to a citeable paper/report/dataset.	"[""fig1_pair_cb713c872e0d9b45""]"	"[""figure1_source_side_7dc3f8032fe3f3ef""]"	"[""figure1_pair_chase_6cdad52999431ac8""]"	"[""fig1_pair_cb713c872e0d9b45""]"	2026-05-05T00:00:00
figure1_identity_disambiguation_db900a2b73c751a3	figure1_individual_study_f6b7d678cd6b0a40	corpus_replication_pair_originals_bridge_repl_orig_title_paper_41_experiment_2_paper_41_experimen	corpus_replication_pair_originals_bridge_repl_orig_title_paper_41_experiment_2_paper_41_experimen	weak_side_target:figure1_source_side_9d6c3a1233636185	weak_side_target	very_low	true	weak_or_missing_title_and_no_doi_or_url|dedupe_not_doi_based|weak_title_label_present	paper_41_experiment_2			original	1	1	1	0	included_by_current_figure1_dn_rule	rpcb	P0	existing_value_text_promotion	D0	source_family_backfill_for_included_weak_identity	weak identity has no usable title/DOI/URL	"rpcb ""paper_41_experiment_2"" original weak_side_target:figure1_source_side_9d6c3a1233636185 original replication paper DOI source family"	"rpcb ""paper_41_experiment_2"" original weak_side_target:figure1_source_side_9d6c3a1233636185 original replication paper DOI source family"	resolved_title|resolved_authors|resolved_year|resolved_venue|resolved_doi_or_pmid_or_pmcid_or_stable_url|resolution_source_url|verbatim_match_evidence	Do not edit root pair values. Add or propose a resolved citation only when the title/label maps to a citeable source object with enough evidence to distinguish original vs replication side.	Use source-family rows and local corpus artifacts to resolve the represented original or replication source to a citeable paper/report/dataset.	"[""fig1_pair_bd05b67d13934245""]"	"[""figure1_source_side_9d6c3a1233636185""]"	"[""figure1_pair_chase_c4765e6d2c758525""]"	"[""fig1_pair_bd05b67d13934245""]"	2026-05-05T00:00:00
figure1_identity_disambiguation_a3c6dc56b02979e5	figure1_individual_study_f34e65991e111184	corpus_replication_pair_originals_bridge_repl_orig_title_paper_42_experiment_2_paper_42_experimen	corpus_replication_pair_originals_bridge_repl_orig_title_paper_42_experiment_2_paper_42_experimen	weak_side_target:figure1_source_side_7efb2d89e76d3962	weak_side_target	very_low	true	weak_or_missing_title_and_no_doi_or_url|dedupe_not_doi_based|weak_title_label_present	paper_42_experiment_2			original	1	1	1	0	included_by_current_figure1_dn_rule	rpcb	P0	existing_value_text_promotion	D0	source_family_backfill_for_included_weak_identity	weak identity has no usable title/DOI/URL	"rpcb ""paper_42_experiment_2"" original weak_side_target:figure1_source_side_7efb2d89e76d3962 original replication paper DOI source family"	"rpcb ""paper_42_experiment_2"" original weak_side_target:figure1_source_side_7efb2d89e76d3962 original replication paper DOI source family"	resolved_title|resolved_authors|resolved_year|resolved_venue|resolved_doi_or_pmid_or_pmcid_or_stable_url|resolution_source_url|verbatim_match_evidence	Do not edit root pair values. Add or propose a resolved citation only when the title/label maps to a citeable source object with enough evidence to distinguish original vs replication side.	Use source-family rows and local corpus artifacts to resolve the represented original or replication source to a citeable paper/report/dataset.	"[""fig1_pair_4b681eca38d0eb34""]"	"[""figure1_source_side_7efb2d89e76d3962""]"	"[""figure1_pair_chase_73f91b6e26ecbbcc""]"	"[""fig1_pair_4b681eca38d0eb34""]"	2026-05-05T00:00:00
figure1_identity_disambiguation_4ab09253dab463fc	figure1_individual_study_d949313f6e8f3496	corpus_replication_pair_originals_bridge_repl_orig_title_paper_42_experiment_2_paper_42_experimen	corpus_replication_pair_originals_bridge_repl_orig_title_paper_42_experiment_2_paper_42_experimen	weak_side_target:figure1_source_side_de3b7372ea5320b0	weak_side_target	very_low	true	weak_or_missing_title_and_no_doi_or_url|dedupe_not_doi_based|weak_title_label_present	paper_42_experiment_2			original	1	1	1	0	included_by_current_figure1_dn_rule	rpcb	P0	existing_value_text_promotion	D0	source_family_backfill_for_included_weak_identity	weak identity has no usable title/DOI/URL	"rpcb ""paper_42_experiment_2"" original weak_side_target:figure1_source_side_de3b7372ea5320b0 original replication paper DOI source family"	"rpcb ""paper_42_experiment_2"" original weak_side_target:figure1_source_side_de3b7372ea5320b0 original replication paper DOI source family"	resolved_title|resolved_authors|resolved_year|resolved_venue|resolved_doi_or_pmid_or_pmcid_or_stable_url|resolution_source_url|verbatim_match_evidence	Do not edit root pair values. Add or propose a resolved citation only when the title/label maps to a citeable source object with enough evidence to distinguish original vs replication side.	Use source-family rows and local corpus artifacts to resolve the represented original or replication source to a citeable paper/report/dataset.	"[""fig1_pair_e1f61337efc490df""]"	"[""figure1_source_side_de3b7372ea5320b0""]"	"[""figure1_pair_chase_69ba8b0a332846a1""]"	"[""fig1_pair_e1f61337efc490df""]"	2026-05-05T00:00:00
figure1_identity_disambiguation_8b055e2c00ef16b3	figure1_individual_study_e90b22c69903fb4c	corpus_replication_pair_originals_bridge_repl_orig_title_paper_44_experiment_1_paper_44_experimen	corpus_replication_pair_originals_bridge_repl_orig_title_paper_44_experiment_1_paper_44_experimen	weak_side_target:figure1_source_side_a3380827d12f198e	weak_side_target	very_low	true	weak_or_missing_title_and_no_doi_or_url|dedupe_not_doi_based|weak_title_label_present	paper_44_experiment_1			original	1	1	1	0	included_by_current_figure1_dn_rule	rpcb	P0	existing_value_text_promotion	D0	source_family_backfill_for_included_weak_identity	weak identity has no usable title/DOI/URL	"rpcb ""paper_44_experiment_1"" original weak_side_target:figure1_source_side_a3380827d12f198e original replication paper DOI source family"	"rpcb ""paper_44_experiment_1"" original weak_side_target:figure1_source_side_a3380827d12f198e original replication paper DOI source family"	resolved_title|resolved_authors|resolved_year|resolved_venue|resolved_doi_or_pmid_or_pmcid_or_stable_url|resolution_source_url|verbatim_match_evidence	Do not edit root pair values. Add or propose a resolved citation only when the title/label maps to a citeable source object with enough evidence to distinguish original vs replication side.	Use source-family rows and local corpus artifacts to resolve the represented original or replication source to a citeable paper/report/dataset.	"[""fig1_pair_0e485e422f3d9573""]"	"[""figure1_source_side_a3380827d12f198e""]"	"[""figure1_pair_chase_b34402158a84c86f""]"	"[""fig1_pair_0e485e422f3d9573""]"	2026-05-05T00:00:00
figure1_identity_disambiguation_e4723a5ed9a78023	figure1_individual_study_826c775d7f309fe0	corpus_replication_pair_originals_bridge_repl_orig_title_paper_44_experiment_1_paper_44_experimen	corpus_replication_pair_originals_bridge_repl_orig_title_paper_44_experiment_1_paper_44_experimen	weak_side_target:figure1_source_side_e553cb01b8be5735	weak_side_target	very_low	true	weak_or_missing_title_and_no_doi_or_url|dedupe_not_doi_based|weak_title_label_present	paper_44_experiment_1			original	1	1	1	0	included_by_current_figure1_dn_rule	rpcb	P0	existing_value_text_promotion	D0	source_family_backfill_for_included_weak_identity	weak identity has no usable title/DOI/URL	"rpcb ""paper_44_experiment_1"" original weak_side_target:figure1_source_side_e553cb01b8be5735 original replication paper DOI source family"	"rpcb ""paper_44_experiment_1"" original weak_side_target:figure1_source_side_e553cb01b8be5735 original replication paper DOI source family"	resolved_title|resolved_authors|resolved_year|resolved_venue|resolved_doi_or_pmid_or_pmcid_or_stable_url|resolution_source_url|verbatim_match_evidence	Do not edit root pair values. Add or propose a resolved citation only when the title/label maps to a citeable source object with enough evidence to distinguish original vs replication side.	Use source-family rows and local corpus artifacts to resolve the represented original or replication source to a citeable paper/report/dataset.	"[""fig1_pair_26fc13f1377505e6""]"	"[""figure1_source_side_e553cb01b8be5735""]"	"[""figure1_pair_chase_348cc9699efe94a8""]"	"[""fig1_pair_26fc13f1377505e6""]"	2026-05-05T00:00:00
