source_side_target_id	pair_chase_task_id	figure1_replication_pair_id	current_plot_rule_status	current_plot_rule_blockers	included_in_current_figure1	side	represented_title	represented_doi	represented_value_D	represented_value_N	strict_result_check_id	source_family_key	source_family_label	side_source_object_route	side_source_object_priority	target_source_object_seed_url	side_search_query	pair_relation_search_query	needed_verbatim_fields	created_at
figure1_source_side_fe28ee4755fb4f80	figure1_pair_chase_a40a5d03a4a63c16	fig1_pair_0198d22f5b75c9c3	included_by_current_figure1_dn_rule		true	original	Position & Power (Giessner & Schubert, 2007)		0.55	64.0	dn_result_701426914700fdda	many_labs_2	Many Labs 2	existing_value_text_promotion	S0		"""Position & Power (Giessner & Schubert, 2007)"" effect size sample size"	"""Position & Power (Giessner & Schubert, 2007)"" ""Many Labs 2 - Giessner.1"" replication original effect sample size"	Promote already-found value support; still mirror represented source object if absent.	2026-05-05T00:00:00
figure1_source_side_e3da3ac3c54a90d2	figure1_pair_chase_a40a5d03a4a63c16	fig1_pair_0198d22f5b75c9c3	included_by_current_figure1_dn_rule		true	replication	Many Labs 2 - Giessner.1		0.03147	7890.0	dn_result_45126aac8ffd7130	many_labs_2	Many Labs 2	existing_value_text_promotion	S0		"""Many Labs 2 - Giessner.1"" effect size sample size"	"""Position & Power (Giessner & Schubert, 2007)"" ""Many Labs 2 - Giessner.1"" replication original effect sample size"	Promote already-found value support; still mirror represented source object if absent.	2026-05-05T00:00:00
figure1_source_side_de0fc1ffeb76ab00	figure1_pair_chase_11cf58b83d053240	fig1_pair_020fc911a9514f7a	included_by_current_figure1_dn_rule		true	original	Actions are Choices (Savani et al., 2010)		0.08222	90.0	dn_result_8c545097f190b9e2	many_labs_2	Many Labs 2	existing_value_text_promotion	S0		"""Actions are Choices (Savani et al., 2010)"" effect size sample size"	"""Actions are Choices (Savani et al., 2010)"" ""Many Labs 2 - Savani.3a"" replication original effect sample size"	Promote already-found value support; still mirror represented source object if absent.	2026-05-05T00:00:00
figure1_source_side_d6632bd76c394e30	figure1_pair_chase_11cf58b83d053240	fig1_pair_020fc911a9514f7a	included_by_current_figure1_dn_rule		true	replication	Many Labs 2 - Savani.3a		0.18465	6010.0	dn_result_72279efd070a489d	many_labs_2	Many Labs 2	existing_value_text_promotion	S0		"""Many Labs 2 - Savani.3a"" effect size sample size"	"""Actions are Choices (Savani et al., 2010)"" ""Many Labs 2 - Savani.3a"" replication original effect sample size"	Promote already-found value support; still mirror represented source object if absent.	2026-05-05T00:00:00
figure1_source_side_edf270224bafccb4	figure1_pair_chase_a8cdc23ca4973b03	fig1_pair_05ca1a194200693f	included_by_current_figure1_dn_rule		true	original	Priming Consumerism (Bauer et al., 2012)		0.87985	77.0	dn_result_78fcdce23613658d	many_labs_2	Many Labs 2	existing_value_text_promotion	S0		"""Priming Consumerism (Bauer et al., 2012)"" effect size sample size"	"""Priming Consumerism (Bauer et al., 2012)"" ""Many Labs 2 - Bauer.1"" replication original effect sample size"	Promote already-found value support; still mirror represented source object if absent.	2026-05-05T00:00:00
figure1_source_side_67a8101eeca19165	figure1_pair_chase_a8cdc23ca4973b03	fig1_pair_05ca1a194200693f	included_by_current_figure1_dn_rule		true	replication	Many Labs 2 - Bauer.1		0.12118	6608.0	dn_result_bd78328097ce58eb	many_labs_2	Many Labs 2	existing_value_text_promotion	S0		"""Many Labs 2 - Bauer.1"" effect size sample size"	"""Priming Consumerism (Bauer et al., 2012)"" ""Many Labs 2 - Bauer.1"" replication original effect sample size"	Promote already-found value support; still mirror represented source object if absent.	2026-05-05T00:00:00
figure1_source_side_7791050b5ec32f64	figure1_pair_chase_291e5388137a70fe	fig1_pair_10441b905aad0e65	included_by_current_figure1_dn_rule		true	original	Structure & Goal Pursuit (Kay et al., 2014)		0.48873	67.0	dn_result_887b1db71548cf3e	many_labs_2	Many Labs 2	existing_value_text_promotion	S0		"""Structure & Goal Pursuit (Kay et al., 2014)"" effect size sample size"	"""Structure & Goal Pursuit (Kay et al., 2014)"" ""Many Labs 2 - Kay.1"" replication original effect sample size"	Promote already-found value support; still mirror represented source object if absent.	2026-05-05T00:00:00
figure1_source_side_a92d25d672e10009	figure1_pair_chase_291e5388137a70fe	fig1_pair_10441b905aad0e65	included_by_current_figure1_dn_rule		true	replication	Many Labs 2 - Kay.1		0.02333	6506.0	dn_result_15ceef919ce4bc91	many_labs_2	Many Labs 2	existing_value_text_promotion	S0		"""Many Labs 2 - Kay.1"" effect size sample size"	"""Structure & Goal Pursuit (Kay et al., 2014)"" ""Many Labs 2 - Kay.1"" replication original effect sample size"	Promote already-found value support; still mirror represented source object if absent.	2026-05-05T00:00:00
figure1_source_side_f1beec017c315649	figure1_pair_chase_b476036c9353b231	fig1_pair_113043391d78c2a8	included_by_current_figure1_dn_rule		true	original	Social Value Orientation (Van Lange et al., 1997)		0.1917	536.0	dn_result_1ed5d2f8fe1cd4d1	many_labs_2	Many Labs 2	existing_value_text_promotion	S0		"""Social Value Orientation (Van Lange et al., 1997)"" effect size sample size"	"""Social Value Orientation (Van Lange et al., 1997)"" ""Many Labs 2 - vanLange.1"" replication original effect sample size"	Promote already-found value support; still mirror represented source object if absent.	2026-05-05T00:00:00
figure1_source_side_9ea4bf74949f83c0	figure1_pair_chase_b476036c9353b231	fig1_pair_113043391d78c2a8	included_by_current_figure1_dn_rule		true	replication	Many Labs 2 - vanLange.1		0.03376	6234.0	dn_result_1da9a58a92f0bc65	many_labs_2	Many Labs 2	existing_value_text_promotion	S0		"""Many Labs 2 - vanLange.1"" effect size sample size"	"""Social Value Orientation (Van Lange et al., 1997)"" ""Many Labs 2 - vanLange.1"" replication original effect sample size"	Promote already-found value support; still mirror represented source object if absent.	2026-05-05T00:00:00
figure1_source_side_18faf714e126c66c	figure1_pair_chase_868c4974c8a3091b	fig1_pair_16f96ac137330d7d	included_by_current_figure1_dn_rule		true	original	Affect & Risk (Rottenstreich & Hsee, 2001)		0.73872	40.0	dn_result_0e4c40b86362ea87	many_labs_2	Many Labs 2	existing_value_text_promotion	S0		"""Affect & Risk (Rottenstreich & Hsee, 2001)"" effect size sample size"	"""Affect & Risk (Rottenstreich & Hsee, 2001)"" ""Many Labs 2 - Rottenstreich.1"" replication original effect sample size"	Promote already-found value support; still mirror represented source object if absent.	2026-05-05T00:00:00
figure1_source_side_f44746fb313ac1d7	figure1_pair_chase_868c4974c8a3091b	fig1_pair_16f96ac137330d7d	included_by_current_figure1_dn_rule		true	replication	Many Labs 2 - Rottenstreich.1		0.07983	7218.0	dn_result_c2dde7e680a2e643	many_labs_2	Many Labs 2	existing_value_text_promotion	S0		"""Many Labs 2 - Rottenstreich.1"" effect size sample size"	"""Affect & Risk (Rottenstreich & Hsee, 2001)"" ""Many Labs 2 - Rottenstreich.1"" replication original effect sample size"	Promote already-found value support; still mirror represented source object if absent.	2026-05-05T00:00:00
figure1_source_side_d4b3bad5c7aaf354	figure1_pair_chase_4c39cb311dd19d09	fig1_pair_25fb08bfceb44949	included_by_current_figure1_dn_rule		true	original	Trolley Dilemma 2 (Hauser et al., 2007)		0.3375	2612.0	dn_result_5e98e5e743a8388e	many_labs_2	Many Labs 2	existing_value_text_promotion	S0		"""Trolley Dilemma 2 (Hauser et al., 2007)"" effect size sample size"	"""Trolley Dilemma 2 (Hauser et al., 2007)"" ""Many Labs 2 - Hauser.4"" replication original effect sample size"	Promote already-found value support; still mirror represented source object if absent.	2026-05-05T00:00:00
