artifact_id	path	exists	rows	columns	grain	lineage	reuse_decision
old_pair_detail_projection	data/derived/effect_inflation_dataset/plot1_replication_pair_details.csv	true	1548	27	one row per old plotted pair projection	prior work	reuse as historical subset and value/source-family clue; do not treat as full current universe
current_root_pair_table	FIGURE1_REPLICATION_PAIRS.tsv	true	2436	48	one row per current root D/N pair, included or excluded	current scripted root	canonical staging table for pair-level worklists
schema_pilot_source_result_sample	data/derived/effect_inflation_dataset/schema_pilot/source_result_codebook_sample_300.tsv	true	300	74	300-row source_result-shaped pilot sample	prior schema pilot	reuse as schema precedent for source_result/source_result_support promotion
schema_pilot_source_sample	data/derived/effect_inflation_dataset/schema_pilot/source_codebook_sample_300.tsv	true	331	13	source identity rows supporting the 300-row pilot	prior schema pilot	reuse as source/source mapping precedent
schema_pilot_source_source_mapping_sample	data/derived/effect_inflation_dataset/schema_pilot/source_source_mapping_codebook_sample_300.tsv	true	454	32	relationship mapping rows supporting the 300-row pilot	prior schema pilot	reuse as replication/source relationship precedent
current_pair_chase_worklist	steps/individual_replication_papers/figure1/pair_chase/figure1-pair-chase-worklist.tsv	true	2436	43	one row per current root pair task	current scripted worklist	use as pair-specific source-object chase and no-repull dedupe queue
current_pair_side_targets	steps/individual_replication_papers/figure1/pair_chase/figure1-pair-source-side-targets.tsv	true	4872	21	one row per original or replication side target	current scripted worklist	use as side-level acquisition/extraction queue
current_individual_study_map	steps/individual_replication_papers/figure1/pair_chase/figure1-individual-study-map.tsv	true	2605	38	one row per deduped represented study/source identity	current scripted dedupe map	use as first-pass dedupe registry for new individual replication candidates
current_side_to_individual_study_map	steps/individual_replication_papers/figure1/pair_chase/figure1-side-to-individual-study-map.tsv	true	4872	27	one row per pair side to deduped represented identity	current scripted dedupe map	preserves pair-side grain after deduping represented sources
current_individual_study_bibtex_map	steps/individual_replication_papers/figure1/pair_chase/figure1-individual-study-bibtex-map.tsv	true	2605	21	one row per deduped represented identity mapped to corpus BibTeX	current scripted bibliography map	use as BibTeX-key dedupe bridge
current_side_to_bibtex_map	steps/individual_replication_papers/figure1/pair_chase/figure1-side-to-bibtex-map.tsv	true	4872	20	one row per pair side mapped to corpus BibTeX	current scripted bibliography map	use to test whether a proposed individual pair side is already represented
current_pair_bibtex_map	steps/individual_replication_papers/figure1/pair_chase/figure1-pair-bibtex-map.tsv	true	2436	44	one row per current root pair with both side identities and BibTeX keys	current scripted bibliography map	use as the primary dedupe gate for new individual replication pairs
current_identity_disambiguation_worklist	steps/individual_replication_papers/figure1/pair_chase/figure1-identity-disambiguation-worklist.tsv	true	1766	34	one row per title-only, URL-only, or weak identity that needs cite grounding	current scripted disambiguation queue	use as the next-step queue for resolving local labels to DOI/PMID/PMCID/stable citations
current_identity_disambiguation_batch001	steps/individual_replication_papers/figure1/pair_chase/figure1-identity-disambiguation-batch001.tsv	true	200	34	first bounded batch of cite-grounding tasks	current scripted disambiguation queue	use for the next manual/Codex/GPT grounding batch
