source_side_target_id	figure1_individual_study_id	study_dedupe_key	study_dedupe_method	dedupe_confidence	pair_chase_task_id	figure1_replication_pair_id	current_plot_rule_status	current_plot_rule_blockers	included_in_current_figure1	side	represented_title	represented_doi	represented_value_D	represented_value_N	strict_result_check_id	source_family_key	source_family_label	side_source_object_route	side_source_object_priority	target_source_object_seed_url	side_search_query	pair_relation_search_query	needed_verbatim_fields	pair_chase_priority	pair_chase_route	created_at
figure1_source_side_f82573da8f2f70b9	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_5f029a9e95d85fb9	fig1_pair_007a04063aa195a4	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.525974577803178	1505.0		loopr	LOOPR	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	"""Aspinwall, L. G., & Taylor, S. E. (1992). Modeling cognitive adaptation: A longitudinal investigation of the impact of individual differences and coping on college adjustment and"" ""Aspinwall, L. G., & Taylor, S. E. (1992). Modeling cognitive adaptation: A longitudinal investigation of the impact of individual differences and coping on college adjustment and"" replication original effect sample size"	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P4	title_pair_search_then_acquire_source_objects	2026-05-05T00:00:00
figure1_source_side_b383e97e7c90b584	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_caafe392e347ed93	fig1_pair_00fc20910bf3bbf2	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.5833333333333334	747.0		fred_other_additions	FReD other additions	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	10.1037/0021-9010.85.5.751 10.1177/0956797619831612 replication	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P2	acquire_original_and_replication_source_objects_by_doi	2026-05-05T00:00:00
figure1_source_side_39598cc0d9721a82	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_8d312533727352a1	fig1_pair_02a992c846a2ceaf	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.8990385001692824	1503.0		fred_other_additions	FReD other additions	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	10.1037/0022-0167.40.4.518 10.1177/0956797619831612 replication	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P2	acquire_original_and_replication_source_objects_by_doi	2026-05-05T00:00:00
figure1_source_side_74007ea8185f5746	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_87ce847dc343a03b	fig1_pair_0415329f76294369	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.8470758203687988	1514.0		fred_other_additions	FReD other additions	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	10.1037/0022-3514.84.4.871 10.1177/0956797619831612 replication	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P2	acquire_original_and_replication_source_objects_by_doi	2026-05-05T00:00:00
figure1_source_side_079be8b9ab7c3e31	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_ec903e97da817f96	fig1_pair_0482a1e3e9bfc1dd	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.09849970853786982	758.0		loopr	LOOPR	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	"""Williamson, D. A., Kelley, M. L., Davis, C. J., Ruggiero, L., & Blouin, D. C. (1985). Psychopathology of eating disorders: A controlled comparison of bulimic, obese, and normal"" ""Williamson, D. A., Kelley, M. L., Davis, C. J., Ruggiero, L., & Blouin, D. C. (1985). Psychopathology of eating disorders: A controlled comparison of bulimic, obese, and normal"" replication original effect sample size"	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P4	title_pair_search_then_acquire_source_objects	2026-05-05T00:00:00
figure1_source_side_d4dc4a649c844b03	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_41b221cd894ce16e	fig1_pair_097b5a0897005981	excluded_by_current_figure1_dn_rule	blocked_replication_N_le_original_N	false	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	1.5084753802196165	1558.0		loopr	LOOPR	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	"""DeNeve, K. M., & Cooper, H. (1998). The happy personality: A meta-analysis of 137 personality traits and subjective well-being. Psychological Bulletin, 124, 197-229."" ""DeNeve, K. M., & Cooper, H. (1998). The happy personality: A meta-analysis of 137 personality traits and subjective well-being. Psychological Bulletin, 124, 197-229. (LOOPR)"" replication original effect sample size"	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P7	excluded_pair_title_or_family_identity_backfill	2026-05-05T00:00:00
figure1_source_side_39b730ee8417251b	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_78c3f45b087dd080	fig1_pair_0aef92129a19eebc	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.2533914778943419	1505.0		loopr	LOOPR	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	"""Trull, T. J., & Sher, K. J. (1994). Relationship between the five-factor model of personality and Axis I disorders in a nonclinical sample. Journal of Abnormal Psychology, 103,"" ""Trull, T. J., & Sher, K. J. (1994). Relationship between the five-factor model of personality and Axis I disorders in a nonclinical sample. Journal of Abnormal Psychology, 103,"" replication original effect sample size"	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P4	title_pair_search_then_acquire_source_objects	2026-05-05T00:00:00
figure1_source_side_f39ba34609c7acb0	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_9c855f4d8a7994f9	fig1_pair_0e6002dc11804b6e	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.20100756305184242	481.0		fred_other_additions	FReD other additions	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	10.1111/j.1744-6570.1999.tb00174.x 10.1177/0956797619831612 replication	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P2	acquire_original_and_replication_source_objects_by_doi	2026-05-05T00:00:00
figure1_source_side_9491c778daf138dd	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_587a72be625f7760	fig1_pair_0eb3a911298fc8d8	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.472672040177118	795.0		fred_other_additions	FReD other additions	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	10.1111/1467-6494.00102 10.1177/0956797619831612 replication	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P2	acquire_original_and_replication_source_objects_by_doi	2026-05-05T00:00:00
figure1_source_side_e78878fa2f4d9375	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_48e8219dff1ce5ff	fig1_pair_104bf05f5a56a116	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.6362128197670748	1505.0		loopr	LOOPR	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	"""Clark, L. A., Vorhies, L. & McEwen, J. L. (2002). Personality disorder symptomatology from the Five-Factor Model perspective. In P. T. Costa & T. A. Widiger (Eds.), Personality"" ""Clark, L. A., Vorhies, L. & McEwen, J. L. (2002). Personality disorder symptomatology from the Five-Factor Model perspective. In P. T. Costa & T. A. Widiger (Eds.), Personality"" replication original effect sample size"	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P4	title_pair_search_then_acquire_source_objects	2026-05-05T00:00:00
figure1_source_side_cc755e2915eb1106	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_0e053d435084232f	fig1_pair_1256626bbe98c206	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.6839494247668538	748.0		loopr	LOOPR	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	"""Thoresen, C. J., Kaplan, S. A., Barsky, A. P., Warren, C. R., & de Chermont (2003). The affective underpinnings of job perceptions and attitudes: A Meta-analytic review and"" ""Thoresen, C. J., Kaplan, S. A., Barsky, A. P., Warren, C. R., & de Chermont (2003). The affective underpinnings of job perceptions and attitudes: A Meta-analytic review and"" replication original effect sample size"	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P4	title_pair_search_then_acquire_source_objects	2026-05-05T00:00:00
figure1_source_side_a564f9f1af2e1624	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_e78f9fd2a355561a	fig1_pair_15194beead0f9a9b	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.6755205294731985	512.0		fred_other_additions	FReD other additions	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	10.1111/j.1744-6570.1999.tb00174.x 10.1177/0956797619831612 replication	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P2	acquire_original_and_replication_source_objects_by_doi	2026-05-05T00:00:00
figure1_source_side_1d83c940d3f81790	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_0c878d6525686354	fig1_pair_1645225c6fb87f90	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.38705047652302255	1550.0		fred_other_additions	FReD other additions	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	wiebe_2004 10.1177/0956797619831612 replication	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P2	acquire_original_and_replication_source_objects_by_doi	2026-05-05T00:00:00
figure1_source_side_2a88d9d8487d6807	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_ffac191b74d20780	fig1_pair_16e503de878cb21c	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.02000100007500625	1154.0		fred_other_additions	FReD other additions	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	10.1111/1467-6494.05028 10.1177/0956797619831612 replication	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P2	acquire_original_and_replication_source_objects_by_doi	2026-05-05T00:00:00
figure1_source_side_a26863ad551281d8	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_330618227831e369	fig1_pair_18d92068c56dfc5d	excluded_by_current_figure1_dn_rule	blocked_replication_N_le_original_N	false	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.06899987524622969	853.0		loopr	LOOPR	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	"""Barrick, M. R., & Mount, M. K. (1991). The Big Five personality dimensions and job performance: A meta‐analysis. Personnel Psychology, 44, 1-26."" ""Barrick, M. R., & Mount, M. K. (1991). The Big Five personality dimensions and job performance: A meta‐analysis. Personnel Psychology, 44, 1-26. (LOOPR)"" replication original effect sample size"	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P7	excluded_pair_title_or_family_identity_backfill	2026-05-05T00:00:00
figure1_source_side_576d715cd644d427	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_cc7589b9aff6a548	fig1_pair_19e749bdfeac2f37	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.1403442656943099	1550.0		fred_other_additions	FReD other additions	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	10.1037/0022-3514.83.5.1165 10.1177/0956797619831612 replication	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P2	acquire_original_and_replication_source_objects_by_doi	2026-05-05T00:00:00
figure1_source_side_f14abeca315b4e6b	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_7130e66015f2f171	fig1_pair_19ea253349c54f30	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	1.387461041260671	1550.0		fred_other_additions	FReD other additions	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	10.1016/j.paid.2010.07.033 10.1177/0956797619831612 replication	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P2	acquire_original_and_replication_source_objects_by_doi	2026-05-05T00:00:00
figure1_source_side_2131171499746d7f	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_c5c230d11984571d	fig1_pair_19f1d59e44e8075e	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.17099358316398441	1413.0		loopr	LOOPR	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	"""Wood, P. B., Cochran, J. K., Pfefferbaum, B., & Arneklev, B. J. (1995). Sensation-seeking and delinquent substance use: An extension of learning theory. Journal of Drug Issues,"" ""Wood, P. B., Cochran, J. K., Pfefferbaum, B., & Arneklev, B. J. (1995). Sensation-seeking and delinquent substance use: An extension of learning theory. Journal of Drug Issues,"" replication original effect sample size"	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P4	title_pair_search_then_acquire_source_objects	2026-05-05T00:00:00
figure1_source_side_cfd3cd5cd1f0f6fa	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_f97b5f3f8c1016d8	fig1_pair_1b6f26d32a3dce8e	excluded_by_current_figure1_dn_rule	blocked_replication_N_le_original_N	false	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	1.575673996437556	1559.0		loopr	LOOPR	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	"""DeNeve, K. M., & Cooper, H. (1998). The happy personality: A meta-analysis of 137 personality traits and subjective well-being. Psychological Bulletin, 124, 197-229."" ""DeNeve, K. M., & Cooper, H. (1998). The happy personality: A meta-analysis of 137 personality traits and subjective well-being. Psychological Bulletin, 124, 197-229. (LOOPR)"" replication original effect sample size"	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P7	excluded_pair_title_or_family_identity_backfill	2026-05-05T00:00:00
figure1_source_side_d0a8a1fee7cd33aa	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_52c0e32b7ce2fd8f	fig1_pair_1cc0fcb5e7ae1de9	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.5333350654543793	1550.0		loopr	LOOPR	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	"""Shiner, R. L., Masten, A. S., & Tellegen, A. (2002). A developmental perspective on personality in Young adulthood: Childhood antecedents and concurrent adaptation. Journal of"" ""Shiner, R. L., Masten, A. S., & Tellegen, A. (2002). A developmental perspective on personality in Young adulthood: Childhood antecedents and concurrent adaptation. Journal of"" replication original effect sample size"	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P4	title_pair_search_then_acquire_source_objects	2026-05-05T00:00:00
figure1_source_side_6891e3d5e225af05	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_6374813415fc9702	fig1_pair_226e0be5a471f763	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.10608229847614274	1413.0		loopr	LOOPR	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	"""Wood, P. B., Cochran, J. K., Pfefferbaum, B., & Arneklev, B. J. (1995). Sensation-seeking and delinquent substance use: An extension of learning theory. Journal of Drug Issues,"" ""Wood, P. B., Cochran, J. K., Pfefferbaum, B., & Arneklev, B. J. (1995). Sensation-seeking and delinquent substance use: An extension of learning theory. Journal of Drug Issues,"" replication original effect sample size"	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P4	title_pair_search_then_acquire_source_objects	2026-05-05T00:00:00
figure1_source_side_cd1679b3cae7cd24	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_5b25f1b8ac941ab0	fig1_pair_255b2517b81243b3	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.7472647177570733	1514.0		fred_other_additions	FReD other additions	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	10.1037/0022-3514.84.4.871 10.1177/0956797619831612 replication	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P2	acquire_original_and_replication_source_objects_by_doi	2026-05-05T00:00:00
figure1_source_side_bd0338e136d43042	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_a9d6e8c66bb2c8b0	fig1_pair_2a6f2b33f65b5a24	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.0890557297630622	1499.0		loopr	LOOPR	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	"""Greene, K., Krcmar, M., Walters, L. H., Rubin, D. L., Hale, J., & Hale, L. (2000). Targeting adolescent risk-taking behaviors: The contributions of egocentrism and"" ""Greene, K., Krcmar, M., Walters, L. H., Rubin, D. L., Hale, J., & Hale, L. (2000). Targeting adolescent risk-taking behaviors: The contributions of egocentrism and"" replication original effect sample size"	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P4	title_pair_search_then_acquire_source_objects	2026-05-05T00:00:00
figure1_source_side_b97637a07d38a6c9	figure1_individual_study_4430851329d04188	doi:10.1177/0956797619831612	doi	high	figure1_pair_chase_4badda3d18e085e6	fig1_pair_2f89c2ddcd1bfbe7	included_by_current_figure1_dn_rule		true	replication	How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project	10.1177/0956797619831612	0.8506683179871025	1514.0		loopr	LOOPR	doi_source_object_acquisition	S1	https://doi.org/10.1177/0956797619831612	10.1177/0956797619831612	"""Thrash, T. M., & Elliot, A. J. (2003). Inspiration as a psychological construct. Journal of Personality and Social Psychology, 84, 871-889."" ""Thrash, T. M., & Elliot, A. J. (2003). Inspiration as a psychological construct. Journal of Personality and Social Psychology, 84, 871-889. (LOOPR)"" replication original effect sample size"	Resolve DOI to value-bearing source object, mirror bytes, and extract verbatim D/N text.	P4	title_pair_search_then_acquire_source_objects	2026-05-05T00:00:00
