proposal_action	coding_task_id	lead_key	review_id	decision	routing_class	receipt_path	matched_existing_row	matched_existing_corpus_database_id	field_coding_required	fields_requiring_coding	proposal_basis	corpus_database_id	merge_key	merge_basis	name	record_kind	inventory_status	source_family	domain_or_field	description	why_relevant	plot_universe_ids	current_scope_roles	figure1_replication_relevance	figure2_published_relevance	figure3_prereg_relevance	discovery_source	discovery_source_path	source_key	citation_key	landing_url	raw_url	host	access_class	access_status	local_raw_paths	backing_files	staged_paths	promoted_paths	expected_rows	known_rows	known_pair_rows	known_paper_units	known_test_rows	result_fields_available	has_d_or_convertible_effect	has_n	has_replication_pair_mapping	has_prereg_or_planning_info	has_publication_links	parser_family	parser_status	blocker_codes	next_action	notes	last_seen
update_existing_context_status	fieldcode_title_a_large_scale_in_silico_replication_of_ecological_and_evolutionary_studies	title:a_large_scale_in_silico_replication_of_ecological_and_evolutionary_studies	review_figure1_search_leads_1791596725b9	keep_as_context_source	context	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_a_large_scale_in_silico_replication_of_ecological_and_evolutionary_studies.json	yes	biblio_search_europepmc_73a746f8d5ae	no		The Nature Ecology and Evolution article is a large in-silico replicability analysis rather than a direct independent original-versus-replication corpus. It may be useful as cross-field context or a manual claim-replication target, but should not advance as a Figure 1 pair source without a stricter mapping review.	biblio_search_europepmc_73a746f8d5ae	search_title:a_large_scale_in_silico_replication_of_ecological_and_evolutionary_studies	search_title	A large-scale in silico replication of ecological and evolutionary studies.	candidate_corpus_or_database	catalog_only_context_lead	figure1_bibliographic_search	unknown	Despite the growing concerns about the replicability of ecological and evolutionary studies, no results exist from a field-wide replication project. We conduct a large-scale in silico replication project, leveraging cutting-edge statistical methodologies. Replicability is 30%-40% for studies with marginal statistical significance in the absence of selective reporting, whereas the replicability of studies presenting 'strong' evidence against the null hypothesis H<sub>0</sub> is >70%. The former requires a sevenfold larger sample size to reach the latter's replicability. We call for a change in planning, conducting and publishing research towards a transparent, credible and replicable ecology and evolution.	"Matched Figure 1 bibliographic search query '""large-scale replication"" ""dataset""'; lead_classification=corpus_database_or_project_signal; score=15; reasons=strong_phrase:replication project | pair_term:sample size | pair_term:larger sample | replication_word | effect_or_sample_size_phrase | metadata_corpus_signal"	plot1_replication_pairs	figure1_corpus_database_candidate | context_source	no	unknown	unknown	figure1_bibliographic_europepmc_search	steps/searches/figure1/corporasearch-bibliographic-openalex-crossref-replication-database-effect-size.json	PMC11618063 | doi:10.1038/s41559-024-02530-5		https://doi.org/10.1038/s41559-024-02530-5		doi.org	public_metadata	search_metadata_seen										unknown; search metadata only	unknown	yes	unknown	unknown	yes	not_assigned	not_started	metadata_only_search_hit	keep_as_context_or_manual_followup_not_current_figure1_pair_parser	provider=europepmc | external_id=PMC11618063 | doi=10.1038/s41559-024-02530-5 | review_cue=figure1_search_leads | decision=keep_as_context_source | confidence=medium | reason=The Nature Ecology and Evolution article is a large in-silico replicability analysis rather than a direct independent original-versus-replication corpus. It may be useful as cross-field context or a manual claim-replication target, but should not advance as a Figure 1 pair source without a stricter mapping review.	2026-05-02
update_existing_context_status	fieldcode_title_a_problem_in_theory_and_more_measuring_the_moderating_role_of_culture_in_many_labs_2	title:a_problem_in_theory_and_more_measuring_the_moderating_role_of_culture_in_many_labs_2	review_figure1_search_leads_434c463074a7	keep_as_context_source	context	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_a_problem_in_theory_and_more_measuring_the_moderating_role_of_culture_in_many_labs_2.json	yes	biblio_search_europepmc_e157ba24e5e8	no		This is a critique/reanalysis of Many Labs 2 culture-moderation methods. Many Labs 2 itself is already the source-family candidate; this preprint is contextual and should not create a separate Figure 1 source-family row.	biblio_search_europepmc_e157ba24e5e8	search_title:a_problem_in_theory_and_more_measuring_the_moderating_role_of_culture_in_many_labs_2	search_title	A Problem in Theory and More: Measuring the Moderating Role of Culture in Many Labs 2	candidate_corpus_or_database	catalog_only_context_lead	figure1_bibliographic_search	unknown	<p>The multi-site replication study, Many Labs 2 (ML2), attempted to test whether population, site and setting variability moderates the likelihood of replication and effect size. The analysis concluded that sample location and setting did not substantially affect the replicability of findings. In this paper, we raise several issues with the ML2 approach to adjudicating the effect of culture that cast doubt on this conclusion. These theoretical and methodological problems (pre-registered at https://osf.io/6exr4) involve the: (1) selection of studies and sample sites for replication that are not theory-driven, (2) sampling of mostly WEIRD people around the world, (3) conflation of participants’ cultural backgrounds with the country where the samples came from, (4) use of the WEIRD backronym by decomposing it into a scale, and (5) application of a mean split of that WEIRD variable. Moreover, simulations reveal strikingly low statistical power for detecting cultural influences in a multi-side study designed like ML2. We propose methodologies to address problems (3) to( 5) by re-analyzing the ML2 dataset using an alternative approach. These results suggest that tackling only some of the design problems is insufficient to overcome the underlying theoretical and methodological deficiencies. We conclude with specific recommendations for assessing the role of population variability in future multi-site studies that address evidentiary value and effect size.</p>	"Matched Figure 1 bibliographic search query '""multi-site replication"" ""dataset""'; lead_classification=corpus_database_or_project_signal; score=21; reasons=strong_phrase:many labs | strong_phrase:multi-site replication | pair_term:effect size | data_term:data | data_term:dataset | data_term:osf | replication_word | effect_or_sample_size_phrase | metadata_corpus_signal"	plot1_replication_pairs	figure1_corpus_database_candidate | context_source	no	unknown	unknown	figure1_bibliographic_europepmc_search | figure1_bibliographic_openalex_search	steps/searches/figure1/corporasearch-bibliographic-openalex-crossref-replication-database-effect-size.json	https://doi.org/10.31234/osf.io/hmnrx | https://openalex.org/W4319984852 | doi:10.31234/osf.io/hmnrx		https://doi.org/10.31234/osf.io/hmnrx		doi.org	public_metadata	search_metadata_seen										unknown; search metadata only	yes	yes	unknown	unknown	yes	not_assigned	not_started	metadata_only_search_hit	keep_as_many_labs_2_context_only	provider=europepmc | external_id= | doi=10.31234/osf.io/hmnrx | provider=openalex | external_id=https://openalex.org/W4319984852 | doi=https://doi.org/10.31234/osf.io/hmnrx | review_cue=figure1_search_leads | decision=keep_as_context_source | confidence=high | reason=This is a critique/reanalysis of Many Labs 2 culture-moderation methods. Many Labs 2 itself is already the source-family candidate | this preprint is contextual and should not create a separate Figure 1 source-family row.	2026-05-02
update_existing_context_status	fieldcode_title_a_scoping_review_on_metrics_to_quantify_reproducibility_a_multitude_of_questions_leads_to_a_multitude_of_metrics	title:a_scoping_review_on_metrics_to_quantify_reproducibility_a_multitude_of_questions_leads_to_a_multitude_of_metrics	review_figure1_search_leads_55a96c22e10c	keep_as_context_source	context	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_a_scoping_review_on_metrics_to_quantify_reproducibility_a_multitude_of_questions_leads_to_a_multitude_of_metrics.json	yes	biblio_search_europepmc_62ed5748b3a7	no		This is a scoping review and live-table resource about reproducibility metrics and large-scale projects. It is useful for context or seed discovery, but it is not itself an original/replication pair corpus.	biblio_search_europepmc_62ed5748b3a7	search_title:a_scoping_review_on_metrics_to_quantify_reproducibility_a_multitude_of_questions_leads_to_a_multitude_of_metrics	search_title	A scoping review on metrics to quantify reproducibility: a multitude of questions leads to a multitude of metrics.	candidate_corpus_or_database	catalog_only_context_lead	figure1_bibliographic_search	unknown	Reproducibility is recognized as essential to scientific progress and integrity. Replication studies and large-scale replication projects, aiming to quantify different aspects of reproducibility, have become more common. Since no standardized approach to measuring reproducibility exists, a diverse set of metrics has emerged and a comprehensive overview is needed. We conducted a scoping review to identify large-scale replication projects that used metrics and methodological papers that proposed or discussed metrics. The project list was compiled by the authors. For the methodological papers, we searched Scopus, MedLine, PsycINFO and EconLit. Records were screened in duplicate against pre-defined inclusion criteria. Demographic information on included records and information on reproducibility metrics used, suggested or discussed was extracted. We identified 49 large-scale projects and 97 methodological papers and extracted 50 metrics. The metrics were characterized based on type (formulas and/or statistical models, frameworks, graphical representations, studies and questionnaires, algorithms), input required and appropriate application scenarios. Each metric addresses a distinct question. Our review provides a comprehensive resource in the form of a 'live', interactive table for future replication teams and meta-researchers, offering support in how to select the most appropriate metrics that are aligned with research questions and project goals.	"Matched Figure 1 bibliographic search query '""replication database"" psychology'; lead_classification=corpus_database_or_project_signal; score=19; reasons=strong_phrase:replication project | strong_phrase:large-scale replication | strong_phrase:replication studies | replication_word | metadata_corpus_signal"	plot1_replication_pairs	figure1_corpus_database_candidate | context_source	no	unknown	unknown	figure1_bibliographic_europepmc_search	steps/searches/figure1/corporasearch-bibliographic-openalex-crossref-replication-database-effect-size.json	PMC12395386 | doi:10.1098/rsos.242076		https://doi.org/10.1098/rsos.242076		doi.org	public_metadata	search_metadata_seen										unknown; search metadata only	unknown	unknown	unknown	unknown	yes	not_assigned	not_started	metadata_only_search_hit	keep_as_context_and_possible_seed_list_not_figure1_pair_parser	provider=europepmc | external_id=PMC12395386 | doi=10.1098/rsos.242076 | review_cue=figure1_search_leads | decision=keep_as_context_source | confidence=high | reason=This is a scoping review and live-table resource about reproducibility metrics and large-scale projects. It is useful for context or seed discovery, but it is not itself an original/replication pair corpus.	2026-05-02
append_context_lead	fieldcode_title_additional_file_1_of_semantic_and_cognitive_tools_to_aid_statistical_science_replace_confidence_and_significance_by_comp	title:additional_file_1_of_semantic_and_cognitive_tools_to_aid_statistical_science_replace_confidence_and_significance_by_comp	review_figure1_search_leads_da6e1c0421a5	keep_as_context_source	context	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_additional_file_1_of_semantic_and_cognitive_tools_to_aid_statistical_science_replace_confidence_and_significance_by_comp.json	no		no		This is a supplementary appendix for a statistical-interpretation methods paper. It may be general methodological context, but it does not expose original/replication pair rows or a replication source family.	reviewcue_title_additional_file_1_of_semantic_and_cognitive_tools_to_aid_statistical_science_replace_confidence_and_significance_by_comp			Additional File 1 Of Semantic And Cognitive Tools To Aid Statistical Science Replace Confidence And Significance By Comp	candidate_repository_package	catalog_only_context_lead						context_source	no					doi:10.6084/m9.figshare.13031530.v1																									keep_as_methods_context_not_figure1_pair_source	review_cue=figure1_search_leads | decision=keep_as_context_source | confidence=high | reason=This is a supplementary appendix for a statistical-interpretation methods paper. It may be general methodological context, but it does not expose original/replication pair rows or a replication source family.	2026-05-02
append_context_lead	fieldcode_title_additional_file_1_of_the_reprise_project_protocol_for_an_evaluation_of_reproducibility_and_replicability_in_syntheses_of	title:additional_file_1_of_the_reprise_project_protocol_for_an_evaluation_of_reproducibility_and_replicability_in_syntheses_of	review_figure1_search_leads_6b43402f01f7	keep_as_context_source	context	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_additional_file_1_of_the_reprise_project_protocol_for_an_evaluation_of_reproducibility_and_replicability_in_syntheses_of.json	no		no		This is a search-strategy supplement for the REPRISE protocol. It is protocol/context material, not a result-bearing source-family artifact or pair table.	reviewcue_title_additional_file_1_of_the_reprise_project_protocol_for_an_evaluation_of_reproducibility_and_replicability_in_syntheses_of			Additional File 1 Of The Reprise Project Protocol For An Evaluation Of Reproducibility And Replicability In Syntheses Of	candidate_repository_package	catalog_only_context_lead						context_source	no					doi:10.6084/m9.figshare.14442918.v1																									keep_as_protocol_context_only_unless_a_completed_reprise_results_dataset_is_found_separately	review_cue=figure1_search_leads | decision=keep_as_context_source | confidence=high | reason=This is a search-strategy supplement for the REPRISE protocol. It is protocol/context material, not a result-bearing source-family artifact or pair table.	2026-05-02
append_context_lead	fieldcode_title_advancing_the_cognitive_science_of_religion_through_replication_and_open_science	title:advancing_the_cognitive_science_of_religion_through_replication_and_open_science	review_figure1_search_leads_08428e8f58d8	keep_as_context_source	context	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_advancing_the_cognitive_science_of_religion_through_replication_and_open_science.json	no		no		This article discusses replication and open science in cognitive science of religion and mentions the Cross-Cultural Religious Replication Project, but it is not itself a result-bearing source family or pair table.	reviewcue_title_advancing_the_cognitive_science_of_religion_through_replication_and_open_science			Advancing The Cognitive Science Of Religion Through Replication And Open Science	candidate_repository_package	catalog_only_context_lead						context_source	no					doi:10.1558/jcsr.39039																									keep_as_context_seed_for_cross_cultural_religious_replication_project_search	review_cue=figure1_search_leads | decision=keep_as_context_source | confidence=high | reason=This article discusses replication and open science in cognitive science of religion and mentions the Cross-Cultural Religious Replication Project, but it is not itself a result-bearing source family or pair table.	2026-05-02
update_existing_context_status	fieldcode_title_aea_rct_registry	title:aea_rct_registry	review_figure1_search_leads_457c03b64b91	keep_as_context_source	context	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_aea_rct_registry.json	yes	manual_search_manual_tracker_27c69d9dadd0	no		AEA RCT Registry is a real registry/database and useful for preregistration and denominator work, but this lead does not itself expose Figure 1 original/replication pair rows.	manual_search_manual_tracker_27c69d9dadd0	search_title:aea_rct_registry	search_title	AEA RCT Registry	candidate_repository_package	catalog_only_context_lead	figure1_manual_search	unknown	Manual suggestion tracker row; status=worked as denominator scaffold; row=AEA RCT Registry | worked as denominator scaffold | Downloaded current registry CSV from `socialscienceregistry.org/site/csv`: 11,945 trials with status, primary outcomes, sample-size fields, PAP/data/program/relevant-paper fields. Dataverse snapshots are also accessible by API, but file download needs further API handling. | Best economics/social-science pre-publication denominator. | Registry has planned outcomes and sample sizes, but not publication-output coding or result effects. Need Leight/Asri/Imai output data or build searches/extraction.	Matched Figure 1 manual search query 'papers or corpora mentioned in notes but not yet inventoried'; lead_classification=manual_artifact_without_corpus_confirmation; score=3; reasons=pair_term:sample size | data_term:data | data_term:dataverse | manual_tracker_status_signal | no_replication_language_penalty	plot1_replication_pairs	figure1_repository_package_candidate | context_source	no	unknown	unknown	figure1_manual_manual_tracker_search	steps/searches/figure1/corporasearch-manual-expert-suggestion-tracker.json	manual_tracker_row_aea_rct_registry_89598deb8a52 | manual_tracker:aea_rct_registry		reports/corpus_suggestion_tracker.md	reports/corpus_suggestion_tracker.md	manual_tracker	public_metadata	search_metadata_seen										unknown; search metadata only	unknown	yes	unknown	unknown	unknown	not_assigned	not_started	metadata_only_search_hit	keep_for_figure3_or_denominator_context_not_figure1_pair_parser	provider=manual_tracker | external_id=manual_tracker_row_aea_rct_registry_89598deb8a52 | doi= | review_cue=figure1_search_leads | decision=keep_as_context_source | confidence=high | reason=AEA RCT Registry is a real registry/database and useful for preregistration and denominator work, but this lead does not itself expose Figure 1 original/replication pair rows.	2026-05-02
update_existing_context_status	fieldcode_title_analyzing_data_of_a_multilab_replication_project_with_individual_participant_data_meta_analysis	title:analyzing_data_of_a_multilab_replication_project_with_individual_participant_data_meta_analysis	review_figure1_search_leads_dda29ca9aa76	keep_as_context_source	context	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_analyzing_data_of_a_multilab_replication_project_with_individual_participant_data_meta_analysis.json	yes	citation_search_openalex_166831ec4722	no		This is a tutorial/methods article about analyzing multilab replication projects with IPD meta-analysis. It uses an RRR as an example but is not itself a source-family corpus or result table.	citation_search_openalex_166831ec4722	search_title:analyzing_data_of_a_multilab_replication_project_with_individual_participant_data_meta_analysis	search_title	Analyzing Data of a Multilab Replication Project With Individual Participant Data Meta-Analysis	candidate_corpus_or_database	catalog_only_context_lead	figure1_citation_search	unknown	Abstract. Multilab replication projects such as Registered Replication Reports (RRR) and Many Labs projects are used to replicate an effect in different labs. Data of these projects are usually analyzed using conventional meta-analysis methods. This is certainly not the best approach because it does not make optimal use of the available data as a summary rather than participant data are analyzed. I propose to analyze data of multilab replication projects with individual participant data (IPD) meta-analysis where the participant data are analyzed directly. The prominent advantages of IPD meta-analysis are that it generally has larger statistical power to detect moderator effects and allows drawing conclusions at the participant and lab level. However, a disadvantage is that IPD meta-analysis is more complex than conventional meta-analysis. In this tutorial, I illustrate IPD meta-analysis using the RRR by McCarthy and colleagues, and I provide R code and recommendations to facilitate researchers to apply these methods.	"Matched Figure 1 citation search query '""registered replication report"" ""many labs""'; lead_classification=corpus_database_or_project_signal; score=21; reasons=strong_phrase:replication project | strong_phrase:registered replication report | strong_phrase:many labs | data_term:data | data_term:code | replication_word | metadata_corpus_signal"	plot1_replication_pairs	figure1_corpus_database_candidate | context_source	no	unknown	unknown	figure1_citation_openalex_search	steps/searches/figure1/corporasearch-citation-snowball-known-replication-corpora.json	https://openalex.org/W4210766447 | 10.1027/2151-2604/a000483		https://doi.org/10.1027/2151-2604/a000483		doi.org	public_metadata	search_metadata_seen										unknown; search metadata only	unknown	unknown	unknown	unknown	yes	not_assigned	not_started	metadata_only_search_hit	keep_as_methods_context_not_figure1_pair_source	provider=openalex | external_id=https://openalex.org/W4210766447 | doi=https://doi.org/10.1027/2151-2604/a000483 | review_cue=figure1_search_leads | decision=keep_as_context_source | confidence=high | reason=This is a tutorial/methods article about analyzing multilab replication projects with IPD meta-analysis. It uses an RRR as an example but is not itself a source-family corpus or result table.	2026-05-02
update_existing_context_status	fieldcode_title_analyzing_data_of_a_multilab_replication_project_with_individual_participant_data_meta_analysis_a_tutorial	title:analyzing_data_of_a_multilab_replication_project_with_individual_participant_data_meta_analysis_a_tutorial	review_figure1_search_leads_ce0d98ff2acc	keep_as_context_source	context	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_analyzing_data_of_a_multilab_replication_project_with_individual_participant_data_meta_analysis_a_tutorial.json	yes	citation_search_openalex_8205f5f8a5c7	no		This OSF preprint is the tutorial/version of the same IPD meta-analysis methods article. It is context for analysis methods, not a new Figure 1 source family.	citation_search_openalex_8205f5f8a5c7	search_title:analyzing_data_of_a_multilab_replication_project_with_individual_participant_data_meta_analysis_a_tutorial	search_title	Analyzing data of a multilab replication project with individual participant data meta-analysis: A tutorial	candidate_corpus_or_database	catalog_only_context_lead	figure1_citation_search	unknown	Multilab replication projects such as Registered Replication Reports (RRR) and Many Labs projects are used to replicate an effect in different labs. Data of these projects are usually analyzed using conventional meta-analysis methods. This is certainly not the best approach, because it does not make optimal use of the available data as summary rather than participant data are analyzed. I propose to analyze data of multilab replication projects with individual participant data (IPD) meta-analysis where the participant data are analyzed directly. Prominent advantages of IPD meta-analysis are that it generally has larger statistical power to detect moderator effects and allows drawing conclusions at the participant and lab level. However, a disadvantage is that IPD meta-analysis is more complex than conventional meta-analysis. In this tutorial, I illustrate IPD meta-analysis using the RRR by McCarthy and colleagues, and I provide R code and recommendations to facilitate researchers to apply these methods.	"Matched Figure 1 citation search query '""registered replication report"" ""many labs""'; lead_classification=corpus_database_or_project_signal; score=21; reasons=strong_phrase:replication project | strong_phrase:registered replication report | strong_phrase:many labs | data_term:data | data_term:code | replication_word | metadata_corpus_signal"	plot1_replication_pairs	figure1_corpus_database_candidate | context_source	no	unknown	unknown	figure1_citation_openalex_search	steps/searches/figure1/corporasearch-citation-snowball-known-replication-corpora.json	https://openalex.org/W3094282098 | 10.31222/osf.io/9tmua		https://doi.org/10.31222/osf.io/9tmua		doi.org	public_metadata	search_metadata_seen										unknown; search metadata only	unknown	unknown	unknown	unknown	yes	not_assigned	not_started	metadata_only_search_hit	keep_as_methods_context_and_deduplicate_with_the_published_tutorial	provider=openalex | external_id=https://openalex.org/W3094282098 | doi=https://doi.org/10.31222/osf.io/9tmua | review_cue=figure1_search_leads | decision=keep_as_context_source | confidence=high | reason=This OSF preprint is the tutorial/version of the same IPD meta-analysis methods article. It is context for analysis methods, not a new Figure 1 source family.	2026-05-02
update_existing_context_status	fieldcode_title_artificial_intelligence_in_psychology_research	title:artificial_intelligence_in_psychology_research	review_figure1_search_leads_77bdfd624563	keep_as_context_source	context	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_artificial_intelligence_in_psychology_research.json	yes	citation_search_openalex_721d17ae7904	no		The preprint re-replicates Many Labs 2 studies using GPT-3.5. It may be useful context for LLM-based replications, but it is not a primary human original-versus-follow-up source family under the current Figure 1 gate.	citation_search_openalex_721d17ae7904	search_title:artificial_intelligence_in_psychology_research	search_title	Artificial intelligence in psychology research	candidate_corpus_or_database	catalog_only_context_lead	figure1_citation_search	unknown	Large Language Models have vastly grown in capabilities. One potential application of such AI systems is to support data collection in the social sciences, where perfect experimental control is currently unfeasible and the collection of large, representative datasets is generally expensive. In this paper, we re-replicate 14 studies from the Many Labs 2 replication project (Klein et al., 2018) with OpenAI’s text-davinci-003 model, colloquially known as GPT3.5. For the 10 studies that we could analyse, we collected a total of 10,136 responses, each of which was obtained by running GPT3.5 with the corresponding study’s survey inputted as text. We find that our GPT3.5-based sample replicates 30% of the original results as well as 30% of the Many Labs 2 results, although there is heterogeneity in both these numbers (as we replicate some original findings that Many Labs 2 did not and vice versa). We also find that unlike the corresponding human subjects, GPT3.5 answered some survey questions with extreme homogeneity—with zero variation in different runs’ responses—raising concerns that a hypothetical AI-led future may in certain ways be subject to a diminished diversity of thought. Overall, while our results suggest that Large Language Model psychology studies are feasible, their findings should not be assumed to straightforwardly generalise to the human case. Nevertheless, AI-based data collection may eventually become a viable and economically relevant method in the empirical social sciences, making the understanding of its capabilities and applications central.	"Matched Figure 1 citation search query '""Many Labs"" replication project dataset'; lead_classification=corpus_database_or_project_signal; score=18; reasons=strong_phrase:replication project | strong_phrase:many labs | data_term:data | data_term:dataset | replication_word | original_word | metadata_corpus_signal"	plot1_replication_pairs	figure1_corpus_database_candidate | context_source	no	unknown	unknown	figure1_citation_openalex_search	steps/searches/figure1/corporasearch-citation-snowball-known-replication-corpora.json	https://openalex.org/W4321102425 | 10.31234/osf.io/rva3w		https://doi.org/10.31234/osf.io/rva3w		doi.org	public_metadata	search_metadata_seen										unknown; search metadata only	unknown	unknown	unknown	unknown	yes	not_assigned	not_started	metadata_only_search_hit	keep_as_context_or_later_llm_replication_scope_review_not_current_pair_parser	provider=openalex | external_id=https://openalex.org/W4321102425 | doi=https://doi.org/10.31234/osf.io/rva3w | review_cue=figure1_search_leads | decision=keep_as_context_source | confidence=medium | reason=The preprint re-replicates Many Labs 2 studies using GPT-3.5. It may be useful context for LLM-based replications, but it is not a primary human original-versus-follow-up source family under the current Figure 1 gate.	2026-05-02
