metric	value	cluster_count
priority_band	high	250
priority_band	low	685
priority_band	medium	252
cluster_confidence	singleton	779
cluster_confidence	strict	408
recommended_next_action	deprioritize_or_context_review	734
recommended_next_action	inventory_source_family_artifacts	68
recommended_next_action	review_cluster_representative	283
recommended_next_action	skip_cluster_reviewed_or_use_cluster_receipt	34
recommended_next_action	skip_reviewed_or_use_receipt	68
total	clusters	1187
total	nodes	2472
total	open_review_nodes	1657
