cluster_id	priority_band	priority_score	recommended_next_action	cluster_confidence	representative_name	preferred_family_hint	node_count	root_row_count	search_lead_count	open_review_count	receipt_count	cluster_review_decision	cluster_review_receipt_path	cluster_review_parent_key	max_source_object_score	max_pair_evidence_score	record_kind_counts	inventory_status_counts	review_decision_counts	strict_keys	review_keys	manifest_paths	example_node_names
cluster_emdr_and_misinformation_3fe9f9e46e27	high	131	skip_cluster_reviewed_or_use_cluster_receipt	strict	EMDR and misinformation		27	1	26	12	0	inventory_source_family_artifacts	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_emdr_and_misinformation_3fe9f9e46e27.json	github:ying531/awesome-replicability-data	15	7	candidate_result_table=26 | replication_project=1	auto_integrate=1 | needs_triage_search_lead=26		github:ying531/awesome-replicability-data | lead_harvest:awesome_emdr_misinfo | lead_harvest:awesome_lie_language | lead_harvest:awesome_queue | lead_harvest:awesome_cleanliness_moral | lead_harvest:awesome_mindbody_selfcentrality		data/raw/replication_projects/lead_registry.csv | steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	EMDR and misinformation | github 01 download | github 01 original clean | github 01 original exp1 clean | github 02 download | github 02 original exp2 clean | github 02 yoga original cleaned | github 03 download | github 03 meditation original cleaned | github 05 download | github 05 original process | github contents file list | github contents manifest
cluster_osf_03_rp_cb_final_analysis_paper_level_data_46a453806c4e	high	120	skip_cluster_reviewed_or_use_cluster_receipt	strict	osf 03 RP CB Final Analysis - Paper level data	rpcb	12	0	12	12	0	inventory_source_family_artifacts	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_osf_03_rp_cb_final_analysis_paper_level_data_46a453806c4e.json	raw_corpus:rpcb	10	9	candidate_corpus_or_database=6 | candidate_result_table=6	discovered_search_lead=6 | needs_triage_search_lead=6		lead_harvest:rpcb_e5nvr		steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	osf 01 RP CB Final Analysis - Paper level data dictionary | osf 02 RP CB Final Analysis - Experiment level data dictionary | osf 03 RP CB Final Analysis - Paper level data | osf 04 RP CB Final Analysis - Effect level data dictionary | osf 05 RP CB Final Analysis - Experiment level data | osf 06 RP CB Final Analysis - Effect level data | osf 07 RPCB Final Analysis Study 39 | osf 08 RPCB Final Analysis Study 21 | osf 09 RPCB Final Analysis Study 12 | osf 10 RPCB Final Analysis Study 15 | osf 11 RPCB Final Analysis Study 28 | osf 12 RPCB Final Analysis Study 08
cluster_rpcb_elife_registered_report_replication_effects_e5397aaa137f	high	119	skip_cluster_reviewed_or_use_cluster_receipt	strict	RPCB eLife Registered Report replication effects	rpcb	44	8	36	42	0	inventory_source_family_artifacts	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_rpcb_elife_registered_report_replication_effects_e5397aaa137f.json	raw_corpus:rpcb	9	9	candidate_corpus_or_database=18 | candidate_result_table=24 | corpus_or_database=1 | replication_project=1	discovered_search_lead=18 | included=1 | needs_triage_search_lead=24 | raw_available=1		raw_corpus:rpcb		data/derived/effect_inflation_dataset/plot1_replication_source_catalog.csv | data/raw/corpus_candidates/rpcb | data/derived/effect_inflation_dataset/plot3_preregistered_source_catalog.csv | steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json | steps/searches/figure1/corporasearch-code-local-original-replication-fields.json	RP CB Final Analysis - Effect level data | RP CB Final Analysis - Effect level data dictionary | RP CB Final Analysis - Experiment level data | RP CB Final Analysis - Experiment level data dictionary | RP CB Final Analysis - Paper level data | RP CB Final Analysis - Paper level data dictionary | RPCB | RPCB eLife Registered Report replication effects | RPCB Final Analysis Study 01 | RPCB Final Analysis Study 05 | RPCB Final Analysis Study 06 | RPCB Final Analysis Study 07 | RPCB Final Analysis Study 08 | RPCB Final Analysis Study 09 | RPCB Final Analysis Study 12 | RPCB Final Analysis Study 15 | RPCB Final Analysis Study 16 | RPCB Final Analysis Study 19 | RPCB Final Analysis Study 20 | RPCB Final Analysis Study 21 | RPCB Final Analysis Study 24 | RPCB Final Analysis Study 28 | RPCB Final Analysis Study 29 | RPCB Final Analysis Study 37 | RPCB Final Analysis Study 39 | RPCB Final Analysis Study 41 | RPCB Final Analysis Study 42 | RPCB Final Analysis Study 44 | RPCB Final Analysis Study 47 | RPCB Final Analysis Study 48 | RPCB Final Analysis Study 50 | RPCB Final Analysis Study Template
cluster_original_effects_srull_9b8f8fe2c740	high	114	skip_cluster_reviewed_or_use_cluster_receipt	strict	original effects srull		20	0	20	9	0	route_cluster_to_result_table_worklist	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_original_effects_srull_9b8f8fe2c740.json	raw_replication_project:rrr	11	7	candidate_result_table=20	needs_triage_search_lead=20		raw_replication_project:rrr | title:original_effects_srull | lead_harvest:rrr_mccarthy_2018 | title:srull_wyer_rrr_meta_analysis		steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	000002 | 000004 | 000006 | 000008 | Srull & Wyer (RRR)-meta-analysis | metaanalysis | original effects srull
cluster_osf_03_import_original_data_36bc7619dc58	high	110	skip_cluster_reviewed_or_use_cluster_receipt	strict	osf 03 import original data		5	0	5	3	0	route_cluster_to_individual_replication_paper_worklist	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_osf_03_import_original_data_36bc7619dc58.json	lead_harvest:online_image_credibility	15	5	candidate_result_table=5	needs_triage_search_lead=5		lead_harvest:online_image_credibility		steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	osf 03 download | osf 03 import original data | osf 04 README | osf file list | osf manifest
cluster_meta_regression_to_explain_shrinkage_and_heterogeneity_in_large_scale_replicatio_40dfdd112362	high	105	skip_cluster_reviewed_or_use_cluster_receipt	strict	Meta-regression to explain shrinkage and heterogeneity in large-scale replication projects.	eerp	8	1	7	8	0	keep_source_family_candidate	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_meta_regression_to_explain_shrinkage_and_heterogeneity_in_large_scale_replicatio_40dfdd112362.json	zenodo:15552808	6	9	candidate_corpus_or_database=8	discovered_search_lead=8		doi:10.1371/journal.pone.0327799 | url:https://doi.org/10.1371/journal.pone.0327799 | title:meta_regression_to_explain_shrinkage_and_heterogeneity_in_large_scale_replication_projects		steps/searches/figure1/corporasearch-alternate-vocab-expanded-reproduction-reanalysis-validation-followup.json | steps/searches/figure1/corporasearch-bibliographic-expanded-replication-corpus-database.json | steps/searches/figure1/corporasearch-bibliographic-openalex-crossref-replication-database-effect-size.json | steps/searches/figure1/corporasearch-bibliographic-openalex-crossref-replication-database-effect-size.json | steps/searches/figure1/corporasearch-domain-multifield-replication-database-effect-size.json | steps/searches/figure1/corporasearch-domain-expanded-crossfield-replication-datasets.json | steps/searches/figure1/corporasearch-domain-multifield-replication-database-effect-size.json | steps/searches/figure1/corporasearch-repository-provider-expanded-zenodo-figshare-dryad-replication-corpus-database-package.json	Meta-regression to explain shrinkage and heterogeneity in large-scale replication projects. | Meta-regression to explain shrinkage and heterogeneity in large-scale replication projects
cluster_replication_pair_source_catalog_0445b9a39ac0	high	105	skip_cluster_reviewed_or_use_cluster_receipt	strict	replication pair source catalog	fred	2	0	2	2	0	keep_cluster_as_context	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_replication_pair_source_catalog_0445b9a39ac0.json	data/derived/replication_pairs/replication_pair_source_catalog.csv	14	7	candidate_result_table=2	needs_triage_search_lead=2		title:replication_pair_source_catalog		steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	replication pair source catalog
cluster_score_cos_preregistration_indicated_original_papers_2a2876c57850	high	105	skip_cluster_reviewed_or_use_cluster_receipt	strict	SCORE/COS preregistration-indicated original papers		10	2	8	8	0	inventory_source_family_artifacts	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_score_cos_preregistration_indicated_original_papers_2a2876c57850.json	score	12	4	candidate_result_table=8 | corpus_or_database=1 | raw_inventory_dir=1	included=1 | needs_triage_search_lead=8 | raw_available=1		raw_corpus:score | title:repli_outcomes | title:orig_outcomes		data/derived/effect_inflation_dataset/plot3_preregistered_source_catalog.csv | data/raw/corpus_candidates/score | steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json | steps/searches/figure1/corporasearch-code-local-original-replication-fields.json	SCORE/COS preregistration-indicated original papers | Score | orig outcomes | osf file manifest | osf node dtzx4 meta | repli outcomes | repro prereg-check
cluster_dataverse_manifest_ee14f1be8828	high	104	skip_cluster_reviewed_or_use_cluster_receipt	strict	dataverse manifest	many_labs	23	0	23	23	0	inventory_source_family_artifacts	steps/review_cue/figure1_search_leads/cluster_receipts/clustered005/cluster_dataverse_manifest_ee14f1be8828.json	lead_harvest:covid_online_2021	16	1	candidate_individual_paper_or_package=3 | candidate_result_table=20	needs_triage_search_lead=20 | routed_to_individual_paper_search=3		lead_harvest:covid_online_2021		steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	ReadMe | appendix section a | conjoint original | dataverse 03 download | dataverse 04 download | dataverse 04 gilens original | dataverse 06 download | dataverse 06 psv original | dataverse 07 download | dataverse 07 tw original | dataverse 09 download | dataverse 09 pwk original | dataverse 11 download | dataverse 12 download | dataverse file list | dataverse manifest | druckman original | gilens original | object names | peyton original | psv original | pwk original | tw original
cluster_osf_01_original_dataset_63864d88187b	high	104	skip_cluster_reviewed_or_use_cluster_receipt	strict	osf 01 Original Dataset		6	0	6	5	0	route_cluster_to_individual_replication_paper_worklist	steps/review_cue/figure1_search_leads/cluster_receipts/clustered005/cluster_osf_01_original_dataset_63864d88187b.json	lead_harvest:contextual_bias_2026	16	1	candidate_result_table=6	needs_triage_search_lead=6		lead_harvest:contextual_bias_2026		steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	osf 01 Original Dataset | osf 01 download | osf 04 FinalData | osf 05 FinalData | osf file list | osf manifest
