name	domain	likely_source_object_type	likely_pair_evidence	likely_effect_n_evidence	triage_route	priority	aliases	suggested_surfaces	suggested_queries	notes
ReplicationWiki	economics and social sciences	database	strong	weak	candidate_corpus_database	high	ReplicationWiki | ReplicationWiki - Transparency in the Social Sciences | database of replications in economics	web search | OpenAlex | Crossref | Semantic Scholar	ReplicationWiki replications results | ReplicationWiki data and code replications | site:replication.uni-goettingen.de replication economics	Database-style source listing empirical studies, data/code availability, and known replications.
Institute for Replication	economics, political science, demography, psychology, social science	project	strong	medium	candidate_repository_package	high	I4R | Institute for Replication | Replication Games | I4R Discussion Paper Series	OpenAlex | Crossref | Semantic Scholar | Dataverse | Zenodo | web search	Institute for Replication Discussion Paper robustness reproducibility | Replication Games original robustness | I4R replication data code	Living source family of systematic reproductions, robustness checks, and Replication Games.
Computational Reproducibility and Robustness of Empirical Economics and Political Science Research	economics and political science	repository	strong	medium	candidate_repository_package	high	Brodeur Cook Mikola reproduction project | 110 articles reproducibility robustness	Zenodo | OpenAlex | Crossref | Semantic Scholar | OpenAIRE | web search	Computational Reproducibility and Robustness 110 articles | Brodeur Mikola Cook replication package | reproduced original analyses	Large-N reproduction/robustness source family; separate from new-data direct replications.
Brazilian Reproducibility Initiative	biomedical and preclinical life sciences	repository	strong	strong	candidate_corpus_database	high	BRI | Brazilian Reproducibility Initiative | Rede Brasileira de Reprodutibilidade	OSF | Dataverse | Zenodo | OpenAlex | Crossref | Semantic Scholar | web search	Brazilian Reproducibility Initiative analysis data | Brazilian Reproducibility Initiative OSF | Brazilian Reproducibility Initiative GitHub	Already integrated locally, but use as cross-field benchmark and dedupe target.
ReproSci Fly Immunity Workspace	experimental biology and Drosophila immunity	database	medium	weak	candidate_corpus_database	high	ReproSci | EPFL ReproSci | Fly immunity workspace	web search | OpenAlex | Crossref | Semantic Scholar | Europe PMC	ReproSci Fly immunity | Drosophila immunity conceptual replicability | ReproSci claims articles comments	Claim-level workspace for Drosophila immunity papers and independent-source assessments.
REPEAT Initiative	healthcare databases and real-world evidence	project	strong	medium	manual_investigation	high	REPEAT | healthcare database reproducibility | real-world evidence reproducibility	Europe PMC | OpenAlex | Crossref | Semantic Scholar | ClinicalTrials.gov | web search	REPEAT Initiative 150 studies | healthcare database reproduce results | EUPAS19636 reproducibility	Healthcare database reproducibility/robustness project; needs public table discovery.
ML Reproducibility Challenge	machine learning and AI	project	strong	medium	candidate_repository_package	high	MLRC | Machine Learning Reproducibility Challenge | NeurIPS Reproducibility Challenge	OpenAlex | Crossref | Semantic Scholar | OpenReview | web search	ML Reproducibility Challenge original paper | MLRC reproducibility report original paper | OpenReview Reproducibility Challenge	Use OpenReview venue/group API rather than broad web search.
ReScience C	computational science, machine learning, scientific computing	database	strong	medium	candidate_corpus_database	high	ReScience | ReScience C | [Re] | Replication in Machine Learning	OpenAlex | Crossref | Zenodo | GitHub | Semantic Scholar | web search	ReScience C type Replication | ReScience C code_doi review_url | [Re] ReScience C original paper	Structured journal/source-family for computational replications.
PooledMarketR and replication prediction market datasets	metascience across psychology, economics, social science	repository	strong	medium	candidate_repository_package	high	PooledMarketR | pooledmaRket | Replication Markets	GitHub | OSF | OpenAlex | Crossref | Semantic Scholar | web search	PooledMarketR replication outcomes | pooledmaRket RPP EERP SSRP | prediction market replication outcomes	Useful derived crosswalk and duplicate detector for major replication projects.
SCORE component datasets	social and behavioral sciences	dataset	medium	medium	manual_investigation	high	SCORE | repliCATS-SCORE | Collaborative Assessment for Trustworthy Science	OSF | Dataverse | Zenodo | OpenAlex | Crossref | Semantic Scholar | web search	SCORE claim database replicability | repliCATS-SCORE dataset | Replication Markets SCORE claims	Inventory claim, reproducibility, robustness, and replication-market components separately.
