query_id	run_id	surface	endpoint_or_engine	query_family	query_string	params_json	date_run	cursor_or_page	rank_start	rank_end	n_returned	n_new_work_ids	n_new_candidate_pairs	raw_output_path	notes
01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__openalex	2026-05-05_individual_replication_vast_search_batch004	openalex	openalex	01_metadata_replication_language	"""direct replication of"" ""Cohen's d"""	"{""rows_per_query"": 30}"	2026-05-06T02:15:26.904841+00:00	page1	1	30	30	30	7	steps/searches/figure1/individualrepsearch_api_batch004/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_openalex.json	status=200; final_url=https://api.openalex.org/works?search=%22direct+replication+of%22+%22Cohen%27s+d%22&filter=from_publication_date%3A1990-01-01%2Ctype%3Aarticle&per-page=30&mailto=rexdouglass%40gmail.com&select=id%2Cdoi%2Ctitle%2Cdisplay_name%2Cpublication_year%2Cauthorships%2Cabstract_inverted_index%2Cprimary_location%2Clocations%2Ctype%2Ccited_by_count
01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001__crossref	2026-05-05_individual_replication_vast_search_batch004	crossref	crossref	01_metadata_replication_language	"""direct replication of"" ""Cohen's d"""	"{""rows_per_query"": 30}"	2026-05-06T02:15:28.475527+00:00	page1	1	30	30	30	12	steps/searches/figure1/individualrepsearch_api_batch004/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_dire_0001_crossref.json	status=200; final_url=https://api.crossref.org/works?query.bibliographic=%22direct+replication+of%22+%22Cohen%27s+d%22&filter=type%3Ajournal-article%2Cfrom-pub-date%3A1990-01-01&rows=30&select=DOI%2Ctitle%2Cauthor%2Cissued%2Ccontainer-title%2Cabstract%2CURL%2Ctype&mailto=rexdouglass%40gmail.com
01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0002__openalex	2026-05-05_individual_replication_vast_search_batch004	openalex	openalex	01_metadata_replication_language	"""failed to replicate"" ""Cohen's d"" ""original study"""	"{""rows_per_query"": 30}"	2026-05-06T02:15:31.835368+00:00	page1	1	30	30	30	9	steps/searches/figure1/individualrepsearch_api_batch004/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_fail_0002_openalex.json	status=200; final_url=https://api.openalex.org/works?search=%22failed+to+replicate%22+%22Cohen%27s+d%22+%22original+study%22&filter=from_publication_date%3A1990-01-01%2Ctype%3Aarticle&per-page=30&mailto=rexdouglass%40gmail.com&select=id%2Cdoi%2Ctitle%2Cdisplay_name%2Cpublication_year%2Cauthorships%2Cabstract_inverted_index%2Cprimary_location%2Clocations%2Ctype%2Ccited_by_count
01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0002__crossref	2026-05-05_individual_replication_vast_search_batch004	crossref	crossref	01_metadata_replication_language	"""failed to replicate"" ""Cohen's d"" ""original study"""	"{""rows_per_query"": 30}"	2026-05-06T02:15:32.937091+00:00	page1	1	30	30	30	5	steps/searches/figure1/individualrepsearch_api_batch004/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_fail_0002_crossref.json	status=200; final_url=https://api.crossref.org/works?query.bibliographic=%22failed+to+replicate%22+%22Cohen%27s+d%22+%22original+study%22&filter=type%3Ajournal-article%2Cfrom-pub-date%3A1990-01-01&rows=30&select=DOI%2Ctitle%2Cauthor%2Cissued%2Ccontainer-title%2Cabstract%2CURL%2Ctype&mailto=rexdouglass%40gmail.com
01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0003__openalex	2026-05-05_individual_replication_vast_search_batch004	openalex	openalex	01_metadata_replication_language	"""failure to replicate"" ""effect size"" ""sample size"""	"{""rows_per_query"": 30}"	2026-05-06T02:15:35.879868+00:00	page1	1	30	30	30	1	steps/searches/figure1/individualrepsearch_api_batch004/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_fail_0003_openalex.json	status=200; final_url=https://api.openalex.org/works?search=%22failure+to+replicate%22+%22effect+size%22+%22sample+size%22&filter=from_publication_date%3A1990-01-01%2Ctype%3Aarticle&per-page=30&mailto=rexdouglass%40gmail.com&select=id%2Cdoi%2Ctitle%2Cdisplay_name%2Cpublication_year%2Cauthorships%2Cabstract_inverted_index%2Cprimary_location%2Clocations%2Ctype%2Ccited_by_count
01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0003__crossref	2026-05-05_individual_replication_vast_search_batch004	crossref	crossref	01_metadata_replication_language	"""failure to replicate"" ""effect size"" ""sample size"""	"{""rows_per_query"": 30}"	2026-05-06T02:15:37.470592+00:00	page1	1	30	30	30	0	steps/searches/figure1/individualrepsearch_api_batch004/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_fail_0003_crossref.json	status=200; final_url=https://api.crossref.org/works?query.bibliographic=%22failure+to+replicate%22+%22effect+size%22+%22sample+size%22&filter=type%3Ajournal-article%2Cfrom-pub-date%3A1990-01-01&rows=30&select=DOI%2Ctitle%2Cauthor%2Cissued%2Ccontainer-title%2Cabstract%2CURL%2Ctype&mailto=rexdouglass%40gmail.com
01_metadata_replication_language_openalex_crossref_semanticscholar__firs_0004__openalex	2026-05-05_individual_replication_vast_search_batch004	openalex	openalex	01_metadata_replication_language	"""first direct replication"" ""effect size"""	"{""rows_per_query"": 30}"	2026-05-06T02:15:41.582844+00:00	page1	1	30	8	8	2	steps/searches/figure1/individualrepsearch_api_batch004/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_firs_0004_openalex.json	status=200; final_url=https://api.openalex.org/works?search=%22first+direct+replication%22+%22effect+size%22&filter=from_publication_date%3A1990-01-01%2Ctype%3Aarticle&per-page=30&mailto=rexdouglass%40gmail.com&select=id%2Cdoi%2Ctitle%2Cdisplay_name%2Cpublication_year%2Cauthorships%2Cabstract_inverted_index%2Cprimary_location%2Clocations%2Ctype%2Ccited_by_count
01_metadata_replication_language_openalex_crossref_semanticscholar__firs_0004__crossref	2026-05-05_individual_replication_vast_search_batch004	crossref	crossref	01_metadata_replication_language	"""first direct replication"" ""effect size"""	"{""rows_per_query"": 30}"	2026-05-06T02:15:42.906305+00:00	page1	1	30	30	30	10	steps/searches/figure1/individualrepsearch_api_batch004/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_firs_0004_crossref.json	status=200; final_url=https://api.crossref.org/works?query.bibliographic=%22first+direct+replication%22+%22effect+size%22&filter=type%3Ajournal-article%2Cfrom-pub-date%3A1990-01-01&rows=30&select=DOI%2Ctitle%2Cauthor%2Cissued%2Ccontainer-title%2Cabstract%2CURL%2Ctype&mailto=rexdouglass%40gmail.com
01_metadata_replication_language_openalex_crossref_semanticscholar__high_0005__openalex	2026-05-05_individual_replication_vast_search_batch004	openalex	openalex	01_metadata_replication_language	"""high-powered replication"" ""original effect"""	"{""rows_per_query"": 30}"	2026-05-06T02:15:45.690640+00:00	page1	1	30	22	22	6	steps/searches/figure1/individualrepsearch_api_batch004/raw/openalex/01_metadata_replication_language_openalex_crossref_semanticscholar_high_0005_openalex.json	status=200; final_url=https://api.openalex.org/works?search=%22high-powered+replication%22+%22original+effect%22&filter=from_publication_date%3A1990-01-01%2Ctype%3Aarticle&per-page=30&mailto=rexdouglass%40gmail.com&select=id%2Cdoi%2Ctitle%2Cdisplay_name%2Cpublication_year%2Cauthorships%2Cabstract_inverted_index%2Cprimary_location%2Clocations%2Ctype%2Ccited_by_count
01_metadata_replication_language_openalex_crossref_semanticscholar__high_0005__crossref	2026-05-05_individual_replication_vast_search_batch004	crossref	crossref	01_metadata_replication_language	"""high-powered replication"" ""original effect"""	"{""rows_per_query"": 30}"	2026-05-06T02:15:46.725769+00:00	page1	1	30	30	30	8	steps/searches/figure1/individualrepsearch_api_batch004/raw/crossref/01_metadata_replication_language_openalex_crossref_semanticscholar_high_0005_crossref.json	status=200; final_url=https://api.crossref.org/works?query.bibliographic=%22high-powered+replication%22+%22original+effect%22&filter=type%3Ajournal-article%2Cfrom-pub-date%3A1990-01-01&rows=30&select=DOI%2Ctitle%2Cauthor%2Cissued%2Ccontainer-title%2Cabstract%2CURL%2Ctype&mailto=rexdouglass%40gmail.com
