campaign_phase	surface	query_type	priority	query_id	query	candidate_route_bias	expected_signal	reject_signal	dedupe_gate	target_manifest	next_step
01_metadata_replication_language	OpenAlex/Crossref/SemanticScholar	title_abstract_metadata	1	01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001	"""direct replication of"" ""Cohen's d"""	strict_figure1a	paper title/abstract explicitly says it replicated an earlier paper/effect and likely reports D/statistic/N	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_semanticscholar-01_metadata_replication_language_openalex_crossref_semanticscholar__dire_0001.json	figure1-individual-replication-search-intake
01_metadata_replication_language	OpenAlex/Crossref/SemanticScholar	title_abstract_metadata	1	01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0002	"""failed to replicate"" ""Cohen's d"" ""original study"""	strict_figure1a	paper title/abstract explicitly says it replicated an earlier paper/effect and likely reports D/statistic/N	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_semanticscholar-01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0002.json	figure1-individual-replication-search-intake
01_metadata_replication_language	OpenAlex/Crossref/SemanticScholar	title_abstract_metadata	1	01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0003	"""failure to replicate"" ""effect size"" ""sample size"""	strict_figure1a	paper title/abstract explicitly says it replicated an earlier paper/effect and likely reports D/statistic/N	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_semanticscholar-01_metadata_replication_language_openalex_crossref_semanticscholar__fail_0003.json	figure1-individual-replication-search-intake
01_metadata_replication_language	OpenAlex/Crossref/SemanticScholar	title_abstract_metadata	1	01_metadata_replication_language_openalex_crossref_semanticscholar__firs_0004	"""first direct replication"" ""effect size"""	strict_figure1a	paper title/abstract explicitly says it replicated an earlier paper/effect and likely reports D/statistic/N	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_semanticscholar-01_metadata_replication_language_openalex_crossref_semanticscholar__firs_0004.json	figure1-individual-replication-search-intake
01_metadata_replication_language	OpenAlex/Crossref/SemanticScholar	title_abstract_metadata	1	01_metadata_replication_language_openalex_crossref_semanticscholar__high_0005	"""high-powered replication"" ""original effect"""	strict_figure1a	paper title/abstract explicitly says it replicated an earlier paper/effect and likely reports D/statistic/N	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_semanticscholar-01_metadata_replication_language_openalex_crossref_semanticscholar__high_0005.json	figure1-individual-replication-search-intake
01_metadata_replication_language	OpenAlex/Crossref/SemanticScholar	title_abstract_metadata	1	01_metadata_replication_language_openalex_crossref_semanticscholar__pre__0006	"""pre-registered replication"" ""original effect"""	strict_figure1a	paper title/abstract explicitly says it replicated an earlier paper/effect and likely reports D/statistic/N	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_semanticscholar-01_metadata_replication_language_openalex_crossref_semanticscholar__pre__0006.json	figure1-individual-replication-search-intake
01_metadata_replication_language	OpenAlex/Crossref/SemanticScholar	title_abstract_metadata	1	01_metadata_replication_language_openalex_crossref_semanticscholar__regi_0007	"""registered replication report"" ""original study"""	strict_figure1a	paper title/abstract explicitly says it replicated an earlier paper/effect and likely reports D/statistic/N	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_semanticscholar-01_metadata_replication_language_openalex_crossref_semanticscholar__regi_0007.json	figure1-individual-replication-search-intake
01_metadata_replication_language	OpenAlex/Crossref/SemanticScholar	title_abstract_metadata	1	01_metadata_replication_language_openalex_crossref_semanticscholar__two__0008	"""two failures to replicate"" ""original"""	strict_figure1a	paper title/abstract explicitly says it replicated an earlier paper/effect and likely reports D/statistic/N	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_semanticscholar-01_metadata_replication_language_openalex_crossref_semanticscholar__two__0008.json	figure1-individual-replication-search-intake
01_metadata_replication_language	OpenAlex/Crossref/SemanticScholar	title_abstract_metadata	1	01_metadata_replication_language_openalex_crossref_semanticscholar__thre_0009	"""three unsuccessful attempts to replicate"" ""original"""	strict_figure1a	paper title/abstract explicitly says it replicated an earlier paper/effect and likely reports D/statistic/N	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_semanticscholar-01_metadata_replication_language_openalex_crossref_semanticscholar__thre_0009.json	figure1-individual-replication-search-intake
01_metadata_replication_language	OpenAlex/Crossref/SemanticScholar	title_abstract_metadata	1	01_metadata_replication_language_openalex_crossref_semanticscholar__we_a_0010	"""we attempted to replicate"" ""effect size"" ""original"""	strict_figure1a	paper title/abstract explicitly says it replicated an earlier paper/effect and likely reports D/statistic/N	same-data reanalysis, review-only article, no original target, or no new independent sample	original DOI/title + replication DOI/title + outcome/study key; then figure1-pair-bibtex-map.tsv	steps/searches/figure1/individualrepsearch-openalex_crossref_semanticscholar-01_metadata_replication_language_openalex_crossref_semanticscholar__we_a_0010.json	figure1-individual-replication-search-intake
