manifest_path	manifest_group	strategy_id	strategy	providers	query_count	raw_result_count	classified_lead_count	candidate_count	candidate_unique_lead_count	candidate_new_to_root_count	candidate_new_to_baseline_manifest_count	candidate_new_to_prior_manifest_count	all_lead_unique_count	all_lead_new_to_prior_manifest_count	routed_or_rejected_count	error_count	candidate_record_kind_counts	candidate_status_counts
steps/searches/figure1/corporasearch-alternate-vocab-expanded-reproduction-reanalysis-validation-followup.json	expanded	plot1_corpusdb_alternate_vocabulary_expanded_search	domain	openalex | crossref | europepmc | osf | dataverse | datacite	19	255	56	6	6	2	2	6	54	56	50	0	candidate_corpus_or_database=6	discovered_search_lead=6
steps/searches/figure1/corporasearch-archive-known-replication-project-urls.json	baseline	plot1_corpusdb_dead_link_and_archive_recovery	archive	wayback	13	3	0	0	0	0	0	0	0	0	0	8		
steps/searches/figure1/corporasearch-bibliographic-expanded-replication-corpus-database.json	expanded	plot1_corpusdb_bibliographic_expanded_search	bibliographic	openalex | crossref | europepmc	14	271	128	37	33	10	10	35	123	122	91	0	candidate_corpus_or_database=37	discovered_search_lead=37
steps/searches/figure1/corporasearch-bibliographic-openalex-crossref-replication-database-effect-size.json	baseline	plot1_corpusdb_bibliographic_corpus_paper_search	bibliographic	openalex | crossref | europepmc	10	183	89	40	37	0	0	22	85	49	49	0	candidate_corpus_or_database=40	discovered_search_lead=40
steps/searches/figure1/corporasearch-citation-expanded-known-replication-databases.json	expanded	plot1_corpusdb_citation_expanded_search	citation	openalex | crossref | openalex_cites	14	269	86	28	26	9	9	13	82	52	58	0	candidate_corpus_or_database=28	discovered_search_lead=28
steps/searches/figure1/corporasearch-citation-snowball-known-replication-corpora.json	baseline	plot1_corpusdb_citation_snowball_from_known_sources	citation	openalex | crossref | openalex_cites	13	278	63	44	39	0	0	17	58	27	19	0	candidate_corpus_or_database=44	discovered_search_lead=44
steps/searches/figure1/corporasearch-code-expanded-local-pair-field-signatures.json	expanded	plot1_corpusdb_code_expanded_search	code	local_file	12	384	384	23	23	16	16	23	384	384	361	0	candidate_corpus_or_database=23	discovered_search_lead=23
steps/searches/figure1/corporasearch-code-local-original-replication-fields.json	baseline	plot1_corpusdb_code_and_file_name_search	code	local_file	9	120	120	6	6	0	0	0	120	103	114	0	candidate_corpus_or_database=6	discovered_search_lead=6
steps/searches/figure1/corporasearch-domain-expanded-crossfield-replication-datasets.json	expanded	plot1_corpusdb_domain_expanded_search	domain	openalex | crossref | europepmc | osf | dataverse	20	496	109	20	19	2	3	10	107	66	89	0	candidate_corpus_or_database=20	discovered_search_lead=20
steps/searches/figure1/corporasearch-domain-multifield-replication-database-effect-size.json	baseline	plot1_corpusdb_domain_specific_meta_research_search	domain	openalex | crossref | europepmc | osf | dataverse	10	288	66	13	13	0	0	4	66	20	53	0	candidate_corpus_or_database=13	discovered_search_lead=13
steps/searches/figure1/corporasearch-gptcoverage-expanded-missing-source-family-targets.json	expanded	plot1_corpusdb_gpt_coverage_source_family_search	citation	openalex | crossref | europepmc | osf | dataverse | datacite | zenodo | figshare | dryad	50	318	49	7	5	5	5	3	42	38	42	40	candidate_corpus_or_database=7	discovered_search_lead=7
