artifact_id	parent_corpus_database_id	artifact_role	provider	provider_id	parent_provider_id	title	url	raw_url	doi	component_path	file_name	file_type	mime_type	byte_size	local_path	sha256	inventory_status	access_status	candidate_parser_family	pair_field_evidence	n_field_evidence	effect_field_evidence	publication_link_evidence	blocker_codes	next_action	notes	last_seen
source_artifact_d237e941199a268e	github:ying531/awesome-replicability-data	local_mirror	github	data/raw/replication_projects/lead_harvest/awesome_body_dissatisfaction/landing_preview.bin	github:ying531/awesome-replicability-data	landing_preview.bin				data/raw/replication_projects/lead_harvest/awesome_body_dissatisfaction	landing_preview.bin	bin	application/octet-stream	131072	data/raw/replication_projects/lead_harvest/awesome_body_dissatisfaction/landing_preview.bin	dc188fe21d49bde98b6da4db4ae0d7f248dfcf965f15f52d1938d4e1103af836	mirrored	downloaded	binary_probe_context					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27	2026-05-02
source_artifact_8c70a68a4e9c1be3	github:ying531/awesome-replicability-data	source_access_metadata	github	data/raw/replication_projects/lead_harvest/awesome_body_dissatisfaction/landing_probe.json	github:ying531/awesome-replicability-data	landing_probe.json				data/raw/replication_projects/lead_harvest/awesome_body_dissatisfaction	landing_probe.json	json	application/json	452	data/raw/replication_projects/lead_harvest/awesome_body_dissatisfaction/landing_probe.json	69d2dc8d88e62c328633e32f97ce0f3520f79cc3571d8dc3ae04af7df8557948	inventoried_metadata_only	downloaded	json_metadata_inventory					needs_artifact_inspection	attach_as_access_metadata_to_matching_artifact	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27	2026-05-02
source_artifact_c44829fdc5d856bf	github:ying531/awesome-replicability-data	data_file	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp1_clean.csv	github:ying531/awesome-replicability-data	github_01__original_exp1_clean.csv	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp1_clean.csv	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp1_clean.csv		data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral	github_01__original_exp1_clean.csv	csv	text/plain; charset=utf-8	2573	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_01__original_exp1_clean.csv	6c007b2c67057c5315ae50f3d8b359f8bbf5151eda82a4a8822cc17bee3f2a0a	mirrored	downloaded	csv_table_parser			header: 			inspect_table_header_and_codebook_before_parser_assignment	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27 | provider_manifest=data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv; inventory_task=inventory_task_03a7818d0f17ec39	2026-05-02
source_artifact_6a16ec4e76abba85	github:ying531/awesome-replicability-data	source_access_metadata	github	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_01_download.json	github:ying531/awesome-replicability-data	github_01_download.json				data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral	github_01_download.json	json	application/json	726	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_01_download.json	24516231c672ebed7067e5b8bc467e8edb4c5ed192cf84fdc21f87aa620f2413	inventoried_metadata_only	downloaded	json_metadata_inventory					needs_artifact_inspection	attach_as_access_metadata_to_matching_artifact	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27	2026-05-02
source_artifact_2a2895475dd166f0	github:ying531/awesome-replicability-data	data_file	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp2_clean.csv	github:ying531/awesome-replicability-data	github_02__original_exp2_clean.csv	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp2_clean.csv	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp2_clean.csv		data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral	github_02__original_exp2_clean.csv	csv	text/plain; charset=utf-8	2760	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_02__original_exp2_clean.csv	37c115572ce8e023d6d4c135c5308adadedbde6fd2b5fd4c25ee560e28ef1d12	mirrored	downloaded	csv_table_parser			header: 			inspect_table_header_and_codebook_before_parser_assignment	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27 | provider_manifest=data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv; inventory_task=inventory_task_03a7818d0f17ec39	2026-05-02
source_artifact_087bff72ec8cc615	github:ying531/awesome-replicability-data	source_access_metadata	github	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_02_download.json	github:ying531/awesome-replicability-data	github_02_download.json				data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral	github_02_download.json	json	application/json	727	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_02_download.json	3a78f4b25287b6e1b05a35d741f757527c994444220ab46ee8683d903fe966c1	inventoried_metadata_only	downloaded	json_metadata_inventory					needs_artifact_inspection	attach_as_access_metadata_to_matching_artifact	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27	2026-05-02
source_artifact_0ee6f704724bea98	github:ying531/awesome-replicability-data	data_file	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp2_clean.csv	github:ying531/awesome-replicability-data	github_03__replication_exp2_clean.csv	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp2_clean.csv	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp2_clean.csv		data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral	github_03__replication_exp2_clean.csv	csv	text/plain; charset=utf-8	8319	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_03__replication_exp2_clean.csv	ad96edfeb5afde74b09447aa2fad001faffcf8ac1cd686f3e04ae8cef257d49d	mirrored	downloaded	csv_table_parser			header: 			inspect_table_header_and_codebook_before_parser_assignment	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27 | provider_manifest=data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv; inventory_task=inventory_task_03a7818d0f17ec39	2026-05-02
source_artifact_e5ea56e80900e157	github:ying531/awesome-replicability-data	source_access_metadata	github	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_03_download.json	github:ying531/awesome-replicability-data	github_03_download.json				data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral	github_03_download.json	json	application/json	736	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_03_download.json	0c80931298a7b176879ef4adbdb5003a22899fc5dd6996e74cfb3c5f6504dfc4	inventoried_metadata_only	downloaded	json_metadata_inventory					needs_artifact_inspection	attach_as_access_metadata_to_matching_artifact	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27	2026-05-02
source_artifact_ab2c7f007fa008ce	github:ying531/awesome-replicability-data	data_file	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp1_clean.csv	github:ying531/awesome-replicability-data	github_04__replication_exp1_clean.csv	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp1_clean.csv	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp1_clean.csv		data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral	github_04__replication_exp1_clean.csv	csv	text/plain; charset=utf-8	13333	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_04__replication_exp1_clean.csv	c6f096207f0494b2fde0392c801629213360ccd98d6ab3655815a7f0f48dce95	mirrored	downloaded	csv_table_parser			header: 			inspect_table_header_and_codebook_before_parser_assignment	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27 | generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27 | provider_manifest=data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv; inventory_task=inventory_task_03a7818d0f17ec39	2026-05-02
source_artifact_66c2b8fdb3bc00a3	github:ying531/awesome-replicability-data	source_access_metadata	github	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_04_download.json	github:ying531/awesome-replicability-data	github_04_download.json				data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral	github_04_download.json	json	application/json	737	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_04_download.json	8e8e6db933fb7200fa9e404894bc0a4c9632e8c9e7c56976e12d255ec494eea5	inventoried_metadata_only	downloaded	json_metadata_inventory					needs_artifact_inspection	attach_as_access_metadata_to_matching_artifact	generated_from_inventory_task=inventory_task_03a7818d0f17ec39; cluster_id=cluster_emdr_and_misinformation_3fe9f9e46e27	2026-05-02
