artifact_id	parent_corpus_database_id	artifact_role	provider	provider_id	parent_provider_id	title	url	raw_url	doi	component_path	file_name	file_type	mime_type	byte_size	local_path	sha256	inventory_status	access_status	candidate_parser_family	pair_field_evidence	n_field_evidence	effect_field_evidence	publication_link_evidence	blocker_codes	next_action	notes	last_seen
source_artifact_6b25ce74472cf87f	lead_harvest:covid_online_2021	data_file	github	https://dataverse.harvard.edu/api/access/datafile/4641479	lead_harvest:covid_online_2021	dataverse_01__phc_lucid_completes.rds	https://dataverse.harvard.edu/api/access/datafile/4641479	https://dvn-cloud-iqss.s3.amazonaws.com/10.7910/DVN/38UTBF/17967c5ed25-7c51c2379175?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27phc_lucid_completes.rds&response-content-type=application%2Foctet-stream&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260423T050417Z&X-Amz-SignedHeaders=host&X-Amz-Credential=AKIAZT3GWQ6FKBSH5I56%2F20260423%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Expires=3600&X-Amz-Signature=f63055f67e3df0151d82e860d5acb589cc761182732e0b0844d419c5b53d5b62		data/raw/replication_projects/lead_harvest/covid_online_2021	dataverse_01__phc_lucid_completes.rds	rds	application/octet-stream	6006	data/raw/replication_projects/lead_harvest/covid_online_2021/dataverse_01__phc_lucid_completes.rds	14a6689fdfb837200022688bc350086e1fc762d3ce982c940d7a2975e98dbc69	mirrored	downloaded	r_data_parser					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_28f80649ce5bc810; cluster_id=cluster_dataverse_manifest_ee14f1be8828	2026-05-02
source_artifact_ea40a778c339326d	lead_harvest:covid_online_2021	source_access_metadata	github	data/raw/replication_projects/lead_harvest/covid_online_2021/dataverse_01_download.json	lead_harvest:covid_online_2021	dataverse_01_download.json				data/raw/replication_projects/lead_harvest/covid_online_2021	dataverse_01_download.json	json	application/json	1009	data/raw/replication_projects/lead_harvest/covid_online_2021/dataverse_01_download.json	960d6b5f1a7f94cf431886825e0e84377e581bc963857ae2da5c3a3ed6dde7d2	inventoried_metadata_only	downloaded	json_metadata_inventory					needs_artifact_inspection	attach_as_access_metadata_to_matching_artifact	generated_from_inventory_task=inventory_task_28f80649ce5bc810; cluster_id=cluster_dataverse_manifest_ee14f1be8828	2026-05-02
source_artifact_0e37f6eec648d367	lead_harvest:covid_online_2021	data_file	github	https://dataverse.harvard.edu/api/access/datafile/4641492	lead_harvest:covid_online_2021	dataverse_02__phc_meta_trends.rds	https://dataverse.harvard.edu/api/access/datafile/4641492	https://dvn-cloud-iqss.s3.amazonaws.com/10.7910/DVN/38UTBF/17967c5ec18-e6ad8b595c7b?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27phc_meta_trends.rds&response-content-type=application%2Foctet-stream&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260423T050420Z&X-Amz-SignedHeaders=host&X-Amz-Credential=AKIAZT3GWQ6FKBSH5I56%2F20260423%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Expires=3600&X-Amz-Signature=398d28cde731b0b942a28ff871e172ac94f264175332da988c1c21c9be56e728		data/raw/replication_projects/lead_harvest/covid_online_2021	dataverse_02__phc_meta_trends.rds	rds	application/octet-stream	8292	data/raw/replication_projects/lead_harvest/covid_online_2021/dataverse_02__phc_meta_trends.rds	8000bf29d830bcfd6b020d075e59a0092c85a295b81c21b5b6fd6324cac42770	mirrored	downloaded	r_data_parser					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_28f80649ce5bc810; cluster_id=cluster_dataverse_manifest_ee14f1be8828	2026-05-02
source_artifact_b559aea319d94fa5	lead_harvest:covid_online_2021	source_access_metadata	github	data/raw/replication_projects/lead_harvest/covid_online_2021/dataverse_02_download.json	lead_harvest:covid_online_2021	dataverse_02_download.json				data/raw/replication_projects/lead_harvest/covid_online_2021	dataverse_02_download.json	json	application/json	1001	data/raw/replication_projects/lead_harvest/covid_online_2021/dataverse_02_download.json	608c8c87807525b81ccdee76cbd83d22d037979b302093fd7bdd72a5c2e3d6d1	inventoried_metadata_only	downloaded	json_metadata_inventory					needs_artifact_inspection	attach_as_access_metadata_to_matching_artifact	generated_from_inventory_task=inventory_task_28f80649ce5bc810; cluster_id=cluster_dataverse_manifest_ee14f1be8828	2026-05-02
source_artifact_6ed0c746bebcce99	lead_harvest:covid_online_2021	local_mirror	github	https://dataverse.harvard.edu/api/access/datafile/4641489	lead_harvest:covid_online_2021	dataverse_03__druckman_original.tab	https://dataverse.harvard.edu/api/access/datafile/4641489	https://dvn-cloud-iqss.s3.amazonaws.com/10.7910/DVN/38UTBF/17967c737cf-257b6a13f566?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27druckman_original.tab&response-content-type=text%2Ftab-separated-values&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260423T050421Z&X-Amz-SignedHeaders=host&X-Amz-Credential=AKIAZT3GWQ6FKBSH5I56%2F20260423%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Expires=3600&X-Amz-Signature=d97d57b34c54de4e8712cf204916dff8287eded32c35d4b70103e1cadffd507b		data/raw/replication_projects/lead_harvest/covid_online_2021	dataverse_03__druckman_original.tab	tab	text/tab-separated-values	12794	data/raw/replication_projects/lead_harvest/covid_online_2021/dataverse_03__druckman_original.tab	5e0d297f58eaf46ce51e75bf8d45e7ec026fea9b49cac49675046686b0f8ce30	mirrored	downloaded	unknown					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_28f80649ce5bc810; cluster_id=cluster_dataverse_manifest_ee14f1be8828	2026-05-02
source_artifact_d668017eab68d19f	lead_harvest:covid_online_2021	source_access_metadata	github	data/raw/replication_projects/lead_harvest/covid_online_2021/dataverse_03_download.json	lead_harvest:covid_online_2021	dataverse_03_download.json				data/raw/replication_projects/lead_harvest/covid_online_2021	dataverse_03_download.json	json	application/json	1009	data/raw/replication_projects/lead_harvest/covid_online_2021/dataverse_03_download.json	0ef0936b9f63043f2bd130d7bc3786d5ae36345a10fb93b7b8c40907e07beaac	inventoried_metadata_only	downloaded	json_metadata_inventory					needs_artifact_inspection	attach_as_access_metadata_to_matching_artifact	generated_from_inventory_task=inventory_task_28f80649ce5bc810; cluster_id=cluster_dataverse_manifest_ee14f1be8828	2026-05-02
source_artifact_7a4f3727b9e42c71	lead_harvest:covid_online_2021	data_file	github	https://dataverse.harvard.edu/api/access/datafile/4641481	lead_harvest:covid_online_2021	dataverse_04__gilens_original.rds	https://dataverse.harvard.edu/api/access/datafile/4641481	https://dvn-cloud-iqss.s3.amazonaws.com/10.7910/DVN/38UTBF/17967c736d1-7d813aed97e6?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27gilens_original.rds&response-content-type=application%2Foctet-stream&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260423T050424Z&X-Amz-SignedHeaders=host&X-Amz-Credential=AKIAZT3GWQ6FKBSH5I56%2F20260423%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Expires=3600&X-Amz-Signature=1dab405c8273f9e01d9880d8a9de0be277c5c382d6fe8fd5f88bae8cf4abb5ae		data/raw/replication_projects/lead_harvest/covid_online_2021	dataverse_04__gilens_original.rds	rds	application/octet-stream	42981	data/raw/replication_projects/lead_harvest/covid_online_2021/dataverse_04__gilens_original.rds	7d59efd9d5f340c8893e1afe3d191967aa9176eee83cb769b9f5ac23e12925e8	mirrored	downloaded	r_data_parser					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_28f80649ce5bc810; cluster_id=cluster_dataverse_manifest_ee14f1be8828	2026-05-02
source_artifact_0d2a8cb96ccd4e2f	lead_harvest:covid_online_2021	source_access_metadata	github	data/raw/replication_projects/lead_harvest/covid_online_2021/dataverse_04_download.json	lead_harvest:covid_online_2021	dataverse_04_download.json				data/raw/replication_projects/lead_harvest/covid_online_2021	dataverse_04_download.json	json	application/json	1003	data/raw/replication_projects/lead_harvest/covid_online_2021/dataverse_04_download.json	098e8210f9fc14a6ffe2c20d0fe5ab02f92e133423189baff771192f40becc4b	inventoried_metadata_only	downloaded	json_metadata_inventory					needs_artifact_inspection	attach_as_access_metadata_to_matching_artifact	generated_from_inventory_task=inventory_task_28f80649ce5bc810; cluster_id=cluster_dataverse_manifest_ee14f1be8828	2026-05-02
source_artifact_e63d31397e18b024	lead_harvest:covid_online_2021	data_file	github	https://dataverse.harvard.edu/api/access/datafile/4641497	lead_harvest:covid_online_2021	dataverse_05__cm_asian_disease.rds	https://dataverse.harvard.edu/api/access/datafile/4641497	https://dvn-cloud-iqss.s3.amazonaws.com/10.7910/DVN/38UTBF/17967c7495b-4e02c43509ed?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27cm_asian_disease.rds&response-content-type=application%2Foctet-stream&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260423T050426Z&X-Amz-SignedHeaders=host&X-Amz-Credential=AKIAZT3GWQ6FKBSH5I56%2F20260423%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Expires=3600&X-Amz-Signature=68227d1d7c820608cfcadc984b71b88c23d374cb83ba271d322dea111d69f27d		data/raw/replication_projects/lead_harvest/covid_online_2021	dataverse_05__cm_asian_disease.rds	rds	application/octet-stream	84130	data/raw/replication_projects/lead_harvest/covid_online_2021/dataverse_05__cm_asian_disease.rds	78de2e5653ee62239eea2406dd88908878ff941d8dcb29c5061bcf1ef465f3f2	mirrored	downloaded	r_data_parser					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_28f80649ce5bc810; cluster_id=cluster_dataverse_manifest_ee14f1be8828	2026-05-02
source_artifact_771c8f101c7da021	lead_harvest:covid_online_2021	source_access_metadata	github	data/raw/replication_projects/lead_harvest/covid_online_2021/dataverse_05_download.json	lead_harvest:covid_online_2021	dataverse_05_download.json				data/raw/replication_projects/lead_harvest/covid_online_2021	dataverse_05_download.json	json	application/json	1005	data/raw/replication_projects/lead_harvest/covid_online_2021/dataverse_05_download.json	04b4386d0207a0f64339e1c81e53e87e343c970a5012b452a1a5d2685ee1f456	inventoried_metadata_only	downloaded	json_metadata_inventory					needs_artifact_inspection	attach_as_access_metadata_to_matching_artifact	generated_from_inventory_task=inventory_task_28f80649ce5bc810; cluster_id=cluster_dataverse_manifest_ee14f1be8828	2026-05-02
