artifact_id	parent_corpus_database_id	artifact_role	provider	provider_id	parent_provider_id	title	url	raw_url	doi	component_path	file_name	file_type	mime_type	byte_size	local_path	sha256	inventory_status	access_status	candidate_parser_family	pair_field_evidence	n_field_evidence	effect_field_evidence	publication_link_evidence	blocker_codes	next_action	notes	last_seen
source_artifact_625dfab1d5be8264	lead_harvest:psa_006_trolley	local_mirror	github	data/raw/replication_projects/lead_harvest/psa_006_trolley/landing_preview.bin	lead_harvest:psa_006_trolley	landing_preview.bin				data/raw/replication_projects/lead_harvest/psa_006_trolley	landing_preview.bin	bin	application/octet-stream	131072	data/raw/replication_projects/lead_harvest/psa_006_trolley/landing_preview.bin	8edaac4f113138963e4f8dc735de762bf05f4cdd9eb70230e93ad197fc9518cc	mirrored	downloaded	binary_probe_context					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_7781346bdc43eb34; cluster_id=cluster_cultural_distance_2fde510433cc	2026-05-04
source_artifact_e22de61425d415bb	lead_harvest:psa_006_trolley	source_access_metadata	github	data/raw/replication_projects/lead_harvest/psa_006_trolley/landing_probe.json	lead_harvest:psa_006_trolley	landing_probe.json				data/raw/replication_projects/lead_harvest/psa_006_trolley	landing_probe.json	json	application/json	465	data/raw/replication_projects/lead_harvest/psa_006_trolley/landing_probe.json	3fb62181b00e67e01f648dbdfadf6989b191f3206230d1cd13b47e3f299f7287	inventoried_metadata_only	downloaded	json_metadata_inventory					needs_artifact_inspection	attach_as_access_metadata_to_matching_artifact	generated_from_inventory_task=inventory_task_7781346bdc43eb34; cluster_id=cluster_cultural_distance_2fde510433cc	2026-05-04
source_artifact_a134d2190f4a322d	lead_harvest:psa_006_trolley	archive_file	github	data/raw/replication_projects/lead_harvest/psa_006_trolley/raw__trolleyMultilabReplication-master.zip	lead_harvest:psa_006_trolley	raw__trolleyMultilabReplication-master.zip				data/raw/replication_projects/lead_harvest/psa_006_trolley	raw__trolleyMultilabReplication-master.zip	zip	application/zip	24644193	data/raw/replication_projects/lead_harvest/psa_006_trolley/raw__trolleyMultilabReplication-master.zip	15478ced6d24f1062695555ba257a6156691b277e504c4e89bb8fb24423b700a	mirrored	downloaded	zip_member_inventory					needs_artifact_inspection	inventory_archive_members	generated_from_inventory_task=inventory_task_7781346bdc43eb34; cluster_id=cluster_cultural_distance_2fde510433cc	2026-05-04
source_artifact_ec21348beb635e57	lead_harvest:psa_006_trolley	source_access_metadata	github	data/raw/replication_projects/lead_harvest/psa_006_trolley/raw_download.json	lead_harvest:psa_006_trolley	raw_download.json				data/raw/replication_projects/lead_harvest/psa_006_trolley	raw_download.json	json	application/json	416	data/raw/replication_projects/lead_harvest/psa_006_trolley/raw_download.json	9c3193b0ff1f7224f199c71f5d581273b1fb98ed34613b22c75cfbb4cccb49c1	inventoried_metadata_only	downloaded	json_metadata_inventory					needs_artifact_inspection	attach_as_access_metadata_to_matching_artifact	generated_from_inventory_task=inventory_task_7781346bdc43eb34; cluster_id=cluster_cultural_distance_2fde510433cc	2026-05-04
source_artifact_da663fdb9c2745f4	lead_harvest:psa_006_trolley	local_mirror	github	data/raw/replication_projects/lead_harvest/psa_006_trolley/raw_preview.bin	lead_harvest:psa_006_trolley	raw_preview.bin				data/raw/replication_projects/lead_harvest/psa_006_trolley	raw_preview.bin	bin	application/octet-stream	14	data/raw/replication_projects/lead_harvest/psa_006_trolley/raw_preview.bin	d5558cd419c8d46bdc958064cb97f963d1ea793866414c025906ec15033512ed	mirrored	downloaded	binary_probe_context					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_7781346bdc43eb34; cluster_id=cluster_cultural_distance_2fde510433cc	2026-05-04
source_artifact_2c0e51166c7a8e63	lead_harvest:psa_006_trolley	source_access_metadata	github	data/raw/replication_projects/lead_harvest/psa_006_trolley/raw_probe.json	lead_harvest:psa_006_trolley	raw_probe.json				data/raw/replication_projects/lead_harvest/psa_006_trolley	raw_probe.json	json	application/json	522	data/raw/replication_projects/lead_harvest/psa_006_trolley/raw_probe.json	c330623da920ed523daae9d0065de000d576b30cdb9741d182288194091a8ee9	inventoried_metadata_only	downloaded	json_metadata_inventory					needs_artifact_inspection	attach_as_access_metadata_to_matching_artifact	generated_from_inventory_task=inventory_task_7781346bdc43eb34; cluster_id=cluster_cultural_distance_2fde510433cc	2026-05-04
source_artifact_67a8b704900b9692	lead_harvest:psa_006_trolley	local_mirror	github	data/raw/replication_projects/lead_harvest/psa_006_trolley/unzipped/trolleyMultilabReplication-master/.Rbuildignore	lead_harvest:psa_006_trolley	.Rbuildignore				data/raw/replication_projects/lead_harvest/psa_006_trolley/unzipped/trolleyMultilabReplication-master	.Rbuildignore	unknown		53	data/raw/replication_projects/lead_harvest/psa_006_trolley/unzipped/trolleyMultilabReplication-master/.Rbuildignore	cd26eacb88ee54afd31e3f463f492ce0781fc90cbc7079f242f06390156334cd	mirrored	downloaded	unknown					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_7781346bdc43eb34; cluster_id=cluster_cultural_distance_2fde510433cc	2026-05-04
source_artifact_3881d0563e589ea7	lead_harvest:psa_006_trolley	local_mirror	github	data/raw/replication_projects/lead_harvest/psa_006_trolley/unzipped/trolleyMultilabReplication-master/.gitignore	lead_harvest:psa_006_trolley	.gitignore				data/raw/replication_projects/lead_harvest/psa_006_trolley/unzipped/trolleyMultilabReplication-master	.gitignore	unknown		72	data/raw/replication_projects/lead_harvest/psa_006_trolley/unzipped/trolleyMultilabReplication-master/.gitignore	261f23b1eb43fbf4f8d09f2e9564fa2ac213cd2d0218583be04f1c47a91c447f	mirrored	downloaded	unknown					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_7781346bdc43eb34; cluster_id=cluster_cultural_distance_2fde510433cc	2026-05-04
source_artifact_0a1419614711ce37	lead_harvest:psa_006_trolley	local_mirror	github	data/raw/replication_projects/lead_harvest/psa_006_trolley/unzipped/trolleyMultilabReplication-master/DESCRIPTION	lead_harvest:psa_006_trolley	DESCRIPTION				data/raw/replication_projects/lead_harvest/psa_006_trolley/unzipped/trolleyMultilabReplication-master	DESCRIPTION	unknown		1448	data/raw/replication_projects/lead_harvest/psa_006_trolley/unzipped/trolleyMultilabReplication-master/DESCRIPTION	0d0e2b03f015dee7047b7432b52202d89a7c823339c1abe6cc9ff547e6116f50	mirrored	downloaded	unknown					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_7781346bdc43eb34; cluster_id=cluster_cultural_distance_2fde510433cc	2026-05-04
source_artifact_0d35b06f9ee0530b	lead_harvest:psa_006_trolley	local_mirror	github	data/raw/replication_projects/lead_harvest/psa_006_trolley/unzipped/trolleyMultilabReplication-master/NAMESPACE	lead_harvest:psa_006_trolley	NAMESPACE				data/raw/replication_projects/lead_harvest/psa_006_trolley/unzipped/trolleyMultilabReplication-master	NAMESPACE	unknown		979	data/raw/replication_projects/lead_harvest/psa_006_trolley/unzipped/trolleyMultilabReplication-master/NAMESPACE	ac22bc4b02818e1bf6f7717fece9b8213bab61a7947c69f0c582759d3e71ccd0	mirrored	downloaded	unknown					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_7781346bdc43eb34; cluster_id=cluster_cultural_distance_2fde510433cc	2026-05-04
