metric	value	artifact_count
parent_corpus_database_id	corpus_db_loopr_coding_workbook	1
parent_corpus_database_id	corpus_db_many_labs_5_overarching_analyses	7
parent_corpus_database_id	corpus_db_sports_science_supplemental_outcomes_table	1
parent_corpus_database_id	family::ying_2023_pilot_full_scale_trials	120
parent_corpus_database_id	github:ying531/awesome-replicability-data	102
parent_corpus_database_id	lead_harvest:covid_online_2021	74
parent_corpus_database_id	lead_harvest:psa_006_trolley	116
parent_corpus_database_id	many_labs_2 | doi:10.1177/2515245918810225	4
parent_corpus_database_id	raw_corpus:brodeur_star_wars_openicpsr	427
parent_corpus_database_id	raw_corpus:nakagawa_yang	210
parent_corpus_database_id	raw_corpus:political_science_unlock	317
parent_corpus_database_id	raw_corpus:rpcb	92
parent_corpus_database_id	rpcb | doi:10.7554/eLife.71601	92
parent_corpus_database_id	score	304
parent_corpus_database_id	zenodo:15552808	2
mirror_status	already_local	1642
mirror_status	component_metadata_recorded	28
mirror_status	downloaded	199
sample_status	metadata_only	401
sample_status	sample_failed	27
sample_status	sampled	1441
sample_kind	delimited_table	529
sample_kind	excel_workbook	12
sample_kind	html_text	9
sample_kind	json	1
sample_kind	json_list	11
sample_kind	json_object	281
sample_kind	metadata_only	401
sample_kind	pdf_text	67
sample_kind	r_data	40
sample_kind	sample_failed	27
sample_kind	stata	29
sample_kind	text	433
sample_kind	zip_inventory	29
candidate_parser_family	analysis_code_inventory	296
candidate_parser_family	binary_probe_context	21
candidate_parser_family	compressed_csv_table_parser	1
candidate_parser_family	csv_table_parser	545
candidate_parser_family	document_context_or_source_object_review	78
candidate_parser_family	json_metadata_inventory	250
candidate_parser_family	provider_file_inventory	26
candidate_parser_family	r_data_parser	40
candidate_parser_family	statistical_package_parser	30
candidate_parser_family	unknown	529
candidate_parser_family	xlsx_workbook_parser	21
candidate_parser_family	zenodo_record_inventory	1
candidate_parser_family	zip_member_inventory	31
total	artifacts	1869
total	mirrored_or_local	1869
total	sampled	1441
