artifact_id	parent_corpus_database_id	artifact_role	file_name	sample_kind	sample_status	candidate_parser_family	mirror_local_path	sample_path	estimated_rows_or_members	column_count	columns_preview	pair_signal_count	effect_signal_count	n_signal_count	identity_signal_count	priority_score	parser_priority	recommended_next_stage	routing_basis	queued_at
source_artifact_c7cbc0f780147523	repo_search_dataverse_62327a47981a	data_file	RPP Master Data- in progress (2).xlsx	excel_workbook	sampled	xlsx_workbook_parser	data/raw/source_artifacts/figure1_acquisition_tabular_first/repo_search_dataverse_62327a47981a/source_artifact_c7cbc0f780147523__RPP_Master_Data-_in_progress_2_.xlsx	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_c7cbc0f780147523.json	5	102	Study Title (O); Authors (O); Journal (O); Volume (O); Issue (O); Pages (O); Descriptors (O); Number of Authors (O); Number of Authors (R); Number of Studies (O); Discipline (O); Number of research sites (O); Number of research sites (R); Secondary data (O); Secondary data (R); 1st author (O); Citation Impact, 1st author (O); Institution 1st author (O); Senior author (O); Citation Impact, senior author (O); Institution senior author (O); 1st author (R); Citation Impact, 1st author (R); Institution 1st author (R); Senior author (R); Citation Impact, senior author (R); Institution senior author (R); Citation impact, paper (O); Institution prestige, 1st author (O); Institution prestige, 1st author (R); Institution prestige, senior author (O); Institution prestige, senior author (R); Internal conceptual replications (O); Internal direct replications (O); Perceived expertise required (O); Opportunity for expectancy bias (O); Opportunity for results to be affected by lack of diligence (O); Surprising result (O); Exciting result (O); Feasibility	5	4	4	4	81	high	parse_table_result_candidates	pair_signals=5; effect_signals=4; n_signals=4; identity_signals=4	2026-05-01T22:41:21
source_artifact_58cc017b099ca590	domain_search_osf_32ff619d7c35	data_file	ML2_OrignalEffects_Masterkey.csv	delimited_table	sampled	csv_table_parser	data/raw/source_artifacts/figure1_acquisition_tabular_first/domain_search_osf_32ff619d7c35/source_artifact_58cc017b099ca590__ML2_OrignalEffects_Masterkey.csv	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_58cc017b099ca590.json	91	52	unique.id; study.id; study.slate; study.name; study.analysis; study.vars; study.vars.labels; study.cases.include; study.sites.include; study.global.include; study.primary.include; study.secondary.include; study.figure2.include; study.table1.include; study.table1.weird.split; stat.vars; stat.type; stat.test; stat.params; stat.ncp; stat.df; stat.p.value; orig.sample.nation; ori.sample.weird; ori.study.figure2.include; orig.stat.type; orig.test.alternative; orig.test.sample; orig.stat.df1; orig.stat.df2; orig.stat.n1; orig.stat.n2; orig.stat.N; orig.stat.estimate; orig.stat.estimate1; orig.stat.estimate2; orig.stat.ncp; orig.stat.ncp.ciL; orig.stat.ncp.ciU; orig.stat.p.value	1	2	4	0	73	high	parse_table_result_candidates	pair_signals=1; effect_signals=2; n_signals=4	2026-05-01T22:41:05
source_artifact_67ae58e6568feb32	lead_wood_porter_2019	data_file	elusive-tab 7.tab	delimited_table	sampled	csv_table_parser	data/raw/source_artifacts/figure1_acquisition_tabular_first/lead_wood_porter_2019/source_artifact_67ae58e6568feb32__elusive-tab_7.tab	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_67ae58e6568feb32.json	2019	10	age; education; race; gender; income; region; employment; ideology; sample; resp	0	1	1	0	46	medium	inspect_sample_for_result_fields	effect_signals=1; n_signals=1	2026-05-01T22:41:06
source_artifact_2484a8e13eafc140	biblio_search_crossref_480bdd504b25	data_file	43588_2025_840_MOESM4_ESM.csv	delimited_table	sampled	csv_table_parser	data/raw/source_artifacts/figure1_acquisition_tabular_first/biblio_search_crossref_480bdd504b25/source_artifact_2484a8e13eafc140__43588_2025_840_MOESM4_ESM.csv	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_2484a8e13eafc140.json	86	7	LLM; Category; Group; Rate; N; CI_Lower; CI_Upper	0	0	2	1	43	medium	inspect_sample_for_result_fields	n_signals=2; identity_signals=1	2026-05-01T22:41:05
source_artifact_3ebf194b15a280e2	citation_search_openalex_bb828bb93d4f	data_file	elife-30274-fig2-data1-v2.csv	delimited_table	sampled	csv_table_parser	data/raw/source_artifacts/figure1_acquisition_tabular_first/citation_search_openalex_bb828bb93d4f/source_artifact_3ebf194b15a280e2__elife-30274-fig2-data1-v2.csv	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_3ebf194b15a280e2.json	8214	8	Gene; Accession; Measure; final.mean; Time; Lot; ID; Status	0	1	0	0	43	medium	inspect_sample_for_result_fields	effect_signals=1	2026-05-01T22:41:05
source_artifact_29bdf70e3d2d227e	domain_search_osf_32ff619d7c35	data_file	EERP_RProjects.xlsx	excel_workbook	sampled	xlsx_workbook_parser	data/raw/source_artifacts/figure1_acquisition_tabular_first/domain_search_osf_32ff619d7c35/source_artifact_29bdf70e3d2d227e__EERP_RProjects.xlsx	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_29bdf70e3d2d227e.json	5	15	study; project; ro; rr; fiso; fisr; se_fiso; se_fisr; po; pr; po1; pr1; pm_belief; nr; no	0	1	0	0	43	medium	inspect_sample_for_result_fields	effect_signals=1	2026-05-01T22:41:05
source_artifact_c26102ae72ef0565	lead_awesome_emdr_misinfo	data_file	replication_exp1_clean.csv	delimited_table	sampled	csv_table_parser	data/raw/source_artifacts/figure1_acquisition_tabular_first/lead_awesome_emdr_misinfo/source_artifact_c26102ae72ef0565__replication_exp1_clean.csv	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_c26102ae72ef0565.json	219	21	Unnamed: 0; participant; condition; age; gender; dog; trolley; wallet; plane; resume; kitten; vignettes; relaxed; angry; happy; sad; afraid; depressed; disgusted; upset; confused	0	0	1	0	40	medium	inspect_sample_for_result_fields	n_signals=1	2026-05-01T22:41:05
source_artifact_ebdfcb6906406816	lead_wood_porter_2019	data_file	elusive-tab 8.tab	delimited_table	sampled	csv_table_parser	data/raw/source_artifacts/figure1_acquisition_tabular_first/lead_wood_porter_2019/source_artifact_ebdfcb6906406816__elusive-tab_8.tab	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_ebdfcb6906406816.json	10047	12	rid; issue; issue_order; issue_lab; type; ans; ideo; ideo3; ans3; ideo_num; ans_num; sample	0	0	1	0	40	medium	inspect_sample_for_result_fields	n_signals=1	2026-05-01T22:41:06
source_artifact_336220b0e7b7ff8b	domain_search_osf_32ff619d7c35	data_file	table5data_RM.csv	delimited_table	sampled	csv_table_parser	data/raw/source_artifacts/figure1_acquisition_tabular_first/domain_search_osf_32ff619d7c35/source_artifact_336220b0e7b7ff8b__table5data_RM.csv	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_336220b0e7b7ff8b.json	28	30	study; analysis; ori_ML2analysis; ori_stattype; ori_N; ori_N_weird; ori_n1_weird; ori_n2_weird; ori_N_lessweird; ML2_test; ML2_stattype; ML2_estimate; ML2_estimate1; ML2_estimate2; ML2_teststat; ML2_N; ML2_n1; ML2_n2; ML2_df; ML2_pval; ML2_sd.1; ML2_sd.2; ML2_d; ML2_r; ML2_OR; ML2_Q; N_ML2_pval; N_ori_pval; N_2.5ori_pval; N_50each_pval	0	1	1	0	39	medium	inspect_sample_for_result_fields	effect_signals=1; n_signals=1	2026-05-01T22:41:05
source_artifact_6e346074045853c4	repo_search_dataverse_e6b5cf171269	data_file	stanford.tab	delimited_table	sampled	csv_table_parser	data/raw/source_artifacts/figure1_acquisition_tabular_first/repo_search_dataverse_e6b5cf171269/source_artifact_6e346074045853c4__stanford.tab	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_6e346074045853c4.json	11855	2	CATEGORY; RAWTEXT	0	1	2	0	39	medium	inspect_sample_for_result_fields	effect_signals=1; n_signals=2	2026-05-01T22:41:21
