metric	value	artifact_count
parser_priority	high	2
parser_priority	low	60
parser_priority	medium	445
recommended_next_stage	deprioritize_for_figure1_parsing	448
recommended_next_stage	inspect_code_or_text_for_generated_tables	30
recommended_next_stage	inspect_sample_for_result_fields	9
recommended_next_stage	inventory_metadata_and_links	3
recommended_next_stage	parse_table_result_candidates	2
recommended_next_stage	repair_or_manual_inventory	15
parent_corpus_database_id	biblio_search_crossref_480bdd504b25	5
parent_corpus_database_id	citation_search_openalex_bb828bb93d4f	1
parent_corpus_database_id	domain_search_osf_32ff619d7c35	6
parent_corpus_database_id	lead_awesome_emdr_misinfo	7
parent_corpus_database_id	lead_metaketa_i_2019	1
parent_corpus_database_id	lead_musicianship_eeg_2025	1
parent_corpus_database_id	lead_psa_006_trolley	1
parent_corpus_database_id	lead_wood_porter_2019	31
parent_corpus_database_id	repo_search_datacite_1afe2afc30e4	3
parent_corpus_database_id	repo_search_dataverse_4450c811f725	418
parent_corpus_database_id	repo_search_dataverse_62327a47981a	1
parent_corpus_database_id	repo_search_dataverse_c2906b5dfd2b	8
parent_corpus_database_id	repo_search_dataverse_e6b5cf171269	1
parent_corpus_database_id	repo_search_osf_1b6223afbba2	1
parent_corpus_database_id	repo_search_osf_2b928c9c5eb3	19
parent_corpus_database_id	repo_search_osf_dc905e11e778	3
sample_kind		14
sample_kind	delimited_table	369
sample_kind	excel_workbook	5
sample_kind	metadata_only	2
sample_kind	r_data	73
sample_kind	sample_failed	1
sample_kind	text	40
sample_kind	zip_inventory	3
total	parser_queue_artifacts	507
total	high_priority_parse_table_result_candidates	2
