artifact_id	parent_corpus_database_id	artifact_role	provider	provider_id	parent_provider_id	title	url	raw_url	doi	component_path	file_name	file_type	mime_type	byte_size	local_path	sha256	inventory_status	access_status	candidate_parser_family	pair_field_evidence	n_field_evidence	effect_field_evidence	publication_link_evidence	blocker_codes	next_action	notes	last_seen
source_artifact_980d2f1e3e9ea5eb	raw_corpus:nakagawa_yang	local_mirror	github	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/HEAD	raw_corpus:nakagawa_yang	HEAD				data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git	HEAD	unknown		21	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/HEAD	28d25bf82af4c0e2b72f50959b2beb859e3e60b9630a5e8c603dad4ddb2b6e80	mirrored	downloaded	unknown					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_c257d0214bcc1433; cluster_id=cluster_nakagawa_yang_c7aa4950fea4 | generated_from_inventory_task=inventory_task_c257d0214bcc1433; cluster_id=cluster_nakagawa_yang_c7aa4950fea4	2026-05-04
source_artifact_8d284ede17a6fdae	raw_corpus:nakagawa_yang	local_mirror	github	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/config	raw_corpus:nakagawa_yang	config				data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git	config	unknown		270	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/config	66376d69eeb9fa75c1970bff1cad0e44fd52851379981ddc119527d61a3646a2	mirrored	downloaded	unknown					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_c257d0214bcc1433; cluster_id=cluster_nakagawa_yang_c7aa4950fea4	2026-05-04
source_artifact_ad6a40777e73778c	raw_corpus:nakagawa_yang	local_mirror	github	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/description	raw_corpus:nakagawa_yang	description				data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git	description	unknown		73	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/description	85ab6c163d43a17ea9cf7788308bca1466f1b0a8d1cc92e26e9bf63da4062aee	mirrored	downloaded	unknown					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_c257d0214bcc1433; cluster_id=cluster_nakagawa_yang_c7aa4950fea4 | generated_from_inventory_task=inventory_task_c257d0214bcc1433; cluster_id=cluster_nakagawa_yang_c7aa4950fea4	2026-05-04
source_artifact_2fd58936f59735c7	raw_corpus:nakagawa_yang	local_mirror	github	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks/applypatch-msg.sample	raw_corpus:nakagawa_yang	applypatch-msg.sample				data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks	applypatch-msg.sample	sample		478	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks/applypatch-msg.sample	0223497a0b8b033aa58a3a521b8629869386cf7ab0e2f101963d328aa62193f7	mirrored	downloaded	unknown					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_c257d0214bcc1433; cluster_id=cluster_nakagawa_yang_c7aa4950fea4 | generated_from_inventory_task=inventory_task_c257d0214bcc1433; cluster_id=cluster_nakagawa_yang_c7aa4950fea4	2026-05-04
source_artifact_7c1e631a92fc6c5e	raw_corpus:nakagawa_yang	local_mirror	github	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks/commit-msg.sample	raw_corpus:nakagawa_yang	commit-msg.sample				data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks	commit-msg.sample	sample		896	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks/commit-msg.sample	1f74d5e9292979b573ebd59741d46cb93ff391acdd083d340b94370753d92437	mirrored	downloaded	unknown					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_c257d0214bcc1433; cluster_id=cluster_nakagawa_yang_c7aa4950fea4 | generated_from_inventory_task=inventory_task_c257d0214bcc1433; cluster_id=cluster_nakagawa_yang_c7aa4950fea4	2026-05-04
source_artifact_e51163fea53660f5	raw_corpus:nakagawa_yang	local_mirror	github	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks/fsmonitor-watchman.sample	raw_corpus:nakagawa_yang	fsmonitor-watchman.sample				data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks	fsmonitor-watchman.sample	sample		4726	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks/fsmonitor-watchman.sample	e0549964e93897b519bd8e333c037e51fff0f88ba13e086a331592bf801fa1d0	mirrored	downloaded	unknown					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_c257d0214bcc1433; cluster_id=cluster_nakagawa_yang_c7aa4950fea4 | generated_from_inventory_task=inventory_task_c257d0214bcc1433; cluster_id=cluster_nakagawa_yang_c7aa4950fea4	2026-05-04
source_artifact_9988b527d9f36608	raw_corpus:nakagawa_yang	local_mirror	github	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks/post-update.sample	raw_corpus:nakagawa_yang	post-update.sample				data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks	post-update.sample	sample		189	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks/post-update.sample	81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5	mirrored	downloaded	unknown					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_c257d0214bcc1433; cluster_id=cluster_nakagawa_yang_c7aa4950fea4 | generated_from_inventory_task=inventory_task_c257d0214bcc1433; cluster_id=cluster_nakagawa_yang_c7aa4950fea4	2026-05-04
source_artifact_6a382d6318068cb1	raw_corpus:nakagawa_yang	local_mirror	github	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks/pre-applypatch.sample	raw_corpus:nakagawa_yang	pre-applypatch.sample				data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks	pre-applypatch.sample	sample		424	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks/pre-applypatch.sample	e15c5b469ea3e0a695bea6f2c82bcf8e62821074939ddd85b77e0007ff165475	mirrored	downloaded	unknown					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_c257d0214bcc1433; cluster_id=cluster_nakagawa_yang_c7aa4950fea4 | generated_from_inventory_task=inventory_task_c257d0214bcc1433; cluster_id=cluster_nakagawa_yang_c7aa4950fea4	2026-05-04
source_artifact_ffb5a2400a4f2af6	raw_corpus:nakagawa_yang	local_mirror	github	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks/pre-commit.sample	raw_corpus:nakagawa_yang	pre-commit.sample				data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks	pre-commit.sample	sample		1643	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks/pre-commit.sample	f9af7d95eb1231ecf2eba9770fedfa8d4797a12b02d7240e98d568201251244a	mirrored	downloaded	unknown					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_c257d0214bcc1433; cluster_id=cluster_nakagawa_yang_c7aa4950fea4 | generated_from_inventory_task=inventory_task_c257d0214bcc1433; cluster_id=cluster_nakagawa_yang_c7aa4950fea4	2026-05-04
source_artifact_9d39eadd36da5973	raw_corpus:nakagawa_yang	local_mirror	github	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks/pre-merge-commit.sample	raw_corpus:nakagawa_yang	pre-merge-commit.sample				data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks	pre-merge-commit.sample	sample		416	data/raw/corpus_candidates/nakagawa_yang/EcoEvo_PB/.git/hooks/pre-merge-commit.sample	d3825a70337940ebbd0a5c072984e13245920cdf8898bd225c8d27a6dfc9cb53	mirrored	downloaded	unknown					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_c257d0214bcc1433; cluster_id=cluster_nakagawa_yang_c7aa4950fea4 | generated_from_inventory_task=inventory_task_c257d0214bcc1433; cluster_id=cluster_nakagawa_yang_c7aa4950fea4	2026-05-04
