artifact_id	parent_corpus_database_id	artifact_role	provider	provider_id	parent_provider_id	title	url	raw_url	doi	component_path	file_name	file_type	mime_type	byte_size	local_path	sha256	inventory_status	access_status	candidate_parser_family	pair_field_evidence	n_field_evidence	effect_field_evidence	publication_link_evidence	blocker_codes	next_action	notes	last_seen
source_artifact_a75da0bc34c64915	raw_corpus:political_science_unlock	context_file	github	data/raw/corpus_candidates/political_science_unlock/AEA_RCT_Registry_Data_Elements_Definitions.pdf	raw_corpus:political_science_unlock	AEA_RCT_Registry_Data_Elements_Definitions.pdf				data/raw/corpus_candidates/political_science_unlock	AEA_RCT_Registry_Data_Elements_Definitions.pdf	pdf	application/pdf	142729	data/raw/corpus_candidates/political_science_unlock/AEA_RCT_Registry_Data_Elements_Definitions.pdf	7f7f503c03e4b9ae1370b6a4280713f98f488b235739f0520ede62d2c10be908	mirrored	downloaded	document_context_or_source_object_review					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_597e0260dcccafd3; cluster_id=cluster_political_science_unlock_f7f85210dec5	2026-05-04
source_artifact_bfc9c3d67a81256d	raw_corpus:political_science_unlock	local_mirror	github	data/raw/corpus_candidates/political_science_unlock/aea_dataverse_metadata.json	raw_corpus:political_science_unlock	aea_dataverse_metadata.json				data/raw/corpus_candidates/political_science_unlock	aea_dataverse_metadata.json	json	application/json	9011	data/raw/corpus_candidates/political_science_unlock/aea_dataverse_metadata.json	f11c205bcc47b873b4952a6abf9f969a13d772ef67581c71a7137ffd4b122857	mirrored	downloaded	json_metadata_inventory					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_597e0260dcccafd3; cluster_id=cluster_political_science_unlock_f7f85210dec5	2026-05-04
source_artifact_37180e2e0a370b60	raw_corpus:political_science_unlock	local_mirror	github	data/raw/corpus_candidates/political_science_unlock/aea_resource_curse/aer_20190842_data_download	raw_corpus:political_science_unlock	aer_20190842_data_download				data/raw/corpus_candidates/political_science_unlock/aea_resource_curse	aer_20190842_data_download	unknown		5464	data/raw/corpus_candidates/political_science_unlock/aea_resource_curse/aer_20190842_data_download	2bb1d3ff33a8321c9cfba060118f1708028fc5820f5f614f70c92a77d5f735cf	mirrored	downloaded	unknown					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_597e0260dcccafd3; cluster_id=cluster_political_science_unlock_f7f85210dec5	2026-05-04
source_artifact_7ef790e40bf985cf	raw_corpus:political_science_unlock	local_mirror	github	data/raw/corpus_candidates/political_science_unlock/aea_resource_curse/file_13017	raw_corpus:political_science_unlock	file_13017				data/raw/corpus_candidates/political_science_unlock/aea_resource_curse	file_13017	unknown		567637	data/raw/corpus_candidates/political_science_unlock/aea_resource_curse/file_13017	a9af62a26728dd4079480ce07cea8d80d4c07f8658cf2a7d07d59afd60bb0d6a	mirrored	downloaded	unknown					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_597e0260dcccafd3; cluster_id=cluster_political_science_unlock_f7f85210dec5	2026-05-04
source_artifact_6e976be08cc40081	raw_corpus:political_science_unlock	archive_file	github	data/raw/corpus_candidates/political_science_unlock/aea_resource_curse/openicpsr_export.zip	raw_corpus:political_science_unlock	openicpsr_export.zip				data/raw/corpus_candidates/political_science_unlock/aea_resource_curse	openicpsr_export.zip	zip	application/zip	5476	data/raw/corpus_candidates/political_science_unlock/aea_resource_curse/openicpsr_export.zip	fedbb9dcd64fa5bf6ffd53a61b6a4c19d29350a5c73c4e93e4d933e398fe40cf	mirrored	downloaded	zip_member_inventory					needs_artifact_inspection	inventory_archive_members	generated_from_inventory_task=inventory_task_597e0260dcccafd3; cluster_id=cluster_political_science_unlock_f7f85210dec5	2026-05-04
source_artifact_faca2806ef95f970	raw_corpus:political_science_unlock	local_mirror	github	data/raw/corpus_candidates/political_science_unlock/aea_resource_curse/openicpsr_metadata.json	raw_corpus:political_science_unlock	openicpsr_metadata.json				data/raw/corpus_candidates/political_science_unlock/aea_resource_curse	openicpsr_metadata.json	json	application/json	5461	data/raw/corpus_candidates/political_science_unlock/aea_resource_curse/openicpsr_metadata.json	6175b7fb4a430271229c40549342af8ab7aaab9ce9f5bd080a8d2447eafb37bb	mirrored	downloaded	json_metadata_inventory					needs_artifact_inspection	keep_as_context_or_assign_parser_after_review	generated_from_inventory_task=inventory_task_597e0260dcccafd3; cluster_id=cluster_political_science_unlock_f7f85210dec5	2026-05-04
source_artifact_fabeac7a546c8960	raw_corpus:political_science_unlock	data_file	github	data/raw/corpus_candidates/political_science_unlock/aea_trials.csv	raw_corpus:political_science_unlock	aea_trials.csv				data/raw/corpus_candidates/political_science_unlock	aea_trials.csv	csv	text/csv	64023532	data/raw/corpus_candidates/political_science_unlock/aea_trials.csv	82e0a929753114025442993aa2d8a7e7c4a8412982b1af94e3d0343f2f278838	mirrored	downloaded	csv_table_parser		header: DOI Number | Country names | Sample size number clusters | Sample size number observations | Sample size number arms | Total number of observations	header: First registered on | Status | Minimum effect size	header: Title | DOI Number		inspect_table_header_and_codebook_before_parser_assignment	generated_from_inventory_task=inventory_task_597e0260dcccafd3; cluster_id=cluster_political_science_unlock_f7f85210dec5 | generated_from_inventory_task=inventory_task_597e0260dcccafd3; cluster_id=cluster_political_science_unlock_f7f85210dec5	2026-05-04
source_artifact_69cff83619895bb3	raw_corpus:political_science_unlock	archive_file	github	data/raw/corpus_candidates/political_science_unlock/dataverse/1LIIDV/1LIIDV.zip	raw_corpus:political_science_unlock	1LIIDV.zip				data/raw/corpus_candidates/political_science_unlock/dataverse/1LIIDV	1LIIDV.zip	zip	application/zip	401623	data/raw/corpus_candidates/political_science_unlock/dataverse/1LIIDV/1LIIDV.zip	cdeb7d88be8e4c3add2e23ce30abd033f8c17efb5913b9f4dab8df1ade5b455f	mirrored	downloaded	zip_member_inventory					needs_artifact_inspection	inventory_archive_members	generated_from_inventory_task=inventory_task_597e0260dcccafd3; cluster_id=cluster_political_science_unlock_f7f85210dec5	2026-05-04
source_artifact_b77f965596156d6d	raw_corpus:political_science_unlock	archive_file	github	data/raw/corpus_candidates/political_science_unlock/dataverse/2KLNFX/2KLNFX.zip	raw_corpus:political_science_unlock	2KLNFX.zip				data/raw/corpus_candidates/political_science_unlock/dataverse/2KLNFX	2KLNFX.zip	zip	application/zip	167130	data/raw/corpus_candidates/political_science_unlock/dataverse/2KLNFX/2KLNFX.zip	c6df541def45609d86b3a223bf2f8e6c155a83a0c18edf2e40e6270e3093b11b	mirrored	downloaded	zip_member_inventory					needs_artifact_inspection	inventory_archive_members	generated_from_inventory_task=inventory_task_597e0260dcccafd3; cluster_id=cluster_political_science_unlock_f7f85210dec5	2026-05-04
source_artifact_68c1e4ed13f42af8	raw_corpus:political_science_unlock	archive_file	github	data/raw/corpus_candidates/political_science_unlock/dataverse/3VVWPL/3VVWPL.zip	raw_corpus:political_science_unlock	3VVWPL.zip				data/raw/corpus_candidates/political_science_unlock/dataverse/3VVWPL	3VVWPL.zip	zip	application/zip	42722	data/raw/corpus_candidates/political_science_unlock/dataverse/3VVWPL/3VVWPL.zip	d7841f69f45e03086cc1cbe23e0238389b4f5447294be157a3f3e657f9070a88	mirrored	downloaded	zip_member_inventory					needs_artifact_inspection	inventory_archive_members	generated_from_inventory_task=inventory_task_597e0260dcccafd3; cluster_id=cluster_political_science_unlock_f7f85210dec5	2026-05-04
