artifact_id	parent_corpus_database_id	artifact_role	provider	provider_id	parent_provider_id	title	url	raw_url	doi	component_path	file_name	file_type	mime_type	byte_size	local_path	sha256	inventory_status	access_status	candidate_parser_family	pair_field_evidence	n_field_evidence	effect_field_evidence	publication_link_evidence	blocker_codes	next_action	notes	last_seen
source_artifact_c9934937bbbf3b38	raw_corpus:rpcb	repository_component	osf	61981aec07dcc50071e53918	raw_corpus:rpcb	Individual replication audits	https://api.osf.io/v2/files/61981aec07dcc50071e53918/			/Individual replication audits/	Individual replication audits	unknown		0			inventoried_metadata_only	public_metadata	unknown					metadata_only	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/replication_projects/lead_harvest/rpcb_e5nvr/osf_file_list.csv; inventory_task=inventory_task_fd8530c815c12471	2026-05-04
source_artifact_c95c566e65d5fec6	raw_corpus:rpcb	provider_file	osf	61981affef6298006cf5c2f5	raw_corpus:rpcb	RPCB_Final_Analysis_Study_01.R	https://osf.io/e5nvr/files/osfstorage/61981affef6298006cf5c2f5	https://osf.io/download/usftx/		Individual replication audits/RPCB_Final_Analysis_Study_01.R	RPCB_Final_Analysis_Study_01.R	r		83275			inventoried_metadata_only	public_download_seen	analysis_code_inventory					needs_local_mirror	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/rpcb/osf_file_manifest.csv; inventory_task=inventory_task_fd8530c815c12471 | provider_manifest=data/raw/replication_projects/lead_harvest/rpcb_e5nvr/osf_file_list.csv; inventory_task=inventory_task_fd8530c815c12471	2026-05-04
source_artifact_0321a215d7272976	raw_corpus:rpcb	provider_file	osf		raw_corpus:rpcb	RPCB_Final_Analysis_Study_05.R		https://osf.io/download/e6fg3/		Individual replication audits/RPCB_Final_Analysis_Study_05.R	RPCB_Final_Analysis_Study_05.R	r		10008			inventoried_metadata_only	public_download_seen	analysis_code_inventory					needs_local_mirror	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/rpcb/osf_file_manifest.csv; inventory_task=inventory_task_fd8530c815c12471	2026-05-04
source_artifact_f2be5e5450b10bb4	raw_corpus:rpcb	provider_file	osf		raw_corpus:rpcb	RPCB_Final_Analysis_Study_06.R		https://osf.io/download/6q5yt/		Individual replication audits/RPCB_Final_Analysis_Study_06.R	RPCB_Final_Analysis_Study_06.R	r		4953			inventoried_metadata_only	public_download_seen	analysis_code_inventory					needs_local_mirror	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/rpcb/osf_file_manifest.csv; inventory_task=inventory_task_fd8530c815c12471	2026-05-04
source_artifact_f619c5a2e939c9bf	raw_corpus:rpcb	provider_file	osf		raw_corpus:rpcb	RPCB_Final_Analysis_Study_07.R		https://osf.io/download/6m4ey/		Individual replication audits/RPCB_Final_Analysis_Study_07.R	RPCB_Final_Analysis_Study_07.R	r		23625			inventoried_metadata_only	public_download_seen	analysis_code_inventory					needs_local_mirror	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/rpcb/osf_file_manifest.csv; inventory_task=inventory_task_fd8530c815c12471	2026-05-04
source_artifact_d1fc4d86b1bae678	raw_corpus:rpcb	provider_file	osf	61981aff8dbcf80069eda002	raw_corpus:rpcb	RPCB_Final_Analysis_Study_08.R	https://osf.io/e5nvr/files/osfstorage/61981aff8dbcf80069eda002	https://osf.io/download/dmx7r/		Individual replication audits/RPCB_Final_Analysis_Study_08.R	RPCB_Final_Analysis_Study_08.R	r		41574			inventoried_metadata_only	public_download_seen	analysis_code_inventory					needs_local_mirror	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/rpcb/osf_file_manifest.csv; inventory_task=inventory_task_fd8530c815c12471 | provider_manifest=data/raw/replication_projects/lead_harvest/rpcb_e5nvr/osf_file_list.csv; inventory_task=inventory_task_fd8530c815c12471	2026-05-04
source_artifact_aad0867a6b0d4c83	raw_corpus:rpcb	provider_file	osf		raw_corpus:rpcb	RPCB_Final_Analysis_Study_09.R		https://osf.io/download/7rf2c/		Individual replication audits/RPCB_Final_Analysis_Study_09.R	RPCB_Final_Analysis_Study_09.R	r		106069			inventoried_metadata_only	public_download_seen	analysis_code_inventory					needs_local_mirror	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/rpcb/osf_file_manifest.csv; inventory_task=inventory_task_fd8530c815c12471	2026-05-04
source_artifact_5fb970ab6e0127b7	raw_corpus:rpcb	provider_file	osf	61981afe07dcc50075e52d9b	raw_corpus:rpcb	RPCB_Final_Analysis_Study_12.R	https://osf.io/e5nvr/files/osfstorage/61981afe07dcc50075e52d9b	https://osf.io/download/qmksc/		Individual replication audits/RPCB_Final_Analysis_Study_12.R	RPCB_Final_Analysis_Study_12.R	r		16968			inventoried_metadata_only	public_download_seen	analysis_code_inventory					needs_local_mirror	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/rpcb/osf_file_manifest.csv; inventory_task=inventory_task_fd8530c815c12471 | provider_manifest=data/raw/replication_projects/lead_harvest/rpcb_e5nvr/osf_file_list.csv; inventory_task=inventory_task_fd8530c815c12471	2026-05-04
source_artifact_140e563daa669eff	raw_corpus:rpcb	provider_file	osf	61981b01ef62980072f5ae6a	raw_corpus:rpcb	RPCB_Final_Analysis_Study_15.R	https://osf.io/e5nvr/files/osfstorage/61981b01ef62980072f5ae6a	https://osf.io/download/dpfgy/		Individual replication audits/RPCB_Final_Analysis_Study_15.R	RPCB_Final_Analysis_Study_15.R	r		23169			inventoried_metadata_only	public_download_seen	analysis_code_inventory					needs_local_mirror	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/rpcb/osf_file_manifest.csv; inventory_task=inventory_task_fd8530c815c12471 | provider_manifest=data/raw/replication_projects/lead_harvest/rpcb_e5nvr/osf_file_list.csv; inventory_task=inventory_task_fd8530c815c12471	2026-05-04
source_artifact_ff50aee5f4c7e073	raw_corpus:rpcb	provider_file	osf		raw_corpus:rpcb	RPCB_Final_Analysis_Study_16.R		https://osf.io/download/hwef8/		Individual replication audits/RPCB_Final_Analysis_Study_16.R	RPCB_Final_Analysis_Study_16.R	r		38120			inventoried_metadata_only	public_download_seen	analysis_code_inventory					needs_local_mirror	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/rpcb/osf_file_manifest.csv; inventory_task=inventory_task_fd8530c815c12471	2026-05-04
