rehydration_id	parent_corpus_database_id	artifact_id	provider	url	expected_sha256	expected_byte_size	route_kind	download_status	target_local_path	actual_sha256	actual_byte_size	access_metadata_written	error
figure1_rehydrate_822bdc5587ba9afe	github:ying531/awesome-replicability-data	source_artifact_c44829fdc5d856bf	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp1_clean.csv	6c007b2c67057c5315ae50f3d8b359f8bbf5151eda82a4a8822cc17bee3f2a0a	2573	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_01__original_exp1_clean.csv	6c007b2c67057c5315ae50f3d8b359f8bbf5151eda82a4a8822cc17bee3f2a0a	2573		
figure1_rehydrate_7d3a8654c9096c93	github:ying531/awesome-replicability-data	source_artifact_c44829fdc5d856bf	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp1_clean.csv		2573	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_01__original_exp1_clean.csv	6c007b2c67057c5315ae50f3d8b359f8bbf5151eda82a4a8822cc17bee3f2a0a	2573		
figure1_rehydrate_595f5d86b7d3563b	github:ying531/awesome-replicability-data	source_artifact_2a2895475dd166f0	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp2_clean.csv	37c115572ce8e023d6d4c135c5308adadedbde6fd2b5fd4c25ee560e28ef1d12	2760	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_02__original_exp2_clean.csv	37c115572ce8e023d6d4c135c5308adadedbde6fd2b5fd4c25ee560e28ef1d12	2760		
figure1_rehydrate_f2c3e4d180f5266e	github:ying531/awesome-replicability-data	source_artifact_2a2895475dd166f0	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp2_clean.csv		2760	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_02__original_exp2_clean.csv	37c115572ce8e023d6d4c135c5308adadedbde6fd2b5fd4c25ee560e28ef1d12	2760		
figure1_rehydrate_af949e9cd00dba49	github:ying531/awesome-replicability-data	source_artifact_0ee6f704724bea98	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp2_clean.csv	ad96edfeb5afde74b09447aa2fad001faffcf8ac1cd686f3e04ae8cef257d49d	8319	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_03__replication_exp2_clean.csv	ad96edfeb5afde74b09447aa2fad001faffcf8ac1cd686f3e04ae8cef257d49d	8319		
figure1_rehydrate_54366f6c1c9871ed	github:ying531/awesome-replicability-data	source_artifact_0ee6f704724bea98	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp2_clean.csv		8319	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_03__replication_exp2_clean.csv	ad96edfeb5afde74b09447aa2fad001faffcf8ac1cd686f3e04ae8cef257d49d	8319		
figure1_rehydrate_12c254597808dd83	github:ying531/awesome-replicability-data	source_artifact_ab2c7f007fa008ce	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp1_clean.csv	c6f096207f0494b2fde0392c801629213360ccd98d6ab3655815a7f0f48dce95	13333	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_04__replication_exp1_clean.csv	c6f096207f0494b2fde0392c801629213360ccd98d6ab3655815a7f0f48dce95	13333		
figure1_rehydrate_9f61e81ee4db530f	github:ying531/awesome-replicability-data	source_artifact_ab2c7f007fa008ce	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp1_clean.csv		13333	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_04__replication_exp1_clean.csv	c6f096207f0494b2fde0392c801629213360ccd98d6ab3655815a7f0f48dce95	13333		
figure1_rehydrate_46fccbcd18aced1a	github:ying531/awesome-replicability-data	source_artifact_ab2c7f007fa008ce	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp1_clean.csv	c6f096207f0494b2fde0392c801629213360ccd98d6ab3655815a7f0f48dce95	13333	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/raw__replication_exp1_clean.csv	c6f096207f0494b2fde0392c801629213360ccd98d6ab3655815a7f0f48dce95	13333		
figure1_rehydrate_d53a35dfedab2104	github:ying531/awesome-replicability-data	source_artifact_012494357d9c21ce	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/emdr_misinfo/original_clean.csv	8613015f74333052f2548d26f0f0fce2da2e5dfe18c5cce51a1abac397a3d384	2355	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_emdr_misinfo/github_01__original_clean.csv	8613015f74333052f2548d26f0f0fce2da2e5dfe18c5cce51a1abac397a3d384	2355		
figure1_rehydrate_1bbbc555a3cb1534	github:ying531/awesome-replicability-data	source_artifact_012494357d9c21ce	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/emdr_misinfo/original_clean.csv		2355	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_emdr_misinfo/github_01__original_clean.csv	8613015f74333052f2548d26f0f0fce2da2e5dfe18c5cce51a1abac397a3d384	2355		
figure1_rehydrate_05fcfc7612fd79ae	github:ying531/awesome-replicability-data	source_artifact_3019edd6e0cc966b	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/emdr_misinfo/replication_clean.csv	3df80f73206f0ff616926f43744538150e66077ea18f8b5053d058a1ba9501c5	3861	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_emdr_misinfo/github_02__replication_clean.csv	3df80f73206f0ff616926f43744538150e66077ea18f8b5053d058a1ba9501c5	3861		
figure1_rehydrate_27b761bda3c49ac0	github:ying531/awesome-replicability-data	source_artifact_3019edd6e0cc966b	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/emdr_misinfo/replication_clean.csv		3861	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_emdr_misinfo/github_02__replication_clean.csv	3df80f73206f0ff616926f43744538150e66077ea18f8b5053d058a1ba9501c5	3861		
figure1_rehydrate_52f056a6eaab805f	github:ying531/awesome-replicability-data	source_artifact_3019edd6e0cc966b	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/emdr_misinfo/replication_clean.csv	3df80f73206f0ff616926f43744538150e66077ea18f8b5053d058a1ba9501c5	3861	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_emdr_misinfo/raw__replication_clean.csv	3df80f73206f0ff616926f43744538150e66077ea18f8b5053d058a1ba9501c5	3861		
figure1_rehydrate_f6087bca3f9bb79a	github:ying531/awesome-replicability-data	source_artifact_130d02d5ba71ac87	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/lie_language/original_clean.csv	2ab76d8d421c1cc1b3a885f476ac73c90854768c85a3491e8976aaf3b9885c8f	19609	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_lie_language/github_01__original_clean.csv	2ab76d8d421c1cc1b3a885f476ac73c90854768c85a3491e8976aaf3b9885c8f	19609		
figure1_rehydrate_e95fcba7ac70d3a9	github:ying531/awesome-replicability-data	source_artifact_130d02d5ba71ac87	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/lie_language/original_clean.csv		19609	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_lie_language/github_01__original_clean.csv	2ab76d8d421c1cc1b3a885f476ac73c90854768c85a3491e8976aaf3b9885c8f	19609		
figure1_rehydrate_3cceb9e3c6036812	github:ying531/awesome-replicability-data	source_artifact_a360c5f3d71864ea	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/lie_language/replication_clean.csv	fe34806b413aa82640692dcb48e7a83ace84fbdcf73e6c466d49959b73b6dadd	68769	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_lie_language/github_02__replication_clean.csv	fe34806b413aa82640692dcb48e7a83ace84fbdcf73e6c466d49959b73b6dadd	68769		
figure1_rehydrate_3e56d7b4d27a5036	github:ying531/awesome-replicability-data	source_artifact_a360c5f3d71864ea	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/lie_language/replication_clean.csv		68769	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_lie_language/github_02__replication_clean.csv	fe34806b413aa82640692dcb48e7a83ace84fbdcf73e6c466d49959b73b6dadd	68769		
figure1_rehydrate_f8668570762cbd96	github:ying531/awesome-replicability-data	source_artifact_a360c5f3d71864ea	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/lie_language/replication_clean.csv	fe34806b413aa82640692dcb48e7a83ace84fbdcf73e6c466d49959b73b6dadd	68769	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_lie_language/raw__replication_clean.csv	fe34806b413aa82640692dcb48e7a83ace84fbdcf73e6c466d49959b73b6dadd	68769		
figure1_rehydrate_cfe27d15dfb22940	github:ying531/awesome-replicability-data	source_artifact_8c136150accbc5b6	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/mindbody_selfcentrality/yoga_replication_cleaned.csv	be89d294021955469d3aac8375fcae7dcc71d19052aa2931a36d87e72e9f1a69	78602	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_mindbody_selfcentrality/github_01__yoga_replication_cleaned.csv	be89d294021955469d3aac8375fcae7dcc71d19052aa2931a36d87e72e9f1a69	78602		
figure1_rehydrate_cc4fe6a1316ad7e2	github:ying531/awesome-replicability-data	source_artifact_8c136150accbc5b6	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/mindbody_selfcentrality/yoga_replication_cleaned.csv		78602	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_mindbody_selfcentrality/github_01__yoga_replication_cleaned.csv	be89d294021955469d3aac8375fcae7dcc71d19052aa2931a36d87e72e9f1a69	78602		
figure1_rehydrate_f0015c2763f2a5ff	github:ying531/awesome-replicability-data	source_artifact_c797fc5a11d24eec	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/mindbody_selfcentrality/yoga_original_cleaned.csv	1301d6566868f4000870afbd91686c9d3ed1079bd422d63c66f1fa06a603f019	97574	recorded_download_json	existing_verified	data/raw/replication_projects/lead_harvest/awesome_mindbody_selfcentrality/github_02__yoga_original_cleaned.csv	1301d6566868f4000870afbd91686c9d3ed1079bd422d63c66f1fa06a603f019	97574		
figure1_rehydrate_fccd7eb0d539189f	github:ying531/awesome-replicability-data	source_artifact_c797fc5a11d24eec	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/mindbody_selfcentrality/yoga_original_cleaned.csv		97574	recorded_provider_manifest	existing_no_expected_checksum	data/raw/replication_projects/lead_harvest/awesome_mindbody_selfcentrality/github_02__yoga_original_cleaned.csv	1301d6566868f4000870afbd91686c9d3ed1079bd422d63c66f1fa06a603f019	97574		
