rehydration_id	parent_corpus_database_id	artifact_id	provider	artifact_role	file_name	file_type	url	url_field	final_url	target_local_path	metadata_local_path	expected_sha256	expected_byte_size	content_type	route_kind	repull_supported	source_evidence	notes
figure1_rehydrate_822bdc5587ba9afe	github:ying531/awesome-replicability-data	source_artifact_c44829fdc5d856bf	github	data_file	github_01__original_exp1_clean.csv	csv	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp1_clean.csv	url	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp1_clean.csv	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_01__original_exp1_clean.csv	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_01_download.json	6c007b2c67057c5315ae50f3d8b359f8bbf5151eda82a4a8822cc17bee3f2a0a	2573	text/plain; charset=utf-8	recorded_download_json	true	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_01_download.json	stable provider URL from successful local access sidecar
figure1_rehydrate_7d3a8654c9096c93	github:ying531/awesome-replicability-data	source_artifact_c44829fdc5d856bf	github	data_file	github_01__original_exp1_clean.csv	csv	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp1_clean.csv	provider_manifest		data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_01__original_exp1_clean.csv	steps/source_inventory/figure1/rehydration/access_events/figure1_rehydrate_7d3a8654c9096c93.json		2573		recorded_provider_manifest	true	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv	provider_manifest=data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv | provider_manifest=data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_manifest.json
figure1_rehydrate_595f5d86b7d3563b	github:ying531/awesome-replicability-data	source_artifact_2a2895475dd166f0	github	data_file	github_02__original_exp2_clean.csv	csv	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp2_clean.csv	url	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp2_clean.csv	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_02__original_exp2_clean.csv	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_02_download.json	37c115572ce8e023d6d4c135c5308adadedbde6fd2b5fd4c25ee560e28ef1d12	2760	text/plain; charset=utf-8	recorded_download_json	true	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_02_download.json	stable provider URL from successful local access sidecar
figure1_rehydrate_f2c3e4d180f5266e	github:ying531/awesome-replicability-data	source_artifact_2a2895475dd166f0	github	data_file	github_02__original_exp2_clean.csv	csv	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp2_clean.csv	provider_manifest		data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_02__original_exp2_clean.csv	steps/source_inventory/figure1/rehydration/access_events/figure1_rehydrate_f2c3e4d180f5266e.json		2760		recorded_provider_manifest	true	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv	provider_manifest=data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv | provider_manifest=data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_manifest.json
figure1_rehydrate_af949e9cd00dba49	github:ying531/awesome-replicability-data	source_artifact_0ee6f704724bea98	github	data_file	github_03__replication_exp2_clean.csv	csv	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp2_clean.csv	url	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp2_clean.csv	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_03__replication_exp2_clean.csv	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_03_download.json	ad96edfeb5afde74b09447aa2fad001faffcf8ac1cd686f3e04ae8cef257d49d	8319	text/plain; charset=utf-8	recorded_download_json	true	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_03_download.json	stable provider URL from successful local access sidecar
figure1_rehydrate_54366f6c1c9871ed	github:ying531/awesome-replicability-data	source_artifact_0ee6f704724bea98	github	data_file	github_03__replication_exp2_clean.csv	csv	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp2_clean.csv	provider_manifest		data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_03__replication_exp2_clean.csv	steps/source_inventory/figure1/rehydration/access_events/figure1_rehydrate_54366f6c1c9871ed.json		8319		recorded_provider_manifest	true	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv	provider_manifest=data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv | provider_manifest=data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_manifest.json
figure1_rehydrate_12c254597808dd83	github:ying531/awesome-replicability-data	source_artifact_ab2c7f007fa008ce	github	data_file	github_04__replication_exp1_clean.csv	csv	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp1_clean.csv	url	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp1_clean.csv	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_04__replication_exp1_clean.csv	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_04_download.json	c6f096207f0494b2fde0392c801629213360ccd98d6ab3655815a7f0f48dce95	13333	text/plain; charset=utf-8	recorded_download_json	true	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_04_download.json	stable provider URL from successful local access sidecar
figure1_rehydrate_9f61e81ee4db530f	github:ying531/awesome-replicability-data	source_artifact_ab2c7f007fa008ce	github	data_file	github_04__replication_exp1_clean.csv	csv	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp1_clean.csv	provider_manifest		data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_04__replication_exp1_clean.csv	steps/source_inventory/figure1/rehydration/access_events/figure1_rehydrate_9f61e81ee4db530f.json		13333		recorded_provider_manifest	true	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv	provider_manifest=data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv | provider_manifest=data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_manifest.json
figure1_rehydrate_46fccbcd18aced1a	github:ying531/awesome-replicability-data	source_artifact_ab2c7f007fa008ce	github	data_file	github_04__replication_exp1_clean.csv	csv	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp1_clean.csv	url	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp1_clean.csv	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/raw__replication_exp1_clean.csv	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/raw_download.json	c6f096207f0494b2fde0392c801629213360ccd98d6ab3655815a7f0f48dce95	13333	text/plain; charset=utf-8	recorded_download_json	true	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/raw_download.json	stable provider URL from successful local access sidecar
figure1_rehydrate_d53a35dfedab2104	github:ying531/awesome-replicability-data	source_artifact_012494357d9c21ce	github	data_file	github_01__original_clean.csv	csv	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/emdr_misinfo/original_clean.csv	url	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/emdr_misinfo/original_clean.csv	data/raw/replication_projects/lead_harvest/awesome_emdr_misinfo/github_01__original_clean.csv	data/raw/replication_projects/lead_harvest/awesome_emdr_misinfo/github_01_download.json	8613015f74333052f2548d26f0f0fce2da2e5dfe18c5cce51a1abac397a3d384	2355	text/plain; charset=utf-8	recorded_download_json	true	data/raw/replication_projects/lead_harvest/awesome_emdr_misinfo/github_01_download.json	stable provider URL from successful local access sidecar
