metric	value	count
total	working_urls	545
total	repull_manifest_rows	481
total	rehydration_gaps	447
total	downloadable_targets	441
route_kind	recorded_download_json	52
route_kind	recorded_probe_json	16
route_kind	recorded_provider_manifest	260
route_kind	source_artifact_status	217
parent_corpus_database_id	github:ying531/awesome-replicability-data	51
parent_corpus_database_id	lead_harvest:covid_online_2021	34
parent_corpus_database_id	raw_corpus:political_science_unlock	58
parent_corpus_database_id	raw_corpus:rpcb	94
parent_corpus_database_id	rpcb | doi:10.7554/eLife.71601	30
parent_corpus_database_id	score	212
parent_corpus_database_id	zenodo:15552808	2
gap_reason	access_metadata_sidecar	90
gap_reason	derived_or_unpacked_local_file	26
gap_reason	generated_component_metadata	17
gap_reason	missing_stable_download_route	296
gap_reason	probe_preview_bytes	18
