working_url_id	route_kind	parent_corpus_database_id	artifact_id	provider	url	url_field	final_url	url_is_temporary	target_local_path	access_metadata_path	status_code	content_type	content_length	byte_size	sha256	repull_supported	source_evidence	notes
figure1_working_url_b45567227cbba28b	recorded_probe_json			dataverse	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/38UTBF	url	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/38UTBF	false		data/raw/replication_projects/lead_harvest/covid_online_2021/landing_probe.json	202	text/html; charset=UTF-8	0	0		false	data/raw/replication_projects/lead_harvest/covid_online_2021/landing_probe.json	stable provider URL from successful local access sidecar
figure1_working_url_b32896c2b0969a76	recorded_probe_json	github:ying531/awesome-replicability-data	source_artifact_d237e941199a268e	github	https://github.com/ying531/awesome-replicability-data	url	https://github.com/ying531/awesome-replicability-data	false	data/raw/replication_projects/lead_harvest/awesome_body_dissatisfaction/landing_preview.bin	data/raw/replication_projects/lead_harvest/awesome_body_dissatisfaction/landing_probe.json	200	text/html; charset=utf-8				false	data/raw/replication_projects/lead_harvest/awesome_body_dissatisfaction/landing_probe.json	stable provider URL from successful local access sidecar
figure1_working_url_b1ada37b7198b671	recorded_download_json	github:ying531/awesome-replicability-data	source_artifact_c44829fdc5d856bf	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp1_clean.csv	url	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp1_clean.csv	false	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_01__original_exp1_clean.csv	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_01_download.json	200	text/plain; charset=utf-8	972	2573	6c007b2c67057c5315ae50f3d8b359f8bbf5151eda82a4a8822cc17bee3f2a0a	true	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_01_download.json	stable provider URL from successful local access sidecar
figure1_working_url_b37385555dc840ec	recorded_provider_manifest	github:ying531/awesome-replicability-data	source_artifact_c44829fdc5d856bf	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp1_clean.csv	provider_manifest		false	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_01__original_exp1_clean.csv	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv			2573	2573		true	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv	provider_manifest=data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv | provider_manifest=data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_manifest.json
figure1_working_url_fafaa393aa09b91c	source_artifact_status	github:ying531/awesome-replicability-data	source_artifact_c44829fdc5d856bf	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp1_clean.csv	raw_url		false	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_01__original_exp1_clean.csv			text/plain; charset=utf-8	2573	2573	6c007b2c67057c5315ae50f3d8b359f8bbf5151eda82a4a8822cc17bee3f2a0a	true	steps/source_inventory/figure1/mirror_sample/source-artifact-mirror-sample-status.tsv	mirror_status=already_local
figure1_working_url_4f16ad28dbe9d534	recorded_download_json	github:ying531/awesome-replicability-data	source_artifact_2a2895475dd166f0	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp2_clean.csv	url	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp2_clean.csv	false	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_02__original_exp2_clean.csv	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_02_download.json	200	text/plain; charset=utf-8	1008	2760	37c115572ce8e023d6d4c135c5308adadedbde6fd2b5fd4c25ee560e28ef1d12	true	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_02_download.json	stable provider URL from successful local access sidecar
figure1_working_url_f1dd10a13b29fdae	recorded_provider_manifest	github:ying531/awesome-replicability-data	source_artifact_2a2895475dd166f0	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp2_clean.csv	provider_manifest		false	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_02__original_exp2_clean.csv	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv			2760	2760		true	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv	provider_manifest=data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv | provider_manifest=data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_manifest.json
figure1_working_url_5fafc01efadfc15c	source_artifact_status	github:ying531/awesome-replicability-data	source_artifact_2a2895475dd166f0	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/original_exp2_clean.csv	raw_url		false	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_02__original_exp2_clean.csv			text/plain; charset=utf-8	2760	2760	37c115572ce8e023d6d4c135c5308adadedbde6fd2b5fd4c25ee560e28ef1d12	true	steps/source_inventory/figure1/mirror_sample/source-artifact-mirror-sample-status.tsv	mirror_status=already_local
figure1_working_url_1e87dcb279dd861e	recorded_download_json	github:ying531/awesome-replicability-data	source_artifact_0ee6f704724bea98	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp2_clean.csv	url	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp2_clean.csv	false	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_03__replication_exp2_clean.csv	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_03_download.json	200	text/plain; charset=utf-8	2668	8319	ad96edfeb5afde74b09447aa2fad001faffcf8ac1cd686f3e04ae8cef257d49d	true	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_03_download.json	stable provider URL from successful local access sidecar
figure1_working_url_fe1acc1788acafff	recorded_provider_manifest	github:ying531/awesome-replicability-data	source_artifact_0ee6f704724bea98	github	https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/cleaniness_moral/replication_exp2_clean.csv	provider_manifest		false	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_03__replication_exp2_clean.csv	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv			8319	8319		true	data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv	provider_manifest=data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_file_list.csv | provider_manifest=data/raw/replication_projects/lead_harvest/awesome_cleanliness_moral/github_contents_manifest.json
