corpus_database_id	name	existing_local_paths	candidate_file_count	top_candidate_paths
corpus_db_lead_angrist_learning_curve_2023	Angrist learning-curve replication corpus	data/raw/replication_projects/lead_harvest/angrist_learning_curve_2023 | data/derived/replication_pairs/harvest/staged/angrist_learning_curve_2023__stage.csv	12	data/derived/replication_pairs/harvest/staged/angrist_learning_curve_2023__stage.csv | data/raw/replication_projects/lead_harvest/angrist_learning_curve_2023/openicpsr_189561_v1/Output/Tables/Table_1.csv | data/raw/replication_projects/lead_harvest/angrist_learning_curve_2023/openicpsr_189561_v1/accurate_targeting_country.dta | data/raw/replication_projects/lead_harvest/angrist_learning_curve_2023/openicpsr_189561_v1/accurate_targeting_week.dta | data/raw/replication_projects/lead_harvest/angrist_learning_curve_2023/openicpsr_189561_v1/operation_taught_all.dta | data/raw/replication_projects/lead_harvest/angrist_learning_curve_2023/Angrist_Cullen_Bergman_et-al_Learning-Curve-Progress-in-the-Replication-Crisis_2023.pdf | data/raw/replication_projects/lead_harvest/angrist_learning_curve_2023/openicpsr_189561_v1.zip | data/raw/replication_projects/lead_harvest/angrist_learning_curve_2023/openicpsr_189561_v1/Output/Figures/Figure_1.pdf | data/raw/replication_projects/lead_harvest/angrist_learning_curve_2023/openicpsr_189561_v1/Output/Figures/Figure_2.pdf | data/raw/replication_projects/lead_harvest/angrist_learning_curve_2023/openicpsr_189561_v1/README.pdf | data/raw/replication_projects/lead_harvest/angrist_learning_curve_2023/openicpsr_189561_v1/main.do | data/raw/replication_projects/lead_harvest/angrist_learning_curve_2023/landing_probe.json
corpus_db_appendix_d_supplemental	Appendix D supplemental	docs/nightmare-hellscape (3).html	1	docs/nightmare-hellscape (3).html
corpus_db_lead_border_2019	Border 2019 candidate gene replication	data/raw/replication_projects/lead_harvest/border_2019 | data/derived/replication_pairs/harvest/staged/border_2019__stage.csv	5	data/derived/replication_pairs/harvest/staged/border_2019__stage.csv | data/raw/replication_projects/lead_harvest/border_2019/raw__Border_AJP_2019.pdf | data/raw/replication_projects/lead_harvest/border_2019/landing_probe.json | data/raw/replication_projects/lead_harvest/border_2019/raw_download.json | data/raw/replication_projects/lead_harvest/border_2019/raw_probe.json
corpus_db_lead_coppock_2019	Coppock 2019 generalizability corpus	data/raw/replication_projects/lead_harvest/coppock_2019 | data/derived/replication_pairs/harvest/staged/coppock_2019__stage.csv	3	data/derived/replication_pairs/harvest/staged/coppock_2019__stage.csv | data/raw/replication_projects/lead_harvest/coppock_2019/dataverse_dvn_f1cffm/dataverse_files.zip | data/raw/replication_projects/lead_harvest/coppock_2019/landing_probe.json
corpus_db_lead_eef_regrants	EEF regrants systematic replication candidates	data/raw/replication_projects/lead_harvest/eef_regrants | data/derived/replication_pairs/harvest/staged/eef_regrants__stage.csv	2	data/derived/replication_pairs/harvest/staged/eef_regrants__stage.csv | data/raw/replication_projects/lead_harvest/eef_regrants/landing_probe.json
corpus_db_eerp_effectdata_py	EERP effectdata.py	data/raw/replication_projects/eerp/effectdata.py	1	data/raw/replication_projects/eerp/effectdata.py
corpus_db_eerp_marketdata_zip	EERP marketdata.zip	data/raw/replication_projects/eerp/marketdata.zip	1	data/raw/replication_projects/eerp/marketdata.zip
corpus_db_lead_metaketa_i_2019	EGAP Metaketa I	data/raw/replication_projects/lead_harvest/metaketa_i_2019 | data/derived/replication_pairs/harvest/staged/metaketa_i_2019__stage.csv	5	data/derived/replication_pairs/harvest/staged/metaketa_i_2019__stage.csv | data/raw/replication_projects/lead_harvest/metaketa_i_2019/landing_probe.json | data/raw/replication_projects/lead_harvest/metaketa_i_2019/raw_download.json | data/raw/replication_projects/lead_harvest/metaketa_i_2019/raw_probe.json | data/raw/replication_projects/lead_harvest/metaketa_i_2019/github_metaketa_i/metaketa-i-main.zip
corpus_db_lead_metaketa_iii_2021	EGAP Metaketa III	data/raw/replication_projects/lead_harvest/metaketa_iii_2021 | data/derived/replication_pairs/harvest/staged/metaketa_iii_2021__stage.csv	26	data/derived/replication_pairs/harvest/staged/metaketa_iii_2021__stage.csv | data/raw/replication_projects/lead_harvest/metaketa_iii_2021/osf_wscxp/baseline_forqual.Rdata | data/raw/replication_projects/lead_harvest/metaketa_iii_2021/osf_wscxp/blocks_forqual.Rdata | data/raw/replication_projects/lead_harvest/metaketa_iii_2021/osf_wscxp/sisar_forqual.Rdata | data/raw/replication_projects/lead_harvest/metaketa_iii_2021/osf_wscxp/trainersurvey_forqual.Rdata | data/raw/replication_projects/lead_harvest/metaketa_iii_2021/osf_wscxp/wells_forqual.Rdata | data/raw/replication_projects/lead_harvest/metaketa_iii_2021/osf_wscxp/workshopstatus_forqual_rev.Rdata | data/raw/replication_projects/lead_harvest/metaketa_iii_2021/osf_file_list.csv | data/raw/replication_projects/lead_harvest/metaketa_iii_2021/osf_wscxp/community_precip_stats.xlsx | data/raw/replication_projects/lead_harvest/metaketa_iii_2021/osf_td2p3/EisenbarthGrahamRigterink-RulesReminders-Replicationdata.zip | data/raw/replication_projects/lead_harvest/metaketa_iii_2021/osf_259yz/Replication.zip | data/raw/replication_projects/lead_harvest/metaketa_iii_2021/osf_04__20170913AC_metaPAP_20171106.pdf
corpus_db_lead_metaketa_iv_2021	EGAP Metaketa IV	data/raw/replication_projects/lead_harvest/metaketa_iv_2021 | data/derived/replication_pairs/harvest/staged/metaketa_iv_2021__stage.csv	16	data/derived/replication_pairs/harvest/staged/metaketa_iv_2021__stage.csv | data/raw/replication_projects/lead_harvest/metaketa_iv_2021/osf_xqd3v_outputs/data/out/meta-estimates-main-hypotheses-original.RDS | data/raw/replication_projects/lead_harvest/metaketa_iv_2021/osf_xqd3v_outputs/data/out/meta-estimates-all-components.RDS | data/raw/replication_projects/lead_harvest/metaketa_iv_2021/osf_xqd3v_outputs/data/out/meta-estimates-main-hypotheses.RDS | data/raw/replication_projects/lead_harvest/metaketa_iv_2021/osf_xqd3v_outputs/data/out/study-estimates-combined.RDS | data/raw/replication_projects/lead_harvest/metaketa_iv_2021/osf_xqd3v_outputs/data/out/study-estimates-main-hypotheses-original.RDS | data/raw/replication_projects/lead_harvest/metaketa_iv_2021/osf_xqd3v_outputs/data/out/study-estimates-all-components.RDS | data/raw/replication_projects/lead_harvest/metaketa_iv_2021/osf_xqd3v_outputs/data/out/study-estimates-main-hypotheses.RDS | data/raw/replication_projects/lead_harvest/metaketa_iv_2021/osf_xqd3v_selected/PK_MK4_citizenssurvey_appended_index.dta | data/raw/replication_projects/lead_harvest/metaketa_iv_2021/osf_xqd3v_selected/PK_MK4_citizenssurvey_final.dta | data/raw/replication_projects/lead_harvest/metaketa_iv_2021/osf_xqd3v_selected/final_withcrimetype.csv | data/raw/replication_projects/lead_harvest/metaketa_iv_2021/osf_xqd3v_selected/final_withoutcrimetype.csv
