metric	value	count
artifact_role	data_file	168
artifact_role	article_or_supplement_pdf	31
artifact_role	code_file	22
artifact_role	archive_file	15
artifact_role	mirrored_website_result_catalog	3
artifact_role	context_file	1
candidate_parser_family	json_metadata_inventory	81
candidate_parser_family	csv_table_parser	53
candidate_parser_family	document_context_or_source_object_review	34
candidate_parser_family	analysis_code_inventory	22
candidate_parser_family	r_data_parser	19
candidate_parser_family	zip_member_inventory	15
candidate_parser_family	xlsx_workbook_parser	10
candidate_parser_family	statistical_package_parser	5
candidate_parser_family	unknown	1
file_type	json	81
file_type	csv	40
file_type	pdf	31
file_type	r	19
file_type	zip	15
file_type	rdata	12
file_type	tab	12
file_type	xlsx	8
file_type	rds	7
file_type	dta	5
file_type	html	3
file_type	xls	2
file_type	py	1
file_type	do	1
file_type	rmd	1
file_type	docx	1
file_type	txt	1
parent_corpus_database_id	corpus_db_lead_manyclasses_2	27
parent_corpus_database_id	corpus_db_lead_wood_porter_2019	27
parent_corpus_database_id	corpus_db_lead_metaketa_iii_2021	26
parent_corpus_database_id	corpus_db_family_manybabies_3	24
parent_corpus_database_id	corpus_db_family_news_discernment_replication	18
parent_corpus_database_id	corpus_db_lead_metaketa_iv_2021	16
parent_corpus_database_id	corpus_db_lead_self_control_fmri_2022	13
parent_corpus_database_id	corpus_db_lead_angrist_learning_curve_2023	12
parent_corpus_database_id	corpus_db_lead_media_priming_2017	11
parent_corpus_database_id	corpus_db_manual_paper_grounded_pairs	9
parent_corpus_database_id	corpus_db_lead_ern_pe_rrr_openneuro	6
parent_corpus_database_id	corpus_db_lead_border_2019	5
parent_corpus_database_id	corpus_db_lead_metaketa_i_2019	5
parent_corpus_database_id	corpus_db_lead_musicianship_eeg_2025	5
parent_corpus_database_id	corpus_db_lead_marcus_four_lab_replication_hcmv7	4
parent_corpus_database_id	corpus_db_lead_coppock_2019	3
parent_corpus_database_id	corpus_db_lead_mullinix_2015	3
parent_corpus_database_id	corpus_db_lead_eef_regrants	2
parent_corpus_database_id	corpus_db_lead_ibl_repro_ephys_2024	2
parent_corpus_database_id	corpus_db_lead_ies_systematic_replication	2
parent_corpus_database_id	corpus_db_lead_jaljuli_kafkafi_2023	2
parent_corpus_database_id	corpus_db_lead_nieuwland_2018_delong	2
parent_corpus_database_id	corpus_db_lead_strategy_fit_2025	2
parent_corpus_database_id	corpus_db_appendix_d_supplemental	1
parent_corpus_database_id	corpus_db_eerp_effectdata_py	1
parent_corpus_database_id	corpus_db_eerp_marketdata_zip	1
parent_corpus_database_id	corpus_db_i4r_public_workbook	1
parent_corpus_database_id	corpus_db_li_2024_pd_1_pd_l1_phase_ii_iii_oncology	1
parent_corpus_database_id	corpus_db_ml1_summary_workbook	1
parent_corpus_database_id	corpus_db_ml3_manuscript_tables_bundle	1
parent_corpus_database_id	corpus_db_ml4_public_site_results	1
parent_corpus_database_id	corpus_db_pooledmarketr_pm_data_rdata	1
parent_corpus_database_id	corpus_db_rpp_converted	1
parent_corpus_database_id	corpus_db_rpp_jtleek_mirror	1
parent_corpus_database_id	corpus_db_ssrp_d3	1
parent_corpus_database_id	corpus_db_ssrp_d6_beliefs	1
parent_corpus_database_id	corpus_db_wils_2023_ibd_phase_ii_iii	1
total	artifact_rows	240
total	local_mirror_rows_audited	37
total	local_mirror_rows_with_candidates	37
