artifact_id	parent_corpus_database_id	artifact_role	file_name	sample_kind	sample_status	candidate_parser_family	mirror_local_path	sample_path	estimated_rows_or_members	column_count	columns_preview	pair_signal_count	effect_signal_count	n_signal_count	identity_signal_count	priority_score	parser_priority	recommended_next_stage	routing_basis	queued_at
source_artifact_83961acc1465f8d3	corpus_db_rpp_converted	data_file	RPPdataConverted.xlsx	excel_workbook	sampled	xlsx_workbook_parser	data/raw/corpus_candidates/rpp/RPPdataConverted.xlsx	steps/source_inventory/figure1/result_artifact_acquisition/codex_local/mirror_sample/artifact_samples/source_artifact_83961acc1465f8d3.json	5	138	Local.ID; Study.Title.O; Authors.O; Journal.O; Volume.O; Issue.O; Pages.O; Project.URL; Descriptors.O; Number.of.Authors.O; Number.of.Authors.R; 1st.author.O; Citation.Count.1st.author.O; Institution.1st.author.O; Senior.author.O; Citation.count.senior.author.O; Institution.senior.author.O; 1st.author.R; Citation.count.1st.author.R; Institution.1st.author.R; Senior.author.R; Citation.count.senior.author.R; Institution.senior.author.R; Citation.count.paper.O; Institution.prestige.1st.author.O; Institution.prestige.senior.author.O; Institution.prestige.1st.author.R; Institution.prestige.senior.author.R; Number.of.Studies.O; Discipline.O; Number.of.research.sites.O; Secondary.data.O; Methodology.expertise.required.O; Opportunity.for.expectancy.bias.O; Opportunity.for.lack.of.diligence.O; Surprising.result.O; Exciting.result.O; Internal.conceptual.replications.O; Successful.conceptual.replications.O; Internal.direct.replications.O	4	5	6	6	81	high	parse_table_result_candidates	pair_signals=4; effect_signals=5; n_signals=6; identity_signals=6	2026-05-02T09:33:11
source_artifact_e0ab2df75ca634f0	corpus_db_ml1_summary_workbook	data_file	ML-_Summary_Statistics.xlsx	excel_workbook	sampled	xlsx_workbook_parser	data/raw/replication_projects/ml1/ML-_Summary_Statistics.xlsx	steps/source_inventory/figure1/result_artifact_acquisition/codex_local/mirror_sample/artifact_samples/source_artifact_e0ab2df75ca634f0.json	5	154	Unnamed: 0; Original Study; Unnamed: 2; Unnamed: 3; Unweighted; Unnamed: 5; Weighted; Unnamed: 7; Null Hypothesis Significance Tests by Sample (N = 36); Unnamed: 9; Unnamed: 10; Null Hypothesis Significance Tests of Aggregate; Unnamed: 12; Unnamed: 13; Unnamed: 14; Unnamed: 0; Heterogeneity tests; Unnamed: 2; Unnamed: 3; Unnamed: 4; Moderators; Unnamed: 6; Unnamed: 7; Unnamed: 8; Unnamed: 9; Unnamed: 10; Site; N (Paid); N (Free); N (Excluded or no response); Mean (Paid); Mean (Free); SD (Paid); SD (Free); t (equal var); t (unequal var); df (equal var); df (unequal var); ES (test of unequal var); ES (from means)	3	7	6	0	73	high	parse_table_result_candidates	pair_signals=3; effect_signals=7; n_signals=6	2026-05-02T09:33:11
source_artifact_a7fc58db11a30812	corpus_db_i4r_public_workbook	data_file	meta_database.xlsx	excel_workbook	sampled	xlsx_workbook_parser	data/raw/replication_projects/i4r/meta_database.xlsx	steps/source_inventory/figure1/result_artifact_acquisition/codex_local/mirror_sample/artifact_samples/source_artifact_a7fc58db11a30812.json	5	206	paper_title; team; replicator_team; computational_reproduction; perfect_reproduction; not_perfect_reproduction; why_not_perfect_repro; paper_title; replicator_team; coding_error; description_code_error; dep_var; main_indep; controls; estimations; inference; sample; other; paper_title; team; D_team; replicator_team; journal; D_journal; top_5_econ; year_published; date_entered; stream_assigned; economics; D_economics; political_science; D_political_science; num_o_a; o_a_avg_citations; o_a_avg_years_since_phd; o_a_name_1; o_a_affil_1; o_a_rank_1_grouped; D_o_a_rank_1_grouped; o_a_name_2	4	1	2	2	62	high	inspect_sample_for_result_fields	pair_signals=4; effect_signals=1; n_signals=2; identity_signals=2	2026-05-02T09:33:10
source_artifact_ef99ec2483110b00	corpus_db_lead_metaketa_iv_2021	data_file	meta-estimates-main-hypotheses-original.RDS	r_data	sampled	r_data_parser	data/raw/replication_projects/lead_harvest/metaketa_iv_2021/osf_xqd3v_outputs/data/out/meta-estimates-main-hypotheses-original.RDS	steps/source_inventory/figure1/result_artifact_acquisition/codex_local/mirror_sample/artifact_samples/source_artifact_ef99ec2483110b00.json	16	13	hypothesis; label; estimate; std.error; statistic; p.value; conf.low; conf.high; tausq; tausq.std.error; qtest.p.value; N_studies; p.value.adj	1	1	0	0	51	high	inspect_sample_for_result_fields	pair_signals=1; effect_signals=1	2026-05-02T09:33:11
source_artifact_f9cc5d7bf662db62	corpus_db_lead_metaketa_iv_2021	data_file	study-estimates-main-hypotheses-original.RDS	r_data	sampled	r_data_parser	data/raw/replication_projects/lead_harvest/metaketa_iv_2021/osf_xqd3v_outputs/data/out/study-estimates-main-hypotheses-original.RDS	steps/source_inventory/figure1/result_artifact_acquisition/codex_local/mirror_sample/artifact_samples/source_artifact_f9cc5d7bf662db62.json	85	21	term; estimate; std.error; statistic; p.value; conf.low; conf.high; df; outcome; missingness_proportion; missingness_statistic; missingness_p.value; first_stage_value; first_stage_nomdf; first_stage_dendf; first_stage_p.value; study; IV; p.value.adj; hypothesis; label	1	1	0	0	51	high	inspect_sample_for_result_fields	pair_signals=1; effect_signals=1	2026-05-02T09:33:11
source_artifact_2e1392ce0c112490	corpus_db_lead_angrist_learning_curve_2023	data_file	angrist_learning_curve_2023__stage.csv	delimited_table	sampled	csv_table_parser	data/derived/replication_pairs/harvest/staged/angrist_learning_curve_2023__stage.csv	steps/source_inventory/figure1/result_artifact_acquisition/codex_local/mirror_sample/artifact_samples/source_artifact_2e1392ce0c112490.json	1	14	lead_id; project; source_family; priority; default_action; expected_rows; landing_url; raw_url; local_raw_file; manifest_file; file_list_csv; downloaded_file_count; promotion_blocker; notes	4	1	2	0	47	medium	inspect_sample_for_result_fields	pair_signals=4; effect_signals=1; n_signals=2	2026-05-02T09:33:10
source_artifact_9e3f7d4f3fd21e7c	corpus_db_lead_metaketa_i_2019	data_file	metaketa_i_2019__stage.csv	delimited_table	sampled	csv_table_parser	data/derived/replication_pairs/harvest/staged/metaketa_i_2019__stage.csv	steps/source_inventory/figure1/result_artifact_acquisition/codex_local/mirror_sample/artifact_samples/source_artifact_9e3f7d4f3fd21e7c.json	1	14	lead_id; project; source_family; priority; default_action; expected_rows; landing_url; raw_url; local_raw_file; manifest_file; file_list_csv; downloaded_file_count; promotion_blocker; notes	2	1	2	0	47	medium	inspect_sample_for_result_fields	pair_signals=2; effect_signals=1; n_signals=2	2026-05-02T09:33:10
source_artifact_34d48e32418d3874	corpus_db_lead_metaketa_iii_2021	data_file	metaketa_iii_2021__stage.csv	delimited_table	sampled	csv_table_parser	data/derived/replication_pairs/harvest/staged/metaketa_iii_2021__stage.csv	steps/source_inventory/figure1/result_artifact_acquisition/codex_local/mirror_sample/artifact_samples/source_artifact_34d48e32418d3874.json	1	14	lead_id; project; source_family; priority; default_action; expected_rows; landing_url; raw_url; local_raw_file; manifest_file; file_list_csv; downloaded_file_count; promotion_blocker; notes	3	1	2	0	47	medium	inspect_sample_for_result_fields	pair_signals=3; effect_signals=1; n_signals=2	2026-05-02T09:33:10
source_artifact_0d28c95980f466fb	corpus_db_lead_manyclasses_2	data_file	processed_data_w34.Rdata	r_data	sampled	r_data_parser	data/raw/replication_projects/lead_harvest/manyclasses_2/analysis/processed_data_w34.Rdata	steps/source_inventory/figure1/result_artifact_acquisition/codex_local/mirror_sample/artifact_samples/source_artifact_0d28c95980f466fb.json	40313	102	course_id; export_link; experiment_created_at; consent_open_date; outcome_assessment_date; exposure1_open_date; exposure1_due_date; exposure2_open_date; exposure2_due_date; affiliation; video_id; item_id; submission_id; course_id; participant_id; type; action; timestamp; generated_id; target_id; target_time; condition_name; event_secs; maxplaytime; event_pct; experiment_id; course_id; experiment_title; experiment_description; exposure_type; participation_type; distribution_type; export_at; enrollment_cnt; participant_cnt; condition_cnt; item_response_id; submission_id; assignment_id; condition_id	0	1	4	0	46	medium	inspect_sample_for_result_fields	effect_signals=1; n_signals=4	2026-05-02T09:33:10
source_artifact_9f79ffdce8ff33dc	corpus_db_lead_wood_porter_2019	data_file	dataverse_02__elusive-tab_207.tab	delimited_table	sampled	csv_table_parser	data/raw/replication_projects/lead_harvest/wood_porter_2019/dataverse_02__elusive-tab_207.tab	steps/source_inventory/figure1/result_artifact_acquisition/codex_local/mirror_sample/artifact_samples/source_artifact_9f79ffdce8ff33dc.json	2019	10	age; education; race; gender; income; region; employment; ideology; sample; resp	0	1	1	0	46	medium	inspect_sample_for_result_fields	effect_signals=1; n_signals=1	2026-05-02T09:33:11
