metric	value	count
total	input_rows	1400
total	kept_rows	135
artifact_role	article_or_supplement_pdf	70
artifact_role	mirrored_website_result_catalog	45
artifact_role	data_file	20
provider	article_link	73
provider	local_file	39
provider	osf	20
provider	zenodo	2
provider	direct_url	1
candidate_parser_family	document_context_or_source_object_review	135
file_type	pdf	90
file_type	html	45
parent_corpus_database_id	repo_search_osf_2584049b16b9	13
parent_corpus_database_id	citation_search_crossref_9ba03598b302	5
parent_corpus_database_id	biblio_search_crossref_480bdd504b25	4
parent_corpus_database_id	biblio_search_europepmc_73a746f8d5ae	4
parent_corpus_database_id	citation_search_crossref_320216629369	4
parent_corpus_database_id	biblio_search_europepmc_1e8b61f37a9f	3
parent_corpus_database_id	biblio_search_openalex_5e106b038595	3
parent_corpus_database_id	citation_search_crossref_1296a0e46d85	3
parent_corpus_database_id	citation_search_crossref_14e2aa0a32fe	3
parent_corpus_database_id	citation_search_crossref_2f6361267644	3
parent_corpus_database_id	citation_search_crossref_53c2ae83b22f	3
parent_corpus_database_id	citation_search_crossref_db938c1a600f	3
parent_corpus_database_id	citation_search_openalex_bb828bb93d4f	3
parent_corpus_database_id	repo_search_osf_a162112fef85	3
parent_corpus_database_id	repo_search_osf_dc905e11e778	3
parent_corpus_database_id	biblio_search_europepmc_19dcd494fa29	2
parent_corpus_database_id	biblio_search_europepmc_85a68784cd0c	2
parent_corpus_database_id	biblio_search_europepmc_bc6a68fdf4d6	2
parent_corpus_database_id	biblio_search_europepmc_e06fd719c585	2
parent_corpus_database_id	biblio_search_europepmc_f4494de3204c	2
parent_corpus_database_id	biblio_search_openalex_f70bd4f4b390	2
parent_corpus_database_id	citation_search_crossref_6122fb3dbcbf	2
parent_corpus_database_id	citation_search_crossref_6247e94906e6	2
parent_corpus_database_id	citation_search_crossref_93a1da3f64d9	2
parent_corpus_database_id	citation_search_crossref_b74f4d7ba088	2
parent_corpus_database_id	citation_search_crossref_bf4b0584a2c7	2
parent_corpus_database_id	citation_search_openalex_c8d6e1d0dbe0	2
parent_corpus_database_id	biblio_search_crossref_87bab505c18a	1
parent_corpus_database_id	biblio_search_crossref_abffc2adc22f	1
parent_corpus_database_id	biblio_search_crossref_b5e8a315b055	1
parent_corpus_database_id	biblio_search_europepmc_2288d4a489a5	1
parent_corpus_database_id	biblio_search_europepmc_c1d8b918289a	1
parent_corpus_database_id	biblio_search_openalex_de35e9f48ef6	1
parent_corpus_database_id	citation_search_crossref_a3de159f7a03	1
parent_corpus_database_id	citation_search_openalex_cites_07c3f155eb86	1
parent_corpus_database_id	citation_search_openalex_cites_7c2996716eed	1
parent_corpus_database_id	citation_search_openalex_e75e9f271467	1
parent_corpus_database_id	domain_search_openalex_176565dc87a1	1
parent_corpus_database_id	lead_angrist_learning_curve_2023	1
parent_corpus_database_id	lead_border_2019	1
parent_corpus_database_id	lead_communication_privacy_2025	1
parent_corpus_database_id	lead_contextual_bias_2026	1
parent_corpus_database_id	lead_coppock_2019	1
parent_corpus_database_id	lead_deceptive_intentions_2018	1
parent_corpus_database_id	lead_eef_regrants	1
parent_corpus_database_id	lead_eqipd_2022	1
parent_corpus_database_id	lead_ern_pe_rrr_openneuro	1
parent_corpus_database_id	lead_eyewitness_ten_countries_2018	1
parent_corpus_database_id	lead_greed_ses_2016	1
parent_corpus_database_id	lead_ibl_repro_ephys_2024	1
parent_corpus_database_id	lead_ies_systematic_replication	1
parent_corpus_database_id	lead_independent_replication_initiative	1
parent_corpus_database_id	lead_jaljuli_kafkafi_2023	1
parent_corpus_database_id	lead_linguistic_frame_liability	1
parent_corpus_database_id	lead_manyclasses_2	1
parent_corpus_database_id	lead_metaketa_iii_2021	1
parent_corpus_database_id	lead_metaketa_iv_2021	1
parent_corpus_database_id	lead_news_discernment_replication	1
parent_corpus_database_id	lead_nieuwland_2018_delong	1
parent_corpus_database_id	lead_online_image_credibility	1
parent_corpus_database_id	lead_protzko_2023_nhb	1
parent_corpus_database_id	lead_psa_002_object_orientation	1
parent_corpus_database_id	lead_psa_004_turri	1
parent_corpus_database_id	lead_public_admin_blame	1
parent_corpus_database_id	lead_rescue17_28classics	1
parent_corpus_database_id	lead_retrieval_extinction_rats_2017	1
parent_corpus_database_id	lead_rpcb_e5nvr	1
parent_corpus_database_id	lead_rrr_bouwmeester_2017	1
parent_corpus_database_id	lead_rrr_cheung_2016	1
parent_corpus_database_id	lead_rrr_colling_2020	1
parent_corpus_database_id	lead_rrr_elliott_2021	1
parent_corpus_database_id	lead_rrr_mccarthy_2018	1
parent_corpus_database_id	lead_rrr_verschuere_2018	1
parent_corpus_database_id	lead_self_control_fmri_2022	1
parent_corpus_database_id	lead_strategy_fit_2025	1
parent_corpus_database_id	lead_wood_scaffolding_2025	1
parent_corpus_database_id	repo_search_datacite_6c01420a9094	1
parent_corpus_database_id	repo_search_osf_8bd75e546e74	1
