metric	value	count
total	input_rows	1400
total	kept_rows	74
artifact_role	provider_file	55
artifact_role	local_mirror	19
provider	direct_url	21
provider	local_file	19
provider	dataverse	18
provider	osf	16
candidate_parser_family	unknown	74
file_type	unknown	34
file_type	md	19
file_type	qsf	6
file_type	png	6
file_type	xhtml	3
file_type	jpeg	2
file_type	18070881	1
file_type	php	1
file_type	pptx	1
file_type	docx	1
parent_corpus_database_id	repo_search_dataverse_4450c811f725	18
parent_corpus_database_id	repo_search_osf_2b928c9c5eb3	8
parent_corpus_database_id	repo_search_osf_2584049b16b9	6
parent_corpus_database_id	lead_covid_online_2021	2
parent_corpus_database_id	lead_fred_diff_2024	2
parent_corpus_database_id	lead_manybabies_3	2
parent_corpus_database_id	lead_media_priming_2017	2
parent_corpus_database_id	lead_msrp_om_2023	2
parent_corpus_database_id	lead_tpp_bem	2
parent_corpus_database_id	lead_tyner_nosek_2026	2
parent_corpus_database_id	lead_awesome_emdr_misinfo	1
parent_corpus_database_id	lead_border_2019	1
parent_corpus_database_id	lead_metaketa_i_2019	1
parent_corpus_database_id	lead_musicianship_eeg_2025	1
parent_corpus_database_id	lead_psa_006_trolley	1
parent_corpus_database_id	manual_search_manual_tracker_058c6ee82383	1
parent_corpus_database_id	manual_search_manual_tracker_06310c250070	1
parent_corpus_database_id	manual_search_manual_tracker_0e6561494e1f	1
parent_corpus_database_id	manual_search_manual_tracker_27c69d9dadd0	1
parent_corpus_database_id	manual_search_manual_tracker_2bcb667abe09	1
parent_corpus_database_id	manual_search_manual_tracker_3bdb9d12bfd6	1
parent_corpus_database_id	manual_search_manual_tracker_4d67efc9b112	1
parent_corpus_database_id	manual_search_manual_tracker_54f6f36cb89a	1
parent_corpus_database_id	manual_search_manual_tracker_66df900c9e83	1
parent_corpus_database_id	manual_search_manual_tracker_67aa939c5960	1
parent_corpus_database_id	manual_search_manual_tracker_6b5329f87edd	1
parent_corpus_database_id	manual_search_manual_tracker_80501a192068	1
parent_corpus_database_id	manual_search_manual_tracker_85ec777fb6f4	1
parent_corpus_database_id	manual_search_manual_tracker_8693dc021905	1
parent_corpus_database_id	manual_search_manual_tracker_9244ee72b4a3	1
parent_corpus_database_id	manual_search_manual_tracker_a594814aa3b4	1
parent_corpus_database_id	manual_search_manual_tracker_afdc7a7c5ffa	1
parent_corpus_database_id	manual_search_manual_tracker_c23f70c3fdd3	1
parent_corpus_database_id	manual_search_manual_tracker_f27967338f24	1
parent_corpus_database_id	repo_search_datacite_3b16251a61cf	1
parent_corpus_database_id	repo_search_datacite_cc2d7e813ae5	1
parent_corpus_database_id	repo_search_osf_3c6cdcbee4b9	1
parent_corpus_database_id	repo_search_osf_dc905e11e778	1
