artifact_id	parent_corpus_database_id	artifact_role	provider	provider_id	parent_provider_id	title	url	raw_url	doi	component_path	file_name	file_type	mime_type	byte_size	local_path	sha256	inventory_status	access_status	candidate_parser_family	pair_field_evidence	n_field_evidence	effect_field_evidence	publication_link_evidence	blocker_codes	next_action	notes	last_seen
source_artifact_dc7abeb7c4aeda11	lead_awesome_emdr_misinfo	provider_file	direct_url	https://github.com/ying531/awesome-replicability-data	lead_awesome_emdr_misinfo	awesome-replicability-data	https://github.com/ying531/awesome-replicability-data	https://github.com/ying531/awesome-replicability-data			awesome-replicability-data	unknown					mirrorable	public_download_seen	unknown	terms: repli				needs_download	mirror_sample_and_route_parser_candidate	direct URL from acquisition queue	2026-05-01
source_artifact_89834584cd4d5253	lead_border_2019	provider_file	direct_url	https://psychiatryonline.org/doi/10.1176/appi.ajp.2018.18070881	lead_border_2019	appi.ajp.2018.18070881	https://psychiatryonline.org/doi/10.1176/appi.ajp.2018.18070881	https://psychiatryonline.org/doi/10.1176/appi.ajp.2018.18070881			appi.ajp.2018.18070881	18070881					mirrorable	public_download_seen	unknown				terms: doi	needs_download	mirror_sample_and_route_parser_candidate	direct URL from acquisition queue	2026-05-01
source_artifact_7cbc1ef1c23bfe93	lead_covid_online_2021	provider_file	direct_url	https://dataverse.harvard.edu/api/access/dataset/:persistentId?persistentId=doi:10.7910/DVN/38UTBF	lead_covid_online_2021	:persistentId	https://dataverse.harvard.edu/api/access/dataset/:persistentId?persistentId=doi:10.7910/DVN/38UTBF	https://dataverse.harvard.edu/api/access/dataset/:persistentId?persistentId=doi:10.7910/DVN/38UTBF			:persistentId	unknown					mirrorable	public_download_seen	unknown				terms: doi	needs_download	mirror_sample_and_route_parser_candidate	direct URL from acquisition queue	2026-05-01
source_artifact_8098a254b498f4b6	lead_covid_online_2021	provider_file	direct_url	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/38UTBF	lead_covid_online_2021	dataset.xhtml	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/38UTBF	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/38UTBF			dataset.xhtml	xhtml					mirrorable	public_download_seen	unknown				terms: doi	needs_download	mirror_sample_and_route_parser_candidate	direct URL from acquisition queue	2026-05-01
source_artifact_edb2d2fb38cd8999	lead_fred_diff_2024	provider_file	direct_url	https://osf.io/9r62x/	lead_fred_diff_2024	9r62x	https://osf.io/9r62x/	https://osf.io/9r62x/			9r62x	unknown					mirrorable	public_download_seen	unknown					needs_download	mirror_sample_and_route_parser_candidate	direct URL from acquisition queue	2026-05-01
source_artifact_217d5731ff2dc8ee	lead_fred_diff_2024	provider_file	direct_url	https://osf.io/z5u9b	lead_fred_diff_2024	z5u9b	https://osf.io/z5u9b	https://osf.io/z5u9b			z5u9b	unknown					mirrorable	public_download_seen	unknown					needs_download	mirror_sample_and_route_parser_candidate	direct URL from acquisition queue	2026-05-01
source_artifact_01b25a67894dc0fc	lead_manybabies_3	provider_file	direct_url	https://osf.io/download/aw4db/	lead_manybabies_3	aw4db	https://osf.io/download/aw4db/	https://osf.io/download/aw4db/			aw4db	unknown					mirrorable	public_download_seen	unknown					needs_download	mirror_sample_and_route_parser_candidate	direct URL from acquisition queue	2026-05-01
source_artifact_1d803ece8b5d08a4	lead_manybabies_3	provider_file	direct_url	https://osf.io/kqu9v/	lead_manybabies_3	kqu9v	https://osf.io/kqu9v/	https://osf.io/kqu9v/			kqu9v	unknown					mirrorable	public_download_seen	unknown					needs_download	mirror_sample_and_route_parser_candidate	direct URL from acquisition queue	2026-05-01
source_artifact_8ee6c9b048ded308	lead_media_priming_2017	provider_file	direct_url	https://dataverse.harvard.edu/api/access/datafile/:persistentId?persistentId=doi:10.7910/DVN/ECGADO/DSUNVR	lead_media_priming_2017	:persistentId	https://dataverse.harvard.edu/api/access/datafile/:persistentId?persistentId=doi:10.7910/DVN/ECGADO/DSUNVR	https://dataverse.harvard.edu/api/access/datafile/:persistentId?persistentId=doi:10.7910/DVN/ECGADO/DSUNVR			:persistentId	unknown					mirrorable	public_download_seen	unknown				terms: doi	needs_download	mirror_sample_and_route_parser_candidate	direct URL from acquisition queue	2026-05-01
source_artifact_06fd11003015d26b	lead_media_priming_2017	provider_file	direct_url	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECGADO	lead_media_priming_2017	dataset.xhtml	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECGADO	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECGADO			dataset.xhtml	xhtml					mirrorable	public_download_seen	unknown				terms: doi	needs_download	mirror_sample_and_route_parser_candidate	direct URL from acquisition queue	2026-05-01
