metric	value	count
total	input_rows	1400
total	kept_rows	507
artifact_role	data_file	475
artifact_role	code_file	26
artifact_role	archive_file	5
artifact_role	provider_file	1
provider	dataverse	459
provider	osf	29
provider	direct_url	10
provider	article_link	6
provider	zenodo	3
candidate_parser_family	csv_table_parser	379
candidate_parser_family	r_data_parser	73
candidate_parser_family	analysis_code_inventory	43
candidate_parser_family	zip_member_inventory	5
candidate_parser_family	xlsx_workbook_parser	5
candidate_parser_family	statistical_package_parser	2
file_type	tab	221
file_type	csv	153
file_type	rdata	73
file_type	r	33
file_type	do	8
file_type	zip	5
file_type	xlsx	5
file_type	txt	5
file_type	sav	2
file_type	py	1
file_type	rmd	1
parent_corpus_database_id	repo_search_dataverse_4450c811f725	418
parent_corpus_database_id	lead_wood_porter_2019	31
parent_corpus_database_id	repo_search_osf_2b928c9c5eb3	19
parent_corpus_database_id	repo_search_dataverse_c2906b5dfd2b	8
parent_corpus_database_id	lead_awesome_emdr_misinfo	7
parent_corpus_database_id	domain_search_osf_32ff619d7c35	6
parent_corpus_database_id	biblio_search_crossref_480bdd504b25	5
parent_corpus_database_id	repo_search_datacite_1afe2afc30e4	3
parent_corpus_database_id	repo_search_osf_dc905e11e778	3
parent_corpus_database_id	citation_search_openalex_bb828bb93d4f	1
parent_corpus_database_id	lead_metaketa_i_2019	1
parent_corpus_database_id	lead_musicianship_eeg_2025	1
parent_corpus_database_id	lead_psa_006_trolley	1
parent_corpus_database_id	repo_search_dataverse_62327a47981a	1
parent_corpus_database_id	repo_search_dataverse_e6b5cf171269	1
parent_corpus_database_id	repo_search_osf_1b6223afbba2	1
