artifact_id	parent_corpus_database_id	artifact_role	provider	provider_id	parent_provider_id	title	url	raw_url	doi	component_path	file_name	file_type	mime_type	byte_size	local_path	sha256	inventory_status	access_status	candidate_parser_family	pair_field_evidence	n_field_evidence	effect_field_evidence	publication_link_evidence	blocker_codes	next_action	notes	last_seen
source_artifact_2484a8e13eafc140	biblio_search_crossref_480bdd504b25	data_file	article_link	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM4_ESM.csv	biblio_search_crossref_480bdd504b25	43588_2025_840_MOESM4_ESM.csv	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM4_ESM.csv	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM4_ESM.csv	10.1038/s43588-025-00840-7		43588_2025_840_MOESM4_ESM.csv	csv					mirrorable	public_download_seen	csv_table_parser			terms: stat	10.1038/s43588-025-00840-7	needs_download	mirror_sample_and_route_parser_candidate	landing_page_link; source_doi=10.1038/s43588-025-00840-7	2026-05-01
source_artifact_bad4644b12d90286	biblio_search_crossref_480bdd504b25	data_file	article_link	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM5_ESM.csv	biblio_search_crossref_480bdd504b25	43588_2025_840_MOESM5_ESM.csv	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM5_ESM.csv	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM5_ESM.csv	10.1038/s43588-025-00840-7		43588_2025_840_MOESM5_ESM.csv	csv					mirrorable	public_download_seen	csv_table_parser			terms: stat	10.1038/s43588-025-00840-7	needs_download	mirror_sample_and_route_parser_candidate	landing_page_link; source_doi=10.1038/s43588-025-00840-7	2026-05-01
source_artifact_adf713f54d3ffe91	biblio_search_crossref_480bdd504b25	archive_file	article_link	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM6_ESM.zip	biblio_search_crossref_480bdd504b25	43588_2025_840_MOESM6_ESM.zip	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM6_ESM.zip	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM6_ESM.zip	10.1038/s43588-025-00840-7		43588_2025_840_MOESM6_ESM.zip	zip					mirrorable	public_download_seen	zip_member_inventory			terms: stat	10.1038/s43588-025-00840-7	needs_download	mirror_sample_and_route_parser_candidate	landing_page_link; source_doi=10.1038/s43588-025-00840-7	2026-05-01
source_artifact_df4f8c540c0d71e9	biblio_search_crossref_480bdd504b25	archive_file	article_link	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM7_ESM.zip	biblio_search_crossref_480bdd504b25	43588_2025_840_MOESM7_ESM.zip	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM7_ESM.zip	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM7_ESM.zip	10.1038/s43588-025-00840-7		43588_2025_840_MOESM7_ESM.zip	zip					mirrorable	public_download_seen	zip_member_inventory			terms: stat	10.1038/s43588-025-00840-7	needs_download	mirror_sample_and_route_parser_candidate	landing_page_link; source_doi=10.1038/s43588-025-00840-7	2026-05-01
source_artifact_616aff02bd00003a	biblio_search_crossref_480bdd504b25	data_file	article_link	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM8_ESM.csv	biblio_search_crossref_480bdd504b25	43588_2025_840_MOESM8_ESM.csv	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM8_ESM.csv	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM8_ESM.csv	10.1038/s43588-025-00840-7		43588_2025_840_MOESM8_ESM.csv	csv					mirrorable	public_download_seen	csv_table_parser			terms: stat	10.1038/s43588-025-00840-7	needs_download	mirror_sample_and_route_parser_candidate	landing_page_link; source_doi=10.1038/s43588-025-00840-7	2026-05-01
source_artifact_3ebf194b15a280e2	citation_search_openalex_bb828bb93d4f	data_file	article_link	https://elifesciences.org/download/aHR0cHM6Ly9jZG4uZWxpZmVzY2llbmNlcy5vcmcvYXJ0aWNsZXMvMzAyNzQvZWxpZmUtMzAyNzQtZmlnMi1kYXRhMS12Mi5jc3Y-/elife-30274-fig2-data1-v2.csv?_hash=%2BslNb8Eq1wB9c%2Fxu7GdMrGijKLTjXqxeLdM3B0rQQAI%3D	citation_search_openalex_bb828bb93d4f	elife-30274-fig2-data1-v2.csv	https://elifesciences.org/download/aHR0cHM6Ly9jZG4uZWxpZmVzY2llbmNlcy5vcmcvYXJ0aWNsZXMvMzAyNzQvZWxpZmUtMzAyNzQtZmlnMi1kYXRhMS12Mi5jc3Y-/elife-30274-fig2-data1-v2.csv?_hash=%2BslNb8Eq1wB9c%2Fxu7GdMrGijKLTjXqxeLdM3B0rQQAI%3D	https://elifesciences.org/download/aHR0cHM6Ly9jZG4uZWxpZmVzY2llbmNlcy5vcmcvYXJ0aWNsZXMvMzAyNzQvZWxpZmUtMzAyNzQtZmlnMi1kYXRhMS12Mi5jc3Y-/elife-30274-fig2-data1-v2.csv?_hash=%2BslNb8Eq1wB9c%2Fxu7GdMrGijKLTjXqxeLdM3B0rQQAI%3D	10.7554/elife.30274		elife-30274-fig2-data1-v2.csv	csv					mirrorable	public_download_seen	csv_table_parser			terms: ci	10.7554/elife.30274	needs_download	mirror_sample_and_route_parser_candidate	landing_page_link; source_doi=10.7554/elife.30274	2026-05-01
source_artifact_29bdf70e3d2d227e	domain_search_osf_32ff619d7c35	data_file	osf	69776887a2c4582092e6b1fc	domain_search_osf_32ff619d7c35	EERP_RProjects.xlsx	https://osf.io/n67tk/files/osfstorage/69776887a2c4582092e6b1fc	https://osf.io/download/rhfd2/			EERP_RProjects.xlsx	xlsx		12101			mirrorable	public_download_seen	xlsx_workbook_parser		terms: _n			needs_download	mirror_sample_and_route_parser_candidate	osf_node=n67tk; osf_provider=osfstorage; osf_path=/69776887a2c4582092e6b1fc	2026-05-01
source_artifact_58cc017b099ca590	domain_search_osf_32ff619d7c35	data_file	osf	697768aa111b0e315293b42b	domain_search_osf_32ff619d7c35	ML2_OrignalEffects_Masterkey.csv	https://osf.io/n67tk/files/osfstorage/697768aa111b0e315293b42b	https://osf.io/download/697768aa111b0e315293b42b/			ML2_OrignalEffects_Masterkey.csv	csv		70730			mirrorable	public_download_seen	csv_table_parser		terms: _n	terms: effect		needs_download	mirror_sample_and_route_parser_candidate	osf_node=n67tk; osf_provider=osfstorage; osf_path=/697768aa111b0e315293b42b	2026-05-01
source_artifact_05d1cccc22b44abd	domain_search_osf_32ff619d7c35	data_file	osf	697768e6a2c4582092e6b230	domain_search_osf_32ff619d7c35	SSRP_export.xlsx	https://osf.io/n67tk/files/osfstorage/697768e6a2c4582092e6b230	https://osf.io/download/697768e6a2c4582092e6b230/			SSRP_export.xlsx	xlsx		6314			mirrorable	public_download_seen	xlsx_workbook_parser		terms: _n			needs_download	mirror_sample_and_route_parser_candidate	osf_node=n67tk; osf_provider=osfstorage; osf_path=/697768e6a2c4582092e6b230	2026-05-01
source_artifact_738b127222a48f28	domain_search_osf_32ff619d7c35	data_file	osf	697769a87643eda2aa93b453	domain_search_osf_32ff619d7c35	codeScript.py	https://osf.io/n67tk/files/osfstorage/697769a87643eda2aa93b453	https://osf.io/download/hx7pf/			codeScript.py	py		34036			mirrorable	public_download_seen	analysis_code_inventory		terms: _n			needs_download	mirror_sample_and_route_parser_candidate	osf_node=n67tk; osf_provider=osfstorage; osf_path=/697769a87643eda2aa93b453	2026-05-01
