metric	value	count
attempt_status	failed	18
attempt_status	no_candidate_links	6
attempt_status	no_files_found	7
attempt_status	success	154
attempt_strategy	article_pdf_supplement_or_data_availability	74
attempt_strategy	dataverse_inventory	6
attempt_strategy	direct_download_or_api_snapshot	33
attempt_strategy	figshare_inventory	3
attempt_strategy	landing_page_snapshot	39
attempt_strategy	osf_inventory	29
attempt_strategy	zenodo_inventory	1
artifact_provider	article_link	568
artifact_provider	dataverse	477
artifact_provider	direct_url	32
artifact_provider	github	25
artifact_provider	local_file	58
artifact_provider	osf	213
artifact_provider	zenodo	27
artifact_role	archive_file	5
artifact_role	article_or_supplement_pdf	70
artifact_role	code_file	26
artifact_role	data_file	495
artifact_role	local_mirror	19
artifact_role	mirrored_website_result_catalog	45
artifact_role	provider_file	56
artifact_role	source_family_page	684
candidate_parser_family	analysis_code_inventory	43
candidate_parser_family	csv_table_parser	379
candidate_parser_family	document_context_or_source_object_review	135
candidate_parser_family	r_data_parser	73
candidate_parser_family	statistical_package_parser	2
candidate_parser_family	unknown	758
candidate_parser_family	xlsx_workbook_parser	5
candidate_parser_family	zip_member_inventory	5
manual_reason	article_route_no_downloadable_result_artifact_found	40
manual_reason	landing_page_snapshot_needs_human_or_codex_review	39
manual_reason	no_artifacts_found	25
total	artifact_rows	1400
total	attempt_rows	185
total	manual_task_rows	104
total	downloadable_artifact_rows	658
