metric	value	count
plot_label	figure1	294
result_artifact_acquisition_state	needs_result_bearing_artifact_on_disk	185
result_artifact_acquisition_state	local_result_artifact_candidate_present	72
result_artifact_acquisition_state	local_mirror_needs_result_artifact_identification	37
acquisition_route_type	local_inventory	109
acquisition_route_type	article_pdf_supplement_or_data_availability_route	74
acquisition_route_type	landing_page_inventory_or_manual_resolution	39
acquisition_route_type	direct_download_or_api_snapshot	31
acquisition_route_type	osf_inventory_and_download	29
acquisition_route_type	dataverse_inventory_and_download	6
acquisition_route_type	figshare_record_file_download	3
acquisition_route_type	repository_or_package_discovery	2
acquisition_route_type	zenodo_record_file_download	1
priority	high	131
priority	medium	91
priority	lower	72
record_kind	replication_project	157
record_kind	candidate_corpus_or_database	104
record_kind	candidate_repository_package	33
total	figure1_scoped_rows	294
total	needs_result_bearing_artifact_on_disk	185
