metric	value	count
decision	already_integrated_live_pair_source	42
decision	staged_local_source_not_ready_for_figure1	21
decision	deterministic_repair_exhausted	18
decision	tracker_context_not_result_artifact	15
decision	landing_snapshot_context_not_result_artifact	15
decision	local_source_specific_mapping_needed	8
decision	already_extracted_corpus_result_rows	6
decision	local_artifacts_not_generic_result_tables	5
decision	individual_replication_report_context	3
decision	cataloged_crosscheck_or_sidecar	3
decision	project_publication_context_not_result_artifact	1
decision	feature_matrix_not_result_artifact	1
decision	method_workshop_context_not_result_artifact	1
gpt_needed	no	121
gpt_needed	yes	18
assign_after_codex	none	113
assign_after_codex	gpt	18
assign_after_codex	codex	8
followup_track	codex_parser_or_result_mapping	75
followup_track	codex_local_mirror_identification	37
followup_track	codex_provider_repair	25
followup_track	codex_direct_url_repair	2
confidence	high	87
confidence	medium	52
total	codex_decision_rows	139
