metric	value	count
assigned_to	codex	139
assigned_to	gpt	72
followup_track	codex_parser_or_result_mapping	75
followup_track	gpt_article_supplement_data_hunt	72
followup_track	codex_local_mirror_identification	37
followup_track	codex_provider_repair	25
followup_track	codex_direct_url_repair	2
priority	high	128
priority	medium	83
acquisition_route_type	article_pdf_supplement_or_data_availability_route	74
acquisition_route_type	landing_page_inventory_or_manual_resolution	39
acquisition_route_type	local_inventory	37
acquisition_route_type	osf_inventory_and_download	28
acquisition_route_type	direct_download_or_api_snapshot	23
acquisition_route_type	dataverse_inventory_and_download	6
acquisition_route_type	figshare_record_file_download	3
acquisition_route_type	zenodo_record_file_download	1
on_disk_after_automation	yes	112
on_disk_after_automation	no	99
sampled_after_automation	yes	112
sampled_after_automation	no	99
total	followup_rows	211
