metric	value	artifact_count
parent_corpus_database_id	lead_awesome_emdr_misinfo	1
parent_corpus_database_id	lead_border_2019	1
parent_corpus_database_id	lead_covid_online_2021	2
parent_corpus_database_id	lead_fred_diff_2024	2
parent_corpus_database_id	lead_manybabies_3	2
parent_corpus_database_id	lead_media_priming_2017	2
parent_corpus_database_id	lead_metaketa_i_2019	1
parent_corpus_database_id	lead_msrp_om_2023	2
parent_corpus_database_id	lead_musicianship_eeg_2025	1
parent_corpus_database_id	lead_psa_006_trolley	1
parent_corpus_database_id	lead_tpp_bem	2
parent_corpus_database_id	lead_tyner_nosek_2026	2
parent_corpus_database_id	manual_search_manual_tracker_058c6ee82383	1
parent_corpus_database_id	manual_search_manual_tracker_06310c250070	1
parent_corpus_database_id	manual_search_manual_tracker_0e6561494e1f	1
parent_corpus_database_id	manual_search_manual_tracker_27c69d9dadd0	1
parent_corpus_database_id	manual_search_manual_tracker_2bcb667abe09	1
parent_corpus_database_id	manual_search_manual_tracker_3bdb9d12bfd6	1
parent_corpus_database_id	manual_search_manual_tracker_4d67efc9b112	1
parent_corpus_database_id	manual_search_manual_tracker_54f6f36cb89a	1
parent_corpus_database_id	manual_search_manual_tracker_66df900c9e83	1
parent_corpus_database_id	manual_search_manual_tracker_67aa939c5960	1
parent_corpus_database_id	manual_search_manual_tracker_6b5329f87edd	1
parent_corpus_database_id	manual_search_manual_tracker_80501a192068	1
parent_corpus_database_id	manual_search_manual_tracker_85ec777fb6f4	1
parent_corpus_database_id	manual_search_manual_tracker_8693dc021905	1
parent_corpus_database_id	manual_search_manual_tracker_9244ee72b4a3	1
parent_corpus_database_id	manual_search_manual_tracker_a594814aa3b4	1
parent_corpus_database_id	manual_search_manual_tracker_afdc7a7c5ffa	1
parent_corpus_database_id	manual_search_manual_tracker_c23f70c3fdd3	1
parent_corpus_database_id	manual_search_manual_tracker_f27967338f24	1
parent_corpus_database_id	repo_search_datacite_3b16251a61cf	1
parent_corpus_database_id	repo_search_datacite_cc2d7e813ae5	1
parent_corpus_database_id	repo_search_dataverse_4450c811f725	18
parent_corpus_database_id	repo_search_osf_2584049b16b9	6
parent_corpus_database_id	repo_search_osf_2b928c9c5eb3	8
parent_corpus_database_id	repo_search_osf_3c6cdcbee4b9	1
parent_corpus_database_id	repo_search_osf_dc905e11e778	1
mirror_status	already_local	19
mirror_status	download_failed:403 Client Error: Forbidden for url: https://dataverse.harvard.edu/api/access/datafile/:persistentId?persistentId=doi:10.7910/DVN/ECGADO/DSUNVR	1
mirror_status	downloaded	30
mirror_status	skipped_large:129704541	1
mirror_status	skipped_large:32403141	1
mirror_status	skipped_large:85786899	1
mirror_status	unsupported_file_type:18070881	1
mirror_status	unsupported_file_type:docx	1
mirror_status	unsupported_file_type:jpeg	2
mirror_status	unsupported_file_type:php	1
mirror_status	unsupported_file_type:png	6
mirror_status	unsupported_file_type:pptx	1
mirror_status	unsupported_file_type:qsf	6
mirror_status	unsupported_file_type:xhtml	3
sample_status	metadata_only	30
sample_status	not_sampled	25
sample_status	sampled	19
sample_kind		25
sample_kind	metadata_only	30
sample_kind	text	19
candidate_parser_family	unknown	74
total	artifacts	74
total	mirrored_or_local	49
total	sampled	19
