artifact_id	parent_corpus_database_id	artifact_role	candidate_parser_family	file_type	file_name	raw_url	source_local_path	mirror_status	mirror_local_path	mirror_sha256	mirror_byte_size	sample_status	sample_path	sample_kind	sample_error
source_artifact_2484a8e13eafc140	biblio_search_crossref_480bdd504b25	data_file	csv_table_parser	csv	43588_2025_840_MOESM4_ESM.csv	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM4_ESM.csv		downloaded	data/raw/source_artifacts/figure1_acquisition_tabular_first/biblio_search_crossref_480bdd504b25/source_artifact_2484a8e13eafc140__43588_2025_840_MOESM4_ESM.csv	5006fe3dee5e08a35c6baba646924151bb397c3cda5246549dc547454d9bc5df	4417	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_2484a8e13eafc140.json	delimited_table	
source_artifact_bad4644b12d90286	biblio_search_crossref_480bdd504b25	data_file	csv_table_parser	csv	43588_2025_840_MOESM5_ESM.csv	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM5_ESM.csv		downloaded	data/raw/source_artifacts/figure1_acquisition_tabular_first/biblio_search_crossref_480bdd504b25/source_artifact_bad4644b12d90286__43588_2025_840_MOESM5_ESM.csv	87d18b4a2624e6b3a8e91e2882b782881841c12f3ff614d01f1e00072935bb2e	96506	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_bad4644b12d90286.json	delimited_table	
source_artifact_adf713f54d3ffe91	biblio_search_crossref_480bdd504b25	archive_file	zip_member_inventory	zip	43588_2025_840_MOESM6_ESM.zip	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM6_ESM.zip		downloaded	data/raw/source_artifacts/figure1_acquisition_tabular_first/biblio_search_crossref_480bdd504b25/source_artifact_adf713f54d3ffe91__43588_2025_840_MOESM6_ESM.zip	d60d4179532443d678e49470775470acbd8e3b560871a21047205dd0a2ae164c	9983	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_adf713f54d3ffe91.json	zip_inventory	
source_artifact_df4f8c540c0d71e9	biblio_search_crossref_480bdd504b25	archive_file	zip_member_inventory	zip	43588_2025_840_MOESM7_ESM.zip	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM7_ESM.zip		downloaded	data/raw/source_artifacts/figure1_acquisition_tabular_first/biblio_search_crossref_480bdd504b25/source_artifact_df4f8c540c0d71e9__43588_2025_840_MOESM7_ESM.zip	6aa00c6fd116e7fd576f0838d24a5a625cdce3d36e82739b62d664e2ee5416c7	4369	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_df4f8c540c0d71e9.json	zip_inventory	
source_artifact_616aff02bd00003a	biblio_search_crossref_480bdd504b25	data_file	csv_table_parser	csv	43588_2025_840_MOESM8_ESM.csv	https://static-content.springer.com/esm/art%3A10.1038%2Fs43588-025-00840-7/MediaObjects/43588_2025_840_MOESM8_ESM.csv		downloaded	data/raw/source_artifacts/figure1_acquisition_tabular_first/biblio_search_crossref_480bdd504b25/source_artifact_616aff02bd00003a__43588_2025_840_MOESM8_ESM.csv	d25ae110b735d50b9ce751b711e4f5f966ec7bff6acd102b42486f8963f96c26	22940	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_616aff02bd00003a.json	delimited_table	
source_artifact_3ebf194b15a280e2	citation_search_openalex_bb828bb93d4f	data_file	csv_table_parser	csv	elife-30274-fig2-data1-v2.csv	https://elifesciences.org/download/aHR0cHM6Ly9jZG4uZWxpZmVzY2llbmNlcy5vcmcvYXJ0aWNsZXMvMzAyNzQvZWxpZmUtMzAyNzQtZmlnMi1kYXRhMS12Mi5jc3Y-/elife-30274-fig2-data1-v2.csv?_hash=%2BslNb8Eq1wB9c%2Fxu7GdMrGijKLTjXqxeLdM3B0rQQAI%3D		downloaded	data/raw/source_artifacts/figure1_acquisition_tabular_first/citation_search_openalex_bb828bb93d4f/source_artifact_3ebf194b15a280e2__elife-30274-fig2-data1-v2.csv	2d9a997b25bc2b7d2b3c9f99bb71d1e2b40d903d10f5f5a8b14d7613fb3a0863	659356	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_3ebf194b15a280e2.json	delimited_table	
source_artifact_29bdf70e3d2d227e	domain_search_osf_32ff619d7c35	data_file	xlsx_workbook_parser	xlsx	EERP_RProjects.xlsx	https://osf.io/download/rhfd2/		downloaded	data/raw/source_artifacts/figure1_acquisition_tabular_first/domain_search_osf_32ff619d7c35/source_artifact_29bdf70e3d2d227e__EERP_RProjects.xlsx	a1a1a6cd5bfb0f1387de7e7a35295e448e7cd1a55929e163d29452ef163d4096	12101	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_29bdf70e3d2d227e.json	excel_workbook	
source_artifact_58cc017b099ca590	domain_search_osf_32ff619d7c35	data_file	csv_table_parser	csv	ML2_OrignalEffects_Masterkey.csv	https://osf.io/download/697768aa111b0e315293b42b/		downloaded	data/raw/source_artifacts/figure1_acquisition_tabular_first/domain_search_osf_32ff619d7c35/source_artifact_58cc017b099ca590__ML2_OrignalEffects_Masterkey.csv	afee146691be47f4e52c2914fcfd81085c1e34ee7bc2db9f5050ce0a4d0a7bd3	70730	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_58cc017b099ca590.json	delimited_table	
source_artifact_05d1cccc22b44abd	domain_search_osf_32ff619d7c35	data_file	xlsx_workbook_parser	xlsx	SSRP_export.xlsx	https://osf.io/download/697768e6a2c4582092e6b230/		downloaded	data/raw/source_artifacts/figure1_acquisition_tabular_first/domain_search_osf_32ff619d7c35/source_artifact_05d1cccc22b44abd__SSRP_export.xlsx	2d72a097b2533491bdd6dde92d182d4cf846d857f2a26c09860cd8cadf923b11	6314	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_05d1cccc22b44abd.json	excel_workbook	
source_artifact_738b127222a48f28	domain_search_osf_32ff619d7c35	data_file	analysis_code_inventory	py	codeScript.py	https://osf.io/download/hx7pf/		downloaded	data/raw/source_artifacts/figure1_acquisition_tabular_first/domain_search_osf_32ff619d7c35/source_artifact_738b127222a48f28__codeScript.py	83f8adee5d91859ac31e09f9d1a8a602ea72f4953b6c0c15802c165f0af9a09e	34036	sampled	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_738b127222a48f28.json	text	
