metric	value	artifact_count
parent_corpus_database_id	biblio_search_crossref_480bdd504b25	5
parent_corpus_database_id	citation_search_openalex_bb828bb93d4f	1
parent_corpus_database_id	domain_search_osf_32ff619d7c35	6
parent_corpus_database_id	lead_awesome_emdr_misinfo	7
parent_corpus_database_id	lead_metaketa_i_2019	1
parent_corpus_database_id	lead_musicianship_eeg_2025	1
parent_corpus_database_id	lead_psa_006_trolley	1
parent_corpus_database_id	lead_wood_porter_2019	31
parent_corpus_database_id	repo_search_datacite_1afe2afc30e4	3
parent_corpus_database_id	repo_search_dataverse_4450c811f725	418
parent_corpus_database_id	repo_search_dataverse_62327a47981a	1
parent_corpus_database_id	repo_search_dataverse_c2906b5dfd2b	8
parent_corpus_database_id	repo_search_dataverse_e6b5cf171269	1
parent_corpus_database_id	repo_search_osf_1b6223afbba2	1
parent_corpus_database_id	repo_search_osf_2b928c9c5eb3	19
parent_corpus_database_id	repo_search_osf_dc905e11e778	3
mirror_status	download_failed:400 Client Error: Bad Request for url: https://dataverse.harvard.edu/api/access/datafile/2693080	1
mirror_status	download_failed:400 Client Error: Bad Request for url: https://dataverse.harvard.edu/api/access/datafile/2693081	1
mirror_status	download_failed:400 Client Error: Bad Request for url: https://dataverse.harvard.edu/api/access/datafile/2693082	1
mirror_status	download_failed:400 Client Error: Bad Request for url: https://dataverse.harvard.edu/api/access/datafile/2693083	1
mirror_status	download_failed:400 Client Error: Bad Request for url: https://dataverse.harvard.edu/api/access/datafile/2693084	1
mirror_status	download_failed:400 Client Error: Bad Request for url: https://dataverse.harvard.edu/api/access/datafile/2693085	1
mirror_status	download_failed:400 Client Error: Bad Request for url: https://dataverse.harvard.edu/api/access/datafile/2693086	1
mirror_status	download_failed:400 Client Error: Bad Request for url: https://dataverse.harvard.edu/api/access/datafile/2693087	1
mirror_status	download_failed:404 Client Error: Not Found for url: https://codeload.github.com/marton-balazs-kovacs/trolleyMultilabReplication/zip/refs/heads/main	1
mirror_status	download_failed:404 Client Error: Not Found for url: https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/mindbody_selfcentrality/replication_exp2_clean.csv	1
mirror_status	download_failed:404 Client Error: Not Found for url: https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/pain_coop/replication_registered_clean.csv	1
mirror_status	download_failed:404 Client Error: Not Found for url: https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/queue/replication_round1_clean.csv	1
mirror_status	download_failed:404 Client Error: Not Found for url: https://raw.githubusercontent.com/ying531/awesome-replicability-data/main/host_data_paired/time_honest/replication_exp1_clean.csv	1
mirror_status	downloaded	493
mirror_status	skipped_large_stream:26270708	1
sample_status	metadata_only	2
sample_status	not_sampled	14
sample_status	sample_failed	1
sample_status	sampled	490
sample_kind		14
sample_kind	delimited_table	369
sample_kind	excel_workbook	5
sample_kind	metadata_only	2
sample_kind	r_data	73
sample_kind	sample_failed	1
sample_kind	text	40
sample_kind	zip_inventory	3
candidate_parser_family	analysis_code_inventory	43
candidate_parser_family	csv_table_parser	379
candidate_parser_family	r_data_parser	73
candidate_parser_family	statistical_package_parser	2
candidate_parser_family	xlsx_workbook_parser	5
candidate_parser_family	zip_member_inventory	5
total	artifacts	507
total	mirrored_or_local	493
total	sampled	490
