attempt_id	plot_label	corpus_database_id	name	acquisition_route_type	strategy	status	detail	url	attempted_at
result_artifact_attempt_6e8c4530174f1a06	figure1	domain_search_osf_08793226b32b	Sample size and replication: A census using the Reproducibility Project Psychology	osf_inventory_and_download	osf_inventory	no_files_found	"dn3fk:failed:{""errors"":[{""detail"":""Not found.""}],""meta"":{""version"":""2.0""}} | files=0"		2026-05-02T09:14:21
result_artifact_attempt_0d1d85c033d02b1a	figure1	domain_search_osf_346003e74a16	Rollout Design Replication Project	osf_inventory_and_download	osf_inventory	no_files_found	"rkqab:failed:{""errors"":[{""detail"":""Not found.""}],""meta"":{""version"":""2.0""}} | files=0"		2026-05-02T09:14:21
result_artifact_attempt_bd2bf11e3e7ab6ee	figure1	domain_search_osf_523739d259cc	Management Science Reproducibility Project	osf_inventory_and_download	osf_inventory	no_files_found	"mjqg5:failed:{""errors"":[{""detail"":""Not found.""}],""meta"":{""version"":""2.0""}} | files=0"		2026-05-02T09:14:21
result_artifact_attempt_0c3ed8489d84f7be	figure1	domain_search_osf_c323503b01ad	Experimental Economics Replication Project	osf_inventory_and_download	osf_inventory	no_files_found	bzm54:providers=1 | files=0		2026-05-02T09:14:22
result_artifact_attempt_8021af02f8eba283	figure1	lead_border_2019	Border 2019 candidate gene replication	direct_download_or_api_snapshot	direct_download_or_api_snapshot	success	artifacts=2		2026-05-02T09:14:22
result_artifact_attempt_20fd3ac26867340c	figure1	lead_media_priming_2017	Media priming direct replication	direct_download_or_api_snapshot	direct_download_or_api_snapshot	success	artifacts=2		2026-05-02T09:14:22
result_artifact_attempt_1ed95a9afce74d63	figure1	lead_mullinix_2015	Mullinix Leeper Druckman Freese 2015	dataverse_inventory_and_download	dataverse_inventory	failed	no_dataverse_persistent_id		2026-05-02T09:14:22
result_artifact_attempt_57782556c708ad7e	figure1	repo_search_datacite_49aef5283da3	Replication Study: Women’s Participation in Student Software Teams	figshare_record_file_download	figshare_inventory	failed	no_figshare_article_id		2026-05-02T09:14:22
result_artifact_attempt_09231b560c52e74a	figure1	repo_search_datacite_6abf8205297e	Combining specific task-oriented training with manual therapy to improve balance and mobility in patients after stroke: a mixed methods pilot randomised controlled trial	figshare_record_file_download	figshare_inventory	failed	no_figshare_article_id		2026-05-02T09:14:22
result_artifact_attempt_47f50cabf0bbddfc	figure1	repo_search_datacite_6f6fbb02bbc4	Primary data and results	figshare_record_file_download	figshare_inventory	failed	no_figshare_article_id		2026-05-02T09:14:22
