metric	value	count
attempt_status	failed	4
attempt_status	no_files_found	19
attempt_status	success	6
attempt_strategy	dataverse_inventory	2
attempt_strategy	direct_download_or_api_snapshot	2
attempt_strategy	figshare_inventory	3
attempt_strategy	osf_inventory	22
artifact_provider	dataverse	8
artifact_provider	direct_url	4
artifact_provider	osf	61
artifact_role	article_or_supplement_pdf	1
artifact_role	code_file	8
artifact_role	data_file	40
artifact_role	provider_file	24
candidate_parser_family	analysis_code_inventory	8
candidate_parser_family	csv_table_parser	7
candidate_parser_family	document_context_or_source_object_review	28
candidate_parser_family	statistical_package_parser	3
candidate_parser_family	unknown	24
candidate_parser_family	xlsx_workbook_parser	2
candidate_parser_family	zip_member_inventory	1
manual_reason	no_artifacts_found	23
total	artifact_rows	73
total	attempt_rows	29
total	manual_task_rows	23
total	downloadable_artifact_rows	73
