metric	value	count
followup_track	codex_provider_repair	27
followup_track	codex_direct_url_repair	2
acquisition_route_type	osf_inventory_and_download	22
acquisition_route_type	figshare_record_file_download	3
acquisition_route_type	direct_download_or_api_snapshot	2
acquisition_route_type	dataverse_inventory_and_download	2
host	osf.io	22
host	harvard dataverse	2
host	figshare.com	2
host	psychiatry online	1
host	tandf.figshare.com	1
host	doi.org	1
priority	high	26
priority	medium	3
total	repair_queue_rows	29
