artifact_id	parent_corpus_database_id	artifact_role	candidate_parser_family	file_type	file_name	raw_url	source_local_path	mirror_status	mirror_local_path	mirror_sha256	mirror_byte_size	sample_status	sample_path	sample_kind	sample_error
source_artifact_506efe18f0661e66	lead_border_2019	article_or_supplement_pdf	document_context_or_source_object_review	pdf	Border_AJP_2019.pdf	http://matthewckeller.com/publications/Border_AJP_2019.pdf		metadata_or_component_role				not_sampled			
source_artifact_89834584cd4d5253	lead_border_2019	provider_file	unknown	18070881	appi.ajp.2018.18070881	https://psychiatryonline.org/doi/10.1176/appi.ajp.2018.18070881		unsupported_file_type:18070881				not_sampled			
source_artifact_8ee6c9b048ded308	lead_media_priming_2017	provider_file	unknown	unknown	:persistentId	https://dataverse.harvard.edu/api/access/datafile/:persistentId?persistentId=doi:10.7910/DVN/ECGADO/DSUNVR		download_failed:403 Client Error: Forbidden for url: https://dataverse.harvard.edu/api/access/datafile/:persistentId?persistentId=doi:10.7910/DVN/ECGADO/DSUNVR				not_sampled			
source_artifact_06fd11003015d26b	lead_media_priming_2017	provider_file	unknown	xhtml	dataset.xhtml	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECGADO		unsupported_file_type:xhtml				not_sampled			
source_artifact_f66e83d44b22e59a	repo_search_dataverse_c2906b5dfd2b	code_file	analysis_code_inventory	do	1_baseline characteristics.do	https://dataverse.harvard.edu/api/access/datafile/2693082?format=original		download_failed:400 Client Error: Bad Request for url: https://dataverse.harvard.edu/api/access/datafile/2693082?format=original			53100	not_sampled			
source_artifact_e5df8e0a2b879bca	repo_search_dataverse_c2906b5dfd2b	code_file	analysis_code_inventory	do	2_Follow up data and Table 5.do	https://dataverse.harvard.edu/api/access/datafile/2693080?format=original		download_failed:400 Client Error: Bad Request for url: https://dataverse.harvard.edu/api/access/datafile/2693080?format=original			11273	not_sampled			
source_artifact_6cd768e6b6a185fa	repo_search_dataverse_c2906b5dfd2b	code_file	analysis_code_inventory	do	3_randomization and surgery dates.do	https://dataverse.harvard.edu/api/access/datafile/2693084?format=original		download_failed:400 Client Error: Bad Request for url: https://dataverse.harvard.edu/api/access/datafile/2693084?format=original			5317	not_sampled			
source_artifact_efa42391ef8ad7e3	repo_search_dataverse_c2906b5dfd2b	code_file	analysis_code_inventory	do	4_epi dataset.do	https://dataverse.harvard.edu/api/access/datafile/2693085?format=original		download_failed:400 Client Error: Bad Request for url: https://dataverse.harvard.edu/api/access/datafile/2693085?format=original			7395	not_sampled			
source_artifact_01794327bd45d588	repo_search_dataverse_c2906b5dfd2b	code_file	analysis_code_inventory	do	5_econ dataset.do	https://dataverse.harvard.edu/api/access/datafile/2693087?format=original		download_failed:400 Client Error: Bad Request for url: https://dataverse.harvard.edu/api/access/datafile/2693087?format=original			8004	not_sampled			
source_artifact_3079640ffed91521	repo_search_dataverse_c2906b5dfd2b	code_file	analysis_code_inventory	do	6_risk clasification and GEE.do	https://dataverse.harvard.edu/api/access/datafile/2693083?format=original		download_failed:400 Client Error: Bad Request for url: https://dataverse.harvard.edu/api/access/datafile/2693083?format=original			2000	not_sampled			
source_artifact_fd8f71101b8c4b7f	repo_search_dataverse_c2906b5dfd2b	code_file	analysis_code_inventory	do	7_ Epi analysis.do	https://dataverse.harvard.edu/api/access/datafile/2693086?format=original		download_failed:400 Client Error: Bad Request for url: https://dataverse.harvard.edu/api/access/datafile/2693086?format=original			4872	not_sampled			
source_artifact_375459719937ae5d	repo_search_dataverse_c2906b5dfd2b	code_file	analysis_code_inventory	do	8_Econ analysis.do	https://dataverse.harvard.edu/api/access/datafile/2693081?format=original		download_failed:400 Client Error: Bad Request for url: https://dataverse.harvard.edu/api/access/datafile/2693081?format=original			7455	not_sampled			
source_artifact_1b39cdd9a86a5c8f	repo_search_osf_3c6cdcbee4b9	provider_file	unknown	pptx	APS-presentation-RP-P-Design-LeBel.pptx	https://osf.io/download/4dwfz/		unsupported_file_type:pptx			512258	not_sampled			
source_artifact_986654b35b4675b6	repo_search_osf_92e639ac2dc7	provider_file	unknown	docx	ANOVA mit Messwiederholung 28.12..docx	https://osf.io/download/v6cb2/		unsupported_file_type:docx			152490	not_sampled			
source_artifact_5f3d1aada2f009f1	repo_search_osf_92e639ac2dc7	provider_file	unknown	docx	ANOVA mit Messwiederholung MIT Szeanrio 3.docx	https://osf.io/download/yajms/		unsupported_file_type:docx			20601	not_sampled			
source_artifact_f33f1832d99b2a23	repo_search_osf_92e639ac2dc7	provider_file	unknown	docx	ANOVA mit Messwiederholung Mood mit allen.docx	https://osf.io/download/zd9bt/		unsupported_file_type:docx			20886	not_sampled			
source_artifact_68b25c048c278c40	repo_search_osf_92e639ac2dc7	provider_file	unknown	docx	ANOVA mit Messwiederholung Mood ohne Szenario 3.docx	https://osf.io/download/7rz9b/		unsupported_file_type:docx			19175	not_sampled			
source_artifact_3d7d22ab87a56628	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Ausgabe_ANOVA.pdf	https://osf.io/download/2qjeb/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_3d7d22ab87a56628__Ausgabe_ANOVA.pdf	66688a2537668db3134da0d5db071d216b90e94a5e472328f496e07d25d8f336	636995	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_3d7d22ab87a56628.json	pdf_text	
source_artifact_6012b6c7bd498507	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Ausgabe_Deskriptive_Statistik_UND_T-est(Lehmann,Litters,Toplar).pdf	https://osf.io/download/9u5rz/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_6012b6c7bd498507__Ausgabe_Deskriptive_Statistik_UND_T-est_Lehmann_Litters_Toplar_.pdf	c22fbb2f6b2424a0abe7f897c274beb4998acf5dcc111b931acd5b0c8ab9ebae	491311	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_6012b6c7bd498507.json	pdf_text	
source_artifact_77e507cd4092902b	repo_search_osf_92e639ac2dc7	data_file	document_context_or_source_object_review	pdf	Codebuch(Lehmann,Litters,Toplar).pdf	https://osf.io/download/ha2xc/		downloaded	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_77e507cd4092902b__Codebuch_Lehmann_Litters_Toplar_.pdf	64d38e230582541b2cfa43cf4f50082479c295e1c2323b47d777be4a7f26169c	942344	sampled	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_77e507cd4092902b.json	pdf_text	
