artifact_id	parent_corpus_database_id	artifact_role	file_name	sample_kind	sample_status	candidate_parser_family	mirror_local_path	sample_path	estimated_rows_or_members	column_count	columns_preview	pair_signal_count	effect_signal_count	n_signal_count	identity_signal_count	priority_score	parser_priority	recommended_next_stage	routing_basis	queued_at
source_artifact_5f3f015480a0814a	repo_search_osf_92e639ac2dc7	data_file	Datenanalyse_S23-1_Brueckner_Bojic_Kohse_Frey.csv	delimited_table	sampled	csv_table_parser	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_5f3f015480a0814a__Datenanalyse_S23-1_Brueckner_Bojic_Kohse_Frey.csv	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_5f3f015480a0814a.json	75	137	lfdn; external_lfdn; tester; dispcode; lastpage; quality; duration; Age; Gender; Place of residence; Nationality; Mothertongue; Education; Insta or FB Account; Preferred platform; FB_months of use; FB_minutes per day; FB_frequency_posts; FB_frequency_stories; FB_frequency_viewing posts; FB_frequency_viewing stories; FB_frequency_liking; FB_frequency_commenting; FB_not tagged in post; FB_feeling_exclusion_post; FB_not tagged in story; FB_feeling_exclusion_story; FB_cropped out of photo_story/post; FB_feeling_exclusion_cropped out; FB_attention check; FB_not visible in content; FB_feeling_exclusion_not visible in content; FB_exclusion of different manner; FB_elaboration of exclusion situation; FB_other_not tagged in post; FB_other_not tagged in story; FB_other_cropped out; FB_other_not visible in content; FB_need to belong_extensive network; FB_need to belong_close friendships	0	1	0	0	43	medium	inspect_sample_for_result_fields	effect_signals=1	2026-05-02T09:17:08
source_artifact_aa275362aeafa074	repo_search_osf_92e639ac2dc7	data_file	Deskriptive Analysen_S23-1_Brueckner_Bojic_Kohse_Frey.csv	delimited_table	sampled	csv_table_parser	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_aa275362aeafa074__Deskriptive_Analysen_S23-1_Brueckner_Bojic_Kohse_Frey.csv	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_aa275362aeafa074.json	75	139	lfdn; external_lfdn; tester; dispcode; lastpage; quality; duration; Age; Gender; Place of residence; Nationality; Mothertongue; Education; Insta or FB Account; Preferred platform; FB_months of use; FB_minutes per day; FB_frequency_posts; FB_frequency_stories; FB_frequency_viewing posts; FB_frequency_viewing stories; FB_frequency_liking; FB_frequency_commenting; FB_not tagged in post; FB_feeling_exclusion_post; FB_not tagged in story; FB_feeling_exclusion_story; FB_cropped out of photo_story/post; FB_feeling_exclusion_cropped out; FB_attention check; FB_not visible in content; FB_feeling_exclusion_not visible in content; FB_exclusion of different manner; FB_elaboration of exclusion situation; FB_other_not tagged in post; FB_other_not tagged in story; FB_other_cropped out; FB_other_not visible in content; FB_need to belong_extensive network; FB_need to belong_close friendships	0	1	0	0	43	medium	inspect_sample_for_result_fields	effect_signals=1	2026-05-02T09:17:08
source_artifact_a357001689287a9f	repo_search_osf_92e639ac2dc7	data_file	Datensatz_LenaJestrimski_SelinBayram.csv	delimited_table	sampled	csv_table_parser	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_a357001689287a9f__Datensatz_LenaJestrimski_SelinBayram.csv	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_a357001689287a9f.json	17	86	Geschlecht; Alter; Wohnort; v_4; IGNutzung; IGNutzung 2; IGBeitritt; Privat/Öffentlich; Follower; Gefolgt; Min/Tag; TeilenPosts; TeilenStorys; AnschauenPosts; AnschauenStorys; Likehäufigkeit; Kommentierhäufigkeit; NGPost; NGStory; WegschnittPost/Story; Testitem; Veranstaltung; Anderweitig; v_88; v_89; v_90; v_91; v_93; v_94; v_95; v_96; v_97; v_98; v_108; v_109; v_110; v_111; v_112; v_113; v_114	0	0	0	0	28	medium	deprioritize_for_figure1_parsing	no strong field signatures	2026-05-02T09:17:08
source_artifact_a04a122f60487dc2	repo_search_osf_92e639ac2dc7	data_file	Heatmap_LynHeintzen_NadjaMiroshnikova_LaraPenz_NeleStruckhof.xlsx	excel_workbook	sampled	xlsx_workbook_parser	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_a04a122f60487dc2__Heatmap_LynHeintzen_NadjaMiroshnikova_LaraPenz_NeleStruckhof.xlsx	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_a04a122f60487dc2.json	5	95	lfdn; external_lfdn; tester; dispcode; lastpage; quality; kfza01; kfza02; kfza03; kfza04; kfza05; kfza06; kfza07; kfza08; kfza09; kfza10; kfza11; kfza12; kfza13; kfza14; kfza15; kfza16; kfza17; kfza18; kfza19; kfza20; kfza21; kfza22; kfza23; kfza24; kfza25; kfza26; a4001; a4002; a4003; a4004; a4005; a4006; a4007; a4008	0	0	0	0	28	medium	deprioritize_for_figure1_parsing	no strong field signatures	2026-05-02T09:17:08
source_artifact_8e8c1ecd9d833e1c	repo_search_osf_92e639ac2dc7	data_file	Heatmap_TimSäger_LindaFriese.xlsx	excel_workbook	sampled	xlsx_workbook_parser	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_8e8c1ecd9d833e1c__Heatmap_TimSa_ger_LindaFriese.xlsx	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_8e8c1ecd9d833e1c.json	5	53	Unnamed: 0; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6; Unnamed: 7; Unnamed: 8; Unnamed: 9; Unnamed: 10; Unnamed: 11; Unnamed: 12; Unnamed: 13; Unnamed: 14; Unnamed: 15; Unnamed: 16; Unnamed: 17; Unnamed: 18; Unnamed: 19; Unnamed: 20; Unnamed: 21; Unnamed: 22; Unnamed: 23; Unnamed: 24; Unnamed: 25; Unnamed: 26; Unnamed: 27; Unnamed: 28; Unnamed: 29; Unnamed: 30; Unnamed: 31; Unnamed: 32; Unnamed: 33; Unnamed: 34; Unnamed: 35; Unnamed: 36; Unnamed: 37; Unnamed: 38; Unnamed: 39	0	0	0	0	28	medium	deprioritize_for_figure1_parsing	no strong field signatures	2026-05-02T09:17:08
source_artifact_a82bfcb5746beff4	repo_search_osf_92e639ac2dc7	data_file	Rohdatensatz_TimSaeger_LindaFriese.csv	delimited_table	sampled	csv_table_parser	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_a82bfcb5746beff4__Rohdatensatz_TimSaeger_LindaFriese.csv	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_a82bfcb5746beff4.json	54	118	lfdn; external_lfdn; tester; dispcode; lastpage; quality; duration; v_104; v_171; v_166; v_165; v_170; v_105; v_106; v_107; v_108; v_109; v_110; v_111; v_112; v_113; v_114; v_115; v_116; v_117; v_118; v_119; v_120; v_121; v_122; v_123; v_124; v_125; v_126; v_127; v_128; v_129; v_130; v_131; v_132	0	0	0	0	28	medium	deprioritize_for_figure1_parsing	no strong field signatures	2026-05-02T09:17:08
source_artifact_bbf9fd3b6409235c	repo_search_osf_92e639ac2dc7	data_file	Fragebogen_LenaJestrimski_SelinBayram.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_bbf9fd3b6409235c__Fragebogen_LenaJestrimski_SelinBayram.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_bbf9fd3b6409235c.json		0		3	1	2	2	26	low	inspect_code_or_text_for_generated_tables	pair_signals=3; effect_signals=1; n_signals=2; identity_signals=2	2026-05-02T09:17:08
source_artifact_d7e1e06f695bc8cb	repo_search_osf_92e639ac2dc7	data_file	Handout_Replikationsstudie_TimSäger_LindaFriese.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_d7e1e06f695bc8cb__Handout_Replikationsstudie_TimSa_ger_LindaFriese.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_d7e1e06f695bc8cb.json		0		2	1	1	1	26	low	inspect_code_or_text_for_generated_tables	pair_signals=2; effect_signals=1; n_signals=1; identity_signals=1	2026-05-02T09:17:08
source_artifact_e6e622e2f7dec87b	repo_search_osf_92e639ac2dc7	data_file	Handout_s23_1_Brueckner_Bojic_Kohse_Frey.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_92e639ac2dc7/source_artifact_e6e622e2f7dec87b__Handout_s23_1_Brueckner_Bojic_Kohse_Frey.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_e6e622e2f7dec87b.json		0		4	2	7	1	26	low	inspect_code_or_text_for_generated_tables	pair_signals=4; effect_signals=2; n_signals=7; identity_signals=1	2026-05-02T09:17:08
source_artifact_228d2478455b1015	repo_search_osf_ea08e3722d17	data_file	ML.web.Supplement.pdf	pdf_text	sampled	document_context_or_source_object_review	data/raw/source_artifacts/figure1_acquisition_repair/repo_search_osf_ea08e3722d17/source_artifact_228d2478455b1015__ML.web.Supplement.pdf	steps/source_inventory/figure1/result_artifact_acquisition/repair/mirror_sample/artifact_samples/source_artifact_228d2478455b1015.json		0		3	6	6	1	26	low	inspect_code_or_text_for_generated_tables	pair_signals=3; effect_signals=6; n_signals=6; identity_signals=1	2026-05-02T09:17:08
