artifact_id	parent_corpus_database_id	artifact_role	provider	provider_id	parent_provider_id	title	url	raw_url	doi	component_path	file_name	file_type	mime_type	byte_size	local_path	sha256	inventory_status	access_status	candidate_parser_family	pair_field_evidence	n_field_evidence	effect_field_evidence	publication_link_evidence	blocker_codes	next_action	notes	last_seen
source_artifact_8d49ad76505ae470	rpcb | doi:10.7554/eLife.71601	repository_component	osf	61981aec07dcc50071e53918	rpcb | doi:10.7554/eLife.71601	Individual replication audits	https://api.osf.io/v2/files/61981aec07dcc50071e53918/			/Individual replication audits/	Individual replication audits	unknown		0			inventoried_metadata_only	public_metadata	unknown					metadata_only	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/replication_projects/lead_harvest/rpcb_e5nvr/osf_file_list.csv; inventory_task=inventory_task_753993910fcf426e	2026-05-01
source_artifact_69480c300c2bfa2b	rpcb | doi:10.7554/eLife.71601	provider_file	osf	61981affef6298006cf5c2f5	rpcb | doi:10.7554/eLife.71601	RPCB_Final_Analysis_Study_01.R	https://osf.io/e5nvr/files/osfstorage/61981affef6298006cf5c2f5	https://osf.io/download/usftx/		Individual replication audits/RPCB_Final_Analysis_Study_01.R	RPCB_Final_Analysis_Study_01.R	r		83275			inventoried_metadata_only	public_download_seen	analysis_code_inventory					needs_local_mirror	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/rpcb/osf_file_manifest.csv; inventory_task=inventory_task_753993910fcf426e | provider_manifest=data/raw/replication_projects/lead_harvest/rpcb_e5nvr/osf_file_list.csv; inventory_task=inventory_task_753993910fcf426e	2026-05-01
source_artifact_4a6381b9fdadca2b	rpcb | doi:10.7554/eLife.71601	provider_file	osf		rpcb | doi:10.7554/eLife.71601	RPCB_Final_Analysis_Study_05.R		https://osf.io/download/e6fg3/		Individual replication audits/RPCB_Final_Analysis_Study_05.R	RPCB_Final_Analysis_Study_05.R	r		10008			inventoried_metadata_only	public_download_seen	analysis_code_inventory					needs_local_mirror	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/rpcb/osf_file_manifest.csv; inventory_task=inventory_task_753993910fcf426e	2026-05-01
source_artifact_c451bec177465886	rpcb | doi:10.7554/eLife.71601	provider_file	osf		rpcb | doi:10.7554/eLife.71601	RPCB_Final_Analysis_Study_06.R		https://osf.io/download/6q5yt/		Individual replication audits/RPCB_Final_Analysis_Study_06.R	RPCB_Final_Analysis_Study_06.R	r		4953			inventoried_metadata_only	public_download_seen	analysis_code_inventory					needs_local_mirror	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/rpcb/osf_file_manifest.csv; inventory_task=inventory_task_753993910fcf426e	2026-05-01
source_artifact_beaa62133ead18b4	rpcb | doi:10.7554/eLife.71601	provider_file	osf		rpcb | doi:10.7554/eLife.71601	RPCB_Final_Analysis_Study_07.R		https://osf.io/download/6m4ey/		Individual replication audits/RPCB_Final_Analysis_Study_07.R	RPCB_Final_Analysis_Study_07.R	r		23625			inventoried_metadata_only	public_download_seen	analysis_code_inventory					needs_local_mirror	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/rpcb/osf_file_manifest.csv; inventory_task=inventory_task_753993910fcf426e	2026-05-01
source_artifact_1be4e8b6613efe8f	rpcb | doi:10.7554/eLife.71601	provider_file	osf	61981aff8dbcf80069eda002	rpcb | doi:10.7554/eLife.71601	RPCB_Final_Analysis_Study_08.R	https://osf.io/e5nvr/files/osfstorage/61981aff8dbcf80069eda002	https://osf.io/download/dmx7r/		Individual replication audits/RPCB_Final_Analysis_Study_08.R	RPCB_Final_Analysis_Study_08.R	r		41574			inventoried_metadata_only	public_download_seen	analysis_code_inventory					needs_local_mirror	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/rpcb/osf_file_manifest.csv; inventory_task=inventory_task_753993910fcf426e | provider_manifest=data/raw/replication_projects/lead_harvest/rpcb_e5nvr/osf_file_list.csv; inventory_task=inventory_task_753993910fcf426e	2026-05-01
source_artifact_1e41663e285c134a	rpcb | doi:10.7554/eLife.71601	provider_file	osf		rpcb | doi:10.7554/eLife.71601	RPCB_Final_Analysis_Study_09.R		https://osf.io/download/7rf2c/		Individual replication audits/RPCB_Final_Analysis_Study_09.R	RPCB_Final_Analysis_Study_09.R	r		106069			inventoried_metadata_only	public_download_seen	analysis_code_inventory					needs_local_mirror	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/rpcb/osf_file_manifest.csv; inventory_task=inventory_task_753993910fcf426e	2026-05-01
source_artifact_ebf292abfbcc07d9	rpcb | doi:10.7554/eLife.71601	provider_file	osf	61981afe07dcc50075e52d9b	rpcb | doi:10.7554/eLife.71601	RPCB_Final_Analysis_Study_12.R	https://osf.io/e5nvr/files/osfstorage/61981afe07dcc50075e52d9b	https://osf.io/download/qmksc/		Individual replication audits/RPCB_Final_Analysis_Study_12.R	RPCB_Final_Analysis_Study_12.R	r		16968			inventoried_metadata_only	public_download_seen	analysis_code_inventory					needs_local_mirror	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/rpcb/osf_file_manifest.csv; inventory_task=inventory_task_753993910fcf426e | provider_manifest=data/raw/replication_projects/lead_harvest/rpcb_e5nvr/osf_file_list.csv; inventory_task=inventory_task_753993910fcf426e	2026-05-01
source_artifact_94f1ccabe8b2ebf5	rpcb | doi:10.7554/eLife.71601	provider_file	osf	61981b01ef62980072f5ae6a	rpcb | doi:10.7554/eLife.71601	RPCB_Final_Analysis_Study_15.R	https://osf.io/e5nvr/files/osfstorage/61981b01ef62980072f5ae6a	https://osf.io/download/dpfgy/		Individual replication audits/RPCB_Final_Analysis_Study_15.R	RPCB_Final_Analysis_Study_15.R	r		23169			inventoried_metadata_only	public_download_seen	analysis_code_inventory					needs_local_mirror	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/rpcb/osf_file_manifest.csv; inventory_task=inventory_task_753993910fcf426e | provider_manifest=data/raw/replication_projects/lead_harvest/rpcb_e5nvr/osf_file_list.csv; inventory_task=inventory_task_753993910fcf426e	2026-05-01
source_artifact_2ac6cbee9fafc194	rpcb | doi:10.7554/eLife.71601	provider_file	osf		rpcb | doi:10.7554/eLife.71601	RPCB_Final_Analysis_Study_16.R		https://osf.io/download/hwef8/		Individual replication audits/RPCB_Final_Analysis_Study_16.R	RPCB_Final_Analysis_Study_16.R	r		38120			inventoried_metadata_only	public_download_seen	analysis_code_inventory					needs_local_mirror	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/rpcb/osf_file_manifest.csv; inventory_task=inventory_task_753993910fcf426e	2026-05-01
