artifact_id	parent_corpus_database_id	artifact_role	provider	provider_id	parent_provider_id	title	url	raw_url	doi	component_path	file_name	file_type	mime_type	byte_size	local_path	sha256	inventory_status	access_status	candidate_parser_family	pair_field_evidence	n_field_evidence	effect_field_evidence	publication_link_evidence	blocker_codes	next_action	notes	last_seen
source_artifact_6af211f8bd1ba854	score	repository_component	osf	695c0b3be6339b00708a627a	score	Analysis-ready Data	https://api.osf.io/v2/files/695c0b3be6339b00708a627a/			/Analysis-ready Data/	Analysis-ready Data	unknown					inventoried_metadata_only	public_metadata	unknown					metadata_only	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/score/osf_file_manifest.csv; inventory_task=inventory_task_496d19ef8219a7ce	2026-05-01
source_artifact_431d1cbca3b636b4	score	repository_component	osf	69581ca80ba1a6335cf1a535	score	Change Logs	https://api.osf.io/v2/files/69581ca80ba1a6335cf1a535/			/Change Logs/	Change Logs	unknown					inventoried_metadata_only	public_metadata	unknown					metadata_only	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/score/osf_file_manifest.csv; inventory_task=inventory_task_496d19ef8219a7ce	2026-05-01
source_artifact_35b159a6a7870b63	score	repository_component	osf	6957df6cd9614aed74d6c6ae	score	Confidence Scores	https://api.osf.io/v2/files/6957df6cd9614aed74d6c6ae/			/Analysis-ready Data/Correlations Paper/Confidence Scores/	Confidence Scores	unknown					inventoried_metadata_only	public_metadata	unknown					metadata_only	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/score/osf_file_manifest.csv; inventory_task=inventory_task_496d19ef8219a7ce	2026-05-01
source_artifact_9759b2bc337af746	score	repository_component	osf	695d912d356a7d45f78f4e20	score	Correlations	https://api.osf.io/v2/files/695d912d356a7d45f78f4e20/			/Raw Data/Correlations/	Correlations	unknown					inventoried_metadata_only	public_metadata	unknown					metadata_only	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/score/osf_file_manifest.csv; inventory_task=inventory_task_496d19ef8219a7ce	2026-05-01
source_artifact_dcd28488c36fbb5c	score	repository_component	osf	695c0b913a6efe0663d6c3df	score	Correlations Paper	https://api.osf.io/v2/files/695c0b913a6efe0663d6c3df/			/Analysis-ready Data/Correlations Paper/	Correlations Paper	unknown					inventoried_metadata_only	public_metadata	unknown					metadata_only	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/score/osf_file_manifest.csv; inventory_task=inventory_task_496d19ef8219a7ce	2026-05-01
source_artifact_c39c2b87eb159c8a	score	repository_component	osf	67be09d650cde74cf29fb159	score	Extracted Claims	https://api.osf.io/v2/files/67be09d650cde74cf29fb159/			/Raw Data/Original Studies/Extracted Claims/	Extracted Claims	unknown					inventoried_metadata_only	public_metadata	unknown					metadata_only	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/score/osf_file_manifest.csv; inventory_task=inventory_task_496d19ef8219a7ce	2026-05-01
source_artifact_633901ea901d901c	score	repository_component	osf	67be093077b3e3eaaa9fb0d5	score	Journal Metadata	https://api.osf.io/v2/files/67be093077b3e3eaaa9fb0d5/			/Raw Data/Journal Metadata/	Journal Metadata	unknown					inventoried_metadata_only	public_metadata	unknown					metadata_only	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/score/osf_file_manifest.csv; inventory_task=inventory_task_496d19ef8219a7ce	2026-05-01
source_artifact_60bf4b8f8d5b34d3	score	repository_component	osf	67be09e7373d56044e8067f8	score	Original Studies	https://api.osf.io/v2/files/67be09e7373d56044e8067f8/			/Raw Data/Original Studies/	Original Studies	unknown					inventoried_metadata_only	public_metadata	unknown					metadata_only	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/score/osf_file_manifest.csv; inventory_task=inventory_task_496d19ef8219a7ce	2026-05-01
source_artifact_70e65b859d279ba1	score	repository_component	osf	69374ecf42847fa6eab08b48	score	Paper Metadata	https://api.osf.io/v2/files/69374ecf42847fa6eab08b48/			/Raw Data/Paper Metadata/	Paper Metadata	unknown					inventoried_metadata_only	public_metadata	unknown					metadata_only	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/score/osf_file_manifest.csv; inventory_task=inventory_task_496d19ef8219a7ce	2026-05-01
source_artifact_e6438b45c3fad892	score	repository_component	osf	6940874666e05180b448931a	score	Process Reproducibility	https://api.osf.io/v2/files/6940874666e05180b448931a/			/Raw Data/Process Reproducibility/	Process Reproducibility	unknown					inventoried_metadata_only	public_metadata	unknown					metadata_only	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/score/osf_file_manifest.csv; inventory_task=inventory_task_496d19ef8219a7ce	2026-05-01
source_artifact_75b7571f482937d7	score	repository_component	osf	69496fb4645c582ecf003197	score	Project Management	https://api.osf.io/v2/files/69496fb4645c582ecf003197/			/Raw Data/Project Management/	Project Management	unknown					inventoried_metadata_only	public_metadata	unknown					metadata_only	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/score/osf_file_manifest.csv; inventory_task=inventory_task_496d19ef8219a7ce	2026-05-01
source_artifact_4ca0dfbd76e78df8	score	repository_component	osf	67be09187358130ed89fbe81	score	Raw Data	https://api.osf.io/v2/files/67be09187358130ed89fbe81/			/Raw Data/	Raw Data	unknown					inventoried_metadata_only	public_metadata	unknown					metadata_only	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/score/osf_file_manifest.csv; inventory_task=inventory_task_496d19ef8219a7ce	2026-05-01
source_artifact_ad1cff78ac49f039	score	repository_component	osf	67be09f22771681d11556568	score	Replication Studies	https://api.osf.io/v2/files/67be09f22771681d11556568/			/Raw Data/Replication Studies/	Replication Studies	unknown					inventoried_metadata_only	public_metadata	unknown					metadata_only	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/score/osf_file_manifest.csv; inventory_task=inventory_task_496d19ef8219a7ce	2026-05-01
source_artifact_f3ce7355e957cbd7	score	repository_component	osf	695c0b85ec571f1536f1a19f	score	Replication and Reproduction Papers	https://api.osf.io/v2/files/695c0b85ec571f1536f1a19f/			/Analysis-ready Data/Replication and Reproduction Papers/	Replication and Reproduction Papers	unknown					inventoried_metadata_only	public_metadata	unknown					metadata_only	match_provider_item_to_local_mirror_or_download_if_needed	provider_manifest=data/raw/corpus_candidates/score/osf_file_manifest.csv; inventory_task=inventory_task_496d19ef8219a7ce	2026-05-01
