inventory_task_id	cluster_id	parent_corpus_database_id_or_key	preferred_source_family_name	artifact_rows	local_mirrored_rows	parser_candidate_rows	pair_evidence_rows	effect_evidence_rows	n_evidence_rows	skipped_files	role_counts_json	parser_counts_json
inventory_task_03a7818d0f17ec39	cluster_emdr_and_misinformation_3fe9f9e46e27	github:ying531/awesome-replicability-data	ying531/awesome-replicability-data	102	102	20	0	7	12	0	"{""code_file"": 4, ""data_file"": 20, ""file_inventory"": 14, ""local_mirror"": 15, ""source_access_metadata"": 49}"	"{""analysis_code_inventory"": 4, ""binary_probe_context"": 15, ""csv_table_parser"": 20, ""json_metadata_inventory"": 49, ""provider_file_inventory"": 14}"
inventory_task_524036a18abc5c1b	cluster_meta_regression_to_explain_shrinkage_and_heterogeneity_in_large_scale_replicatio_40dfdd112362	zenodo:15552808	Heyard and Held heterogeneity_in_replication_projects code/data repository	2	1	0	1	0	0	0	"{""archive_file"": 1, ""source_family_page"": 1}"	"{""zenodo_record_inventory"": 1, ""zip_member_inventory"": 1}"
inventory_task_b90587c7843e9288	cluster_osf_03_rp_cb_final_analysis_paper_level_data_46a453806c4e	raw_corpus:rpcb	Reproducibility Project: Cancer Biology (RP:CB) final analysis data	92	61	20	7	7	14	0	"{""code_file"": 30, ""codebook"": 6, ""data_file"": 13, ""file_inventory"": 3, ""local_mirror"": 2, ""provider_file"": 24, ""repository_component"": 1, ""source_access_metadata"": 13}"	"{""analysis_code_inventory"": 54, ""binary_probe_context"": 1, ""csv_table_parser"": 20, ""json_metadata_inventory"": 14, ""provider_file_inventory"": 2, ""unknown"": 1}"
inventory_task_fd8530c815c12471	cluster_rpcb_elife_registered_report_replication_effects_e5397aaa137f	raw_corpus:rpcb	Reproducibility Project: Cancer Biology (RP:CB) final analysis data	92	61	20	7	7	14	0	"{""code_file"": 30, ""codebook"": 6, ""data_file"": 13, ""file_inventory"": 3, ""local_mirror"": 2, ""provider_file"": 24, ""repository_component"": 1, ""source_access_metadata"": 13}"	"{""analysis_code_inventory"": 54, ""binary_probe_context"": 1, ""csv_table_parser"": 20, ""json_metadata_inventory"": 14, ""provider_file_inventory"": 2, ""unknown"": 1}"
inventory_task_496d19ef8219a7ce	cluster_score_cos_preregistration_indicated_original_papers_2a2876c57850	score	Systematizing Confidence in Open Research and Evidence (SCORE) data/code/materials	230	109	211	78	75	72	0	"{""codebook"": 1, ""context_file"": 2, ""data_file"": 209, ""file_inventory"": 1, ""local_mirror"": 2, ""repository_component"": 15}"	"{""compressed_csv_table_parser"": 1, ""csv_table_parser"": 208, ""document_context_or_source_object_review"": 2, ""json_metadata_inventory"": 2, ""unknown"": 15, ""xlsx_workbook_parser"": 2}"
inventory_task_28f80649ce5bc810	cluster_dataverse_manifest_ee14f1be8828	lead_harvest:covid_online_2021	The Generalizability of Online Experiments Conducted During the COVID-19 Pandemic	74	74	40	0	2	2	0	"{""archive_file"": 1, ""code_file"": 6, ""data_file"": 39, ""file_inventory"": 2, ""local_mirror"": 11, ""source_access_metadata"": 15}"	"{""analysis_code_inventory"": 6, ""binary_probe_context"": 1, ""csv_table_parser"": 3, ""json_metadata_inventory"": 15, ""provider_file_inventory"": 2, ""r_data_parser"": 35, ""statistical_package_parser"": 2, ""unknown"": 9, ""zip_member_inventory"": 1}"
inventory_task_753993910fcf426e	cluster_investigating_the_replicability_of_preclinical_cancer_biology_ca7b83bfae6f	rpcb | doi:10.7554/eLife.71601	Reproducibility Project: Cancer Biology	92	61	20	7	7	14	0	"{""code_file"": 30, ""codebook"": 6, ""data_file"": 13, ""file_inventory"": 3, ""local_mirror"": 2, ""provider_file"": 24, ""repository_component"": 1, ""source_access_metadata"": 13}"	"{""analysis_code_inventory"": 54, ""binary_probe_context"": 1, ""csv_table_parser"": 20, ""json_metadata_inventory"": 14, ""provider_file_inventory"": 2, ""unknown"": 1}"
inventory_task_5f86fda82415efa5	cluster_many_labs_2_investigating_variation_in_replicability_across_samples_and_settings_9638ac62afe8	many_labs_2 | doi:10.1177/2515245918810225	Many Labs 2: Investigating Variation in Replicability Across Samples and Settings	4	4	4	0	4	4	0	"{""data_file"": 4}"	"{""csv_table_parser"": 4}"
inventory_task_dccedfb0fe688b81	cluster_political_science_unlock_51f64b60725b	raw_corpus:political_science_unlock	Political Science Unlock	317	317	37	1	10	6	0	"{""archive_file"": 26, ""code_file"": 58, ""codebook"": 2, ""context_file"": 28, ""data_file"": 34, ""file_inventory"": 4, ""local_mirror"": 165}"	"{""analysis_code_inventory"": 58, ""csv_table_parser"": 22, ""document_context_or_source_object_review"": 29, ""json_metadata_inventory"": 18, ""provider_file_inventory"": 4, ""r_data_parser"": 2, ""statistical_package_parser"": 5, ""unknown"": 145, ""xlsx_workbook_parser"": 8, ""zip_member_inventory"": 26}"
inventory_task_d704dbeef05c41e6	cluster_brodeur_star_wars_openicpsr_9a38abb2140a	raw_corpus:brodeur_star_wars_openicpsr	Brodeur Star Wars OpenICPSR replication package	427	427	158	0	101	55	0	"{""code_file"": 48, ""context_file"": 1, ""data_file"": 133, ""local_mirror"": 245}"	"{""analysis_code_inventory"": 48, ""csv_table_parser"": 125, ""document_context_or_source_object_review"": 1, ""statistical_package_parser"": 23, ""unknown"": 220, ""xlsx_workbook_parser"": 10}"
