source_file_id	source_result_id	parser_route	local_path	extraction_status	candidate_status	label_hit_count	numeric_hit_count	match_kind	match_field	match_value	locator_type	locator	char_start	char_end	snippet
file_l5_fa9bcf5dda34	sr_03355505d651	structured_xml_first	data/cache/provenance_level5/sample_300/sr_03355505d651__crossref_work_json_source_url_1__api.elsevier.com_content_article_pii_s0022103112002375_httpaccept_text_xml.xml	text_extracted	text_extracted_no_label_or_numeric_hit	0.0	0.0								
file_l5_35508e6fea7d	sr_0a95dbeefcd1	structured_xml_first	data/cache/provenance_level5/sample_300/sr_0a95dbeefcd1__crossref_work_json_source_url_2__cdn.elifesciences.org_articles_11802_elife-11802-v1.xml.xml	text_extracted	text_extracted_no_label_or_numeric_hit	0.0	0.0								
file_l5_97d944e1e374	sr_0d80ddf31d89	structured_xml_first	data/cache/provenance_level5/sample_300/sr_0d80ddf31d89__crossref_work_json_source_url_1__api.elsevier.com_content_article_pii_s0028393211000674_httpaccept_text_xml.xml	text_extracted	text_extracted_no_label_or_numeric_hit	0.0	0.0								
file_l5_c7062d284fe2	sr_1ba37b2938cd	structured_xml_first	data/cache/provenance_level5/sample_300/sr_1ba37b2938cd__pubmed_doi_crossref_work_json_source_url_1__api.elsevier.com_content_article_pii_s1470204513701840_httpaccept_text_xml.xml	text_extracted	label_hit			label	result_or_outcome_label	Aflibercept versus placebo in combination with docetaxel and prednisone for treatment of men with metastatic castration-resistant prostate cancer (VENICE): a ph	document_text	document	174.0	334.0	https://api.elsevier.com/content/article/pii/S1470204513701840 doi:10.1016/S1470-2045(13)70184-0 1-s2.0-S1470204513701840 10.1016/S1470-2045(13)70184-0 S1470-2045(13)70184-0 Aflibercept versus placebo in combination with docetaxel and prednisone for treatment of men with metastatic castration-resistant prostate cancer (VENICE): a phase 3, double-blind randomised trial The Lancet Oncology Journal 14702045 2013-07-31 July 2013 0 false false
file_l5_6362d77730d2	sr_2688beda5935	structured_xml_first	data/cache/provenance_level5/sample_300/sr_2688beda5935__crossref_work_json_source_url_1__api.elsevier.com_content_article_pii_s014976341000182x_httpaccept_text_xml.xml	text_extracted	text_extracted_no_label_or_numeric_hit	0.0	0.0								
file_l5_7272920f9939	sr_2af4bf57e7ef	structured_xml_first	data/cache/provenance_level5/sample_300/sr_2af4bf57e7ef__crossref_work_json_source_url_1__api.elsevier.com_content_article_pii_s0010028598907083_httpaccept_text_xml.xml	text_extracted	text_extracted_no_label_or_numeric_hit	0.0	0.0								
file_l5_5fb9827d3244	sr_32884f9211fb	structured_xml_first	data/cache/provenance_level5/sample_300/sr_32884f9211fb__pubmed_doi_europepmc_search_json_pmc_efetch_xml__eutils.ncbi.nlm.nih.gov_entrez_eutils_efetch.fcgi_db_pmc_id_7081150_retmode_xml.xml	text_extracted	text_extracted_no_label_or_numeric_hit	0.0	0.0								
file_l5_fbb4432c8442	sr_34e03261c24d	structured_xml_first	data/cache/provenance_level5/sample_300/sr_34e03261c24d__europepmc_search_json_pmc_efetch_xml__eutils.ncbi.nlm.nih.gov_entrez_eutils_efetch.fcgi_db_pmc_id_3718034_retmode_xml.xml	text_extracted	text_extracted_no_label_or_numeric_hit	0.0	0.0								
file_l5_0a1c64a11aa7	sr_37178bbf2376	structured_xml_first	data/cache/provenance_level5/sample_300/sr_37178bbf2376__pubmed_doi_europepmc_search_json_pmc_efetch_xml__eutils.ncbi.nlm.nih.gov_entrez_eutils_efetch.fcgi_db_pmc_id_4772045_retmode_xml.xml	text_extracted	numeric_hit			numeric	verbatim_effect_text	0.26	document_text	document	18719.0	18723.0	ns. SNP Chromosome Position Gene MAF Coded Allele Beta (SE) p -Value Genome-wide Significant rs7680948 4 140447105 SETD7 0.20 A −0.19 (0.03) 4.97 × 10 −9 Sub Genome-wide Significant rs4635297 15 38327408 BC039545 0.08 A 0.26 (0.05) 6.46 × 10 −7 rs341075 11 71935611 – 0.02 A −0.87 (0.17) 5.75 × 10 −7 rs6108801 20 10989519 – 0.04 C −0.48 (0.09) 4.07 × 10 −7 rs2232315 2 169757432 G6PC2 0.03 A 0.74 (0.15) 1.26 × 10 −6 Figure 3 Quantile-quantile
file_l5_0a1c64a11aa7	sr_37178bbf2376	structured_xml_first	data/cache/provenance_level5/sample_300/sr_37178bbf2376__pubmed_doi_europepmc_search_json_pmc_efetch_xml__eutils.ncbi.nlm.nih.gov_entrez_eutils_efetch.fcgi_db_pmc_id_4772045_retmode_xml.xml	text_extracted	numeric_hit			numeric	verbatim_effect_text	0.26	document_text	document	20380.0	20384.0	associated SNPs in SLIT3 and DHRS2 were monomorphic in European-Americans. In the Amish, the MAF of the three SNPs were even lower (MAF = 0.015), and there was no evidence for association with lycopene levels ( p = 0.26). Although not a replication, we did, however, detect nominal evidence for association of lycopene levels with a different SNP in SCARB1 (rs11057841; MAF = 0.14; p = 3.79 × 10 −4 ). 4. Discussion The key result from
